"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2019年2月","00000","全国","43539370",""
"2019年3月","00000","全国","51147600",""
"2019年4月","00000","全国","50718730",""
"2019年5月","00000","全国","51402690",""
"2019年6月","00000","全国","45810390",""
"2019年7月","00000","全国","51780530",""
"2019年8月","00000","全国","63234040",""
"2019年9月","00000","全国","48761240",""
"2019年10月","00000","全国","50052850",""
"2019年11月","00000","全国","49659370",""
"2019年12月","00000","全国","47129960",""
"2020年1月","00000","全国","43156910","速報"
"2020年2月","00000","全国","37443380","速報"
"2020年3月","00000","全国","23940920","速報"
"2020年4月","00000","全国","9706670","速報"
"2020年5月","00000","全国","7785180","速報"
"2020年6月","00000","全国","14240840","速報"
"2020年7月","00000","全国","21578040","速報"
"2020年8月","00000","全国","26149030","速報"
"2020年9月","00000","全国","26020820","速報"
"2020年10月","00000","全国","32412890","速報"
"2020年11月","00000","全国","34501310","速報"
"2020年12月","00000","全国","27863790","速報"
"2007年1月","01000","北海道","1819820",""
"2007年2月","01000","北海道","2034500",""
"2007年3月","01000","北海道","1940730",""
"2007年4月","01000","北海道","1324360",""
"2007年5月","01000","北海道","1969930",""
"2007年6月","01000","北海道","2257090",""
"2007年7月","01000","北海道","2540410",""
"2007年8月","01000","北海道","2949830",""
"2007年9月","01000","北海道","2503190",""
"2007年10月","01000","北海道","2234690",""
"2007年11月","01000","北海道","1629950",""
"2007年12月","01000","北海道","1718150",""
"2008年1月","01000","北海道","1883040",""
"2008年2月","01000","北海道","2051020",""
"2008年3月","01000","北海道","1942090",""
"2008年4月","01000","北海道","1394180",""
"2008年5月","01000","北海道","2082320",""
"2008年6月","01000","北海道","2432480",""
"2008年7月","01000","北海道","2595630",""
"2008年8月","01000","北海道","2872780",""
"2008年9月","01000","北海道","2426240",""
"2008年10月","01000","北海道","2344310",""
"2008年11月","01000","北海道","1660390",""
"2008年12月","01000","北海道","1725580",""
"2009年1月","01000","北海道","1897040",""
"2009年2月","01000","北海道","1871680",""
"2009年3月","01000","北海道","1874730",""
"2009年4月","01000","北海道","1272220",""
"2009年5月","01000","北海道","1978280",""
"2009年6月","01000","北海道","2151730",""
"2009年7月","01000","北海道","2481220",""
"2009年8月","01000","北海道","2853830",""
"2009年9月","01000","北海道","2559420",""
"2009年10月","01000","北海道","2220130",""
"2009年11月","01000","北海道","1630130",""
"2009年12月","01000","北海道","1774230",""
"2010年1月","01000","北海道","1836130",""
"2010年2月","01000","北海道","2036960",""
"2010年3月","01000","北海道","1842270",""
"2010年4月","01000","北海道","1178160",""
"2010年5月","01000","北海道","1815710",""
"2010年6月","01000","北海道","1988870",""
"2010年7月","01000","北海道","2400790",""
"2010年8月","01000","北海道","2678190",""
"2010年9月","01000","北海道","2321500",""
"2010年10月","01000","北海道","2107510",""
"2010年11月","01000","北海道","1470000",""
"2010年12月","01000","北海道","1607620",""
"2011年1月","01000","北海道","2148210",""
"2011年2月","01000","北海道","2320620",""
