"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2018年5月","07000","福島県","920080",""
"2018年6月","07000","福島県","909990",""
"2018年7月","07000","福島県","931090",""
"2018年8月","07000","福島県","1224880",""
"2018年9月","07000","福島県","926560",""
"2018年10月","07000","福島県","1109820",""
"2018年11月","07000","福島県","1030700",""
"2018年12月","07000","福島県","926020",""
"2019年1月","07000","福島県","946600",""
"2019年2月","07000","福島県","964830",""
"2019年3月","07000","福島県","1133170",""
"2019年4月","07000","福島県","1073930",""
"2019年5月","07000","福島県","1024410",""
"2019年6月","07000","福島県","986500",""
"2019年7月","07000","福島県","1059000",""
"2019年8月","07000","福島県","1332150",""
"2019年9月","07000","福島県","1025740",""
"2019年10月","07000","福島県","1084710",""
"2019年11月","07000","福島県","1062660",""
"2019年12月","07000","福島県","963700",""
"2020年1月","07000","福島県","1026700","速報"
"2020年2月","07000","福島県","1008160","速報"
"2020年3月","07000","福島県","797880","速報"
"2020年4月","07000","福島県","488040","速報"
"2020年5月","07000","福島県","403160","速報"
"2020年6月","07000","福島県","589550","速報"
"2020年7月","07000","福島県","802900","速報"
"2020年8月","07000","福島県","876160","速報"
"2020年9月","07000","福島県","835000","速報"
"2020年10月","07000","福島県","1051720","速報"
"2020年11月","07000","福島県","1010810","速報"
"2020年12月","07000","福島県","811380","速報"
"2007年1月","08000","茨城県","210730",""
"2007年2月","08000","茨城県","216860",""
"2007年3月","08000","茨城県","298980",""
"2007年4月","08000","茨城県","237170",""
"2007年5月","08000","茨城県","239640",""
"2007年6月","08000","茨城県","226280",""
"2007年7月","08000","茨城県","260810",""
"2007年8月","08000","茨城県","383550",""
"2007年9月","08000","茨城県","240420",""
"2007年10月","08000","茨城県","257060",""
"2007年11月","08000","茨城県","287960",""
"2007年12月","08000","茨城県","290670",""
"2008年1月","08000","茨城県","224150",""
"2008年2月","08000","茨城県","231540",""
"2008年3月","08000","茨城県","304350",""
"2008年4月","08000","茨城県","230660",""
"2008年5月","08000","茨城県","246040",""
"2008年6月","08000","茨城県","223840",""
"2008年7月","08000","茨城県","274960",""
"2008年8月","08000","茨城県","358020",""
"2008年9月","08000","茨城県","234840",""
"2008年10月","08000","茨城県","237280",""
"2008年11月","08000","茨城県","251360",""
"2008年12月","08000","茨城県","251400",""
"2009年1月","08000","茨城県","203620",""
"2009年2月","08000","茨城県","199450",""
"2009年3月","08000","茨城県","283380",""
"2009年4月","08000","茨城県","212230",""
"2009年5月","08000","茨城県","220600",""
"2009年6月","08000","茨城県","197970",""
"2009年7月","08000","茨城県","255290",""
"2009年8月","08000","茨城県","343850",""
"2009年9月","08000","茨城県","222650",""
"2009年10月","08000","茨城県","230480",""
"2009年11月","08000","茨城県","234370",""
"2009年12月","08000","茨城県","243890",""
"2010年1月","08000","茨城県","264970",""
"2010年2月","08000","茨城県","262550",""
"2010年3月","08000","茨城県","372950",""
"2010年4月","08000","茨城県","271970",""
"2010年5月","08000","茨城県","301370",""
"2010年6月","08000","茨城県","279900",""
"2010年7月","08000","茨城県","314350",""
"2010年8月","08000","茨城県","424810",""
"2010年9月","08000","茨城県","263380",""
"2010年10月","08000","茨城県","272650",""
"2010年11月","08000","茨城県","272520",""
"2010年12月","08000","茨城県","280500",""
"2011年1月","08000","茨城県","336940",""
"2011年2月","08000","茨城県","343960",""
"2011年3月","08000","茨城県","247290",""
"2011年4月","08000","茨城県","351290",""
"2011年5月","08000","茨城県","375260",""
"2011年6月","08000","茨城県","360790",""
"2011年7月","08000","茨城県","370510",""
"2011年8月","08000","茨城県","499430",""
"2011年9月","08000","茨城県","350820",""
"2011年10月","08000","茨城県","390220",""
"2011年11月","08000","茨城県","394280",""
"2011年12月","08000","茨城県","430160",""
"2012年1月","08000","茨城県","332950",""
"2012年2月","08000","茨城県","362250",""
"2012年3月","08000","茨城県","470170",""
"2012年4月","08000","茨城県","408630",""
"2012年5月","08000","茨城県","439770",""
"2012年6月","08000","茨城県","403740",""
"2012年7月","08000","茨城県","422910",""
"2012年8月","08000","茨城県","589290",""
"2012年9月","08000","茨城県","374660",""
"2012年10月","08000","茨城県","407820",""
"2012年11月","08000","茨城県","448510",""
"2012年12月","08000","茨城県","436380",""
"2013年1月","08000","茨城県","339040",""
"2013年2月","08000","茨城県","357240",""
"2013年3月","08000","茨城県","471180",""
"2013年4月","08000","茨城県","397370",""
"2013年5月","08000","茨城県","427890",""
"2013年6月","08000","茨城県","362640",""
"2013年7月","08000","茨城県","426530",""
"2013年8月","08000","茨城県","610870",""
"2013年9月","08000","茨城県","415490",""
"2013年10月","08000","茨城県","428310",""
"2013年11月","08000","茨城県","457290",""
"2013年12月","08000","茨城県","460320",""
"2014年1月","08000","茨城県","387250",""
"2014年2月","08000","茨城県","390510",""
"2014年3月","08000","茨城県","557410",""
"2014年4月","08000","茨城県","385300",""
"2014年5月","08000","茨城県","481450",""
"2014年6月","08000","茨城県","422770",""
"2014年7月","08000","茨城県","485360",""
"2014年8月","08000","茨城県","642500",""
"2014年9月","08000","茨城県","402830",""
"2014年10月","08000","茨城県","425090",""
"2014年11月","08000","茨城県","446320",""
"2014年12月","08000","茨城県","435990",""
"2015年1月","08000","茨城県","383330",""
"2015年2月","08000","茨城県","391170",""
"2015年3月","08000","茨城県","518350",""
"2015年4月","08000","茨城県","402060",""
"2015年5月","08000","茨城県","466930",""
"2015年6月","08000","茨城県","411090",""
"2015年7月","08000","茨城県","515050",""
"2015年8月","08000","茨城県","715230",""
"2015年9月","08000","茨城県","479050",""
"2015年10月","08000","茨城県","475370",""
"2015年11月","08000","茨城県","480220",""
"2015年12月","08000","茨城県","503080",""
"2016年1月","08000","茨城県","385570",""
"2016年2月","08000","茨城県","389810",""
"2016年3月","08000","茨城県","528310",""
"2016年4月","08000","茨城県","445830",""
"2016年5月","08000","茨城県","461360",""
"2016年6月","08000","茨城県","412670",""
"2016年7月","08000","茨城県","494200",""
"2016年8月","08000","茨城県","641590",""
"2016年9月","08000","茨城県","433250",""
"2016年10月","08000","茨城県","460680",""
"2016年11月","08000","茨城県","475330",""
"2016年12月","08000","茨城県","479870",""
"2017年1月","08000","茨城県","388920",""
"2017年2月","08000","茨城県","410750",""
"2017年3月","08000","茨城県","554360",""
"2017年4月","08000","茨城県","440820",""
"2017年5月","08000","茨城県","483820",""
"2017年6月","08000","茨城県","412800",""
"2017年7月","08000","茨城県","508300",""
"2017年8月","08000","茨城県","646780",""
"2017年9月","08000","茨城県","428610",""
"2017年10月","08000","茨城県","441670",""
"2017年11月","08000","茨城県","442110",""
"2017年12月","08000","茨城県","455420",""
"2018年1月","08000","茨城県","394690",""
"2018年2月","08000","茨城県","406670",""
"2018年3月","08000","茨城県","508870",""
"2018年4月","08000","茨城県","476290",""
"2018年5月","08000","茨城県","532050",""
"2018年6月","08000","茨城県","482840",""
"2018年7月","08000","茨城県","490390",""
"2018年8月","08000","茨城県","681870",""
"2018年9月","08000","茨城県","446150",""
"2018年10月","08000","茨城県","478820",""
"2018年11月","08000","茨城県","488360",""
"2018年12月","08000","茨城県","505150",""
"2019年1月","08000","茨城県","442490",""
"2019年2月","08000","茨城県","447750",""
"2019年3月","08000","茨城県","583020",""
"2019年4月","08000","茨城県","545960",""
"2019年5月","08000","茨城県","539610",""
"2019年6月","08000","茨城県","438920",""
"2019年7月","08000","茨城県","503810",""
"2019年8月","08000","茨城県","699950",""
"2019年9月","08000","茨城県","531120",""
"2019年10月","08000","茨城県","526020",""
"2019年11月","08000","茨城県","518500",""
"2019年12月","08000","茨城県","522700",""
"2020年1月","08000","茨城県","442540","速報"
"2020年2月","08000","茨城県","457800","速報"
"2020年3月","08000","茨城県","383330","速報"
"2020年4月","08000","茨城県","196380","速報"
"2020年5月","08000","茨城県","207980","速報"
"2020年6月","08000","茨城県","299690","速報"
"2020年7月","08000","茨城県","322070","速報"
"2020年8月","08000","茨城県","391920","速報"
"2020年9月","08000","茨城県","336730","速報"
"2020年10月","08000","茨城県","425120","速報"
"2020年11月","08000","茨城県","456360","速報"
"2020年12月","08000","茨城県","416720","速報"
"2007年1月","09000","栃木県","478420",""
"2007年2月","09000","栃木県","468000",""
"2007年3月","09000","栃木県","563500",""
"2007年4月","09000","栃木県","502430",""
"2007年5月","09000","栃木県","582640",""
"2007年6月","09000","栃木県","556330",""
"2007年7月","09000","栃木県","576250",""
"2007年8月","09000","栃木県","797170",""
"2007年9月","09000","栃木県","580810",""
"2007年10月","09000","栃木県","677540",""
"2007年11月","09000","栃木県","671530",""
"2007年12月","09000","栃木県","511910",""
"2008年1月","09000","栃木県","424240",""
"2008年2月","09000","栃木県","430170",""
"2008年3月","09000","栃木県","512540",""
"2008年4月","09000","栃木県","451150",""
"2008年5月","09000","栃木県","549730",""
"2008年6月","09000","栃木県","512770",""
"2008年7月","09000","栃木県","562100",""
"2008年8月","09000","栃木県","748890",""
"2008年9月","09000","栃木県","531950",""
"2008年10月","09000","栃木県","699360",""
"2008年11月","09000","栃木県","670330",""
"2008年12月","09000","栃木県","491500",""
"2009年1月","09000","栃木県","422370",""
"2009年2月","09000","栃木県","383340",""
"2009年3月","09000","栃木県","516770",""
"2009年4月","09000","栃木県","439430",""
"2009年5月","09000","栃木県","548550",""
"2009年6月","09000","栃木県","501910",""
"2009年7月","09000","栃木県","593900",""
"2009年8月","09000","栃木県","774570",""
"2009年9月","09000","栃木県","600470",""
"2009年10月","09000","栃木県","669560",""
"2009年11月","09000","栃木県","618660",""
"2009年12月","09000","栃木県","492460",""
"2010年1月","09000","栃木県","585680",""
"2010年2月","09000","栃木県","546850",""
"2010年3月","09000","栃木県","731490",""
"2010年4月","09000","栃木県","573340",""
"2010年5月","09000","栃木県","741570",""
"2010年6月","09000","栃木県","686610",""
"2010年7月","09000","栃木県","717980",""
"2010年8月","09000","栃木県","969120",""
"2010年9月","09000","栃木県","696010",""
"2010年10月","09000","栃木県","774030",""
"2010年11月","09000","栃木県","687360",""
"2010年12月","09000","栃木県","544390",""
"2011年1月","09000","栃木県","625310",""
"2011年2月","09000","栃木県","596190",""
"2011年3月","09000","栃木県","447830",""
"2011年4月","09000","栃木県","422420",""
"2011年5月","09000","栃木県","696270",""
"2011年6月","09000","栃木県","635090",""
"2011年7月","09000","栃木県","821560",""
"2011年8月","09000","栃木県","1219890",""
"2011年9月","09000","栃木県","792040",""
"2011年10月","09000","栃木県","937650",""
"2011年11月","09000","栃木県","829340",""
"2011年12月","09000","栃木県","672320",""
"2012年1月","09000","栃木県","565160",""
"2012年2月","09000","栃木県","506740",""
"2012年3月","09000","栃木県","681040",""
"2012年4月","09000","栃木県","650560",""
"2012年5月","09000","栃木県","849750",""
"2012年6月","09000","栃木県","754550",""
"2012年7月","09000","栃木県","877480",""
"2012年8月","09000","栃木県","1319680",""
"2012年9月","09000","栃木県","871560",""
"2012年10月","09000","栃木県","1006060",""
"2012年11月","09000","栃木県","937540",""
"2012年12月","09000","栃木県","742090",""
"2013年1月","09000","栃木県","623610",""
"2013年2月","09000","栃木県","581040",""
"2013年3月","09000","栃木県","777110",""
"2013年4月","09000","栃木県","708870",""
"2013年5月","09000","栃木県","861330",""
"2013年6月","09000","栃木県","788190",""
"2013年7月","09000","栃木県","824590",""
"2013年8月","09000","栃木県","1195820",""
"2013年9月","09000","栃木県","800720",""
"2013年10月","09000","栃木県","918920",""
"2013年11月","09000","栃木県","914220",""
"2013年12月","09000","栃木県","722720",""
"2014年1月","09000","栃木県","627970",""
"2014年2月","09000","栃木県","530510",""
"2014年3月","09000","栃木県","794790",""
"2014年4月","09000","栃木県","612990",""
"2014年5月","09000","栃木県","815560",""
"2014年6月","09000","栃木県","729840",""
"2014年7月","09000","栃木県","874700",""
"2014年8月","09000","栃木県","1248110",""
"2014年9月","09000","栃木県","846500",""
"2014年10月","09000","栃木県","922860",""
"2014年11月","09000","栃木県","884030",""
"2014年12月","09000","栃木県","694490",""
"2015年1月","09000","栃木県","661230",""
"2015年2月","09000","栃木県","593150",""
"2015年3月","09000","栃木県","807720",""
"2015年4月","09000","栃木県","724450",""
"2015年5月","09000","栃木県","902070",""
"2015年6月","09000","栃木県","745960",""
"2015年7月","09000","栃木県","964540",""
"2015年8月","09000","栃木県","1349600",""
"2015年9月","09000","栃木県","935420",""
"2015年10月","09000","栃木県","1004090",""
"2015年11月","09000","栃木県","860620",""
"2015年12月","09000","栃木県","740000",""
"2016年1月","09000","栃木県","627390",""
"2016年2月","09000","栃木県","571410",""
"2016年3月","09000","栃木県","875250",""
"2016年4月","09000","栃木県","737370",""
"2016年5月","09000","栃木県","876400",""
"2016年6月","09000","栃木県","769030",""
"2016年7月","09000","栃木県","945410",""
"2016年8月","09000","栃木県","1355600",""
"2016年9月","09000","栃木県","922750",""
"2016年10月","09000","栃木県","995600",""
"2016年11月","09000","栃木県","876610",""
"2016年12月","09000","栃木県","764010",""
"2017年1月","09000","栃木県","669910",""
"2017年2月","09000","栃木県","626290",""
"2017年3月","09000","栃木県","907680",""
"2017年4月","09000","栃木県","734430",""
"2017年5月","09000","栃木県","891060",""
"2017年6月","09000","栃木県","749540",""
"2017年7月","09000","栃木県","963090",""
"2017年8月","09000","栃木県","1308030",""
"2017年9月","09000","栃木県","858180",""
"2017年10月","09000","栃木県","891240",""
"2017年11月","09000","栃木県","885730",""
"2017年12月","09000","栃木県","739060",""
"2018年1月","09000","栃木県","600860",""
"2018年2月","09000","栃木県","592250",""
"2018年3月","09000","栃木県","809880",""
"2018年4月","09000","栃木県","724780",""
"2018年5月","09000","栃木県","843390",""
"2018年6月","09000","栃木県","716130",""
"2018年7月","09000","栃木県","847770",""
"2018年8月","09000","栃木県","1148630",""
"2018年9月","09000","栃木県","823380",""
"2018年10月","09000","栃木県","904630",""
"2018年11月","09000","栃木県","783760",""
"2018年12月","09000","栃木県","674100",""
"2019年1月","09000","栃木県","603200",""
"2019年2月","09000","栃木県","584920",""
"2019年3月","09000","栃木県","771370",""
"2019年4月","09000","栃木県","745920",""
"2019年5月","09000","栃木県","860660",""
"2019年6月","09000","栃木県","732550",""
"2019年7月","09000","栃木県","828470",""
"2019年8月","09000","栃木県","1184080",""
"2019年9月","09000","栃木県","867390",""
"2019年10月","09000","栃木県","822620",""
"2019年11月","09000","栃木県","862380",""
"2019年12月","09000","栃木県","696310",""
"2020年1月","09000","栃木県","583510","速報"
"2020年2月","09000","栃木県","572570","速報"
"2020年3月","09000","栃木県","481290","速報"
"2020年4月","09000","栃木県","165850","速報"
"2020年5月","09000","栃木県","129120","速報"
"2020年6月","09000","栃木県","271890","速報"
"2020年7月","09000","栃木県","464210","速報"
"2020年8月","09000","栃木県","671030","速報"
"2020年9月","09000","栃木県","605080","速報"
"2020年10月","09000","栃木県","753330","速報"
"2020年11月","09000","栃木県","794170","速報"
"2020年12月","09000","栃木県","594840","速報"
"2007年1月","10000","群馬県","479810",""
"2007年2月","10000","群馬県","467590",""
"2007年3月","10000","群馬県","529300",""
"2007年4月","10000","群馬県","451200",""
"2007年5月","10000","群馬県","488650",""
"2007年6月","10000","群馬県","458580",""
"2007年7月","10000","群馬県","529990",""
"2007年8月","10000","群馬県","801960",""
"2007年9月","10000","群馬県","561770",""
"2007年10月","10000","群馬県","564830",""
"2007年11月","10000","群馬県","558790",""
"2007年12月","10000","群馬県","471900",""
"2008年1月","10000","群馬県","458010",""
"2008年2月","10000","群馬県","452700",""
"2008年3月","10000","群馬県","508000",""
"2008年4月","10000","群馬県","449330",""
"2008年5月","10000","群馬県","527370",""
"2008年6月","10000","群馬県","471250",""
"2008年7月","10000","群馬県","549190",""
"2008年8月","10000","群馬県","768570",""
"2008年9月","10000","群馬県","501420",""
"2008年10月","10000","群馬県","590960",""
"2008年11月","10000","群馬県","577610",""
"2008年12月","10000","群馬県","486220",""
"2009年1月","10000","群馬県","438100",""
"2009年2月","10000","群馬県","412320",""
"2009年3月","10000","群馬県","497450",""
"2009年4月","10000","群馬県","394260",""
"2009年5月","10000","群馬県","479320",""
"2009年6月","10000","群馬県","416800",""
"2009年7月","10000","群馬県","512590",""
"2009年8月","10000","群馬県","714010",""
"2009年9月","10000","群馬県","529040",""
"2009年10月","10000","群馬県","547570",""
"2009年11月","10000","群馬県","502500",""
"2009年12月","10000","群馬県","448200",""
"2010年1月","10000","群馬県","497160",""
"2010年2月","10000","群馬県","526070",""
"2010年3月","10000","群馬県","603300",""
"2010年4月","10000","群馬県","453260",""
"2010年5月","10000","群馬県","551490",""
"2010年6月","10000","群馬県","478130",""
"2010年7月","10000","群馬県","534230",""
"2010年8月","10000","群馬県","762650",""
"2010年9月","10000","群馬県","535320",""
"2010年10月","10000","群馬県","618640",""
"2010年11月","10000","群馬県","579270",""
"2010年12月","10000","群馬県","516520",""
"2011年1月","10000","群馬県","725740",""
"2011年2月","10000","群馬県","730930",""
"2011年3月","10000","群馬県","474500",""
"2011年4月","10000","群馬県","439560",""
"2011年5月","10000","群馬県","667920",""
"2011年6月","10000","群馬県","629940",""
"2011年7月","10000","群馬県","832610",""
"2011年8月","10000","群馬県","1244630",""
"2011年9月","10000","群馬県","813610",""
"2011年10月","10000","群馬県","830420",""
"2011年11月","10000","群馬県","715240",""
"2011年12月","10000","群馬県","643580",""
"2012年1月","10000","群馬県","614990",""
"2012年2月","10000","群馬県","548920",""
"2012年3月","10000","群馬県","659060",""
"2012年4月","10000","群馬県","571490",""
"2012年5月","10000","群馬県","645560",""
"2012年6月","10000","群馬県","586450",""
"2012年7月","10000","群馬県","739560",""
"2012年8月","10000","群馬県","1148380",""
"2012年9月","10000","群馬県","700560",""
"2012年10月","10000","群馬県","760460",""
"2012年11月","10000","群馬県","737860",""
"2012年12月","10000","群馬県","672080",""
"2013年1月","10000","群馬県","666770",""
"2013年2月","10000","群馬県","655420",""
"2013年3月","10000","群馬県","759240",""
"2013年4月","10000","群馬県","653680",""
"2013年5月","10000","群馬県","742980",""
"2013年6月","10000","群馬県","661170",""
"2013年7月","10000","群馬県","787120",""
"2013年8月","10000","群馬県","1162180",""
"2013年9月","10000","群馬県","752280",""
"2013年10月","10000","群馬県","788250",""
"2013年11月","10000","群馬県","790670",""
"2013年12月","10000","群馬県","718750",""
"2014年1月","10000","群馬県","628040",""
"2014年2月","10000","群馬県","533860",""
"2014年3月","10000","群馬県","733990",""
"2014年4月","10000","群馬県","602970",""
"2014年5月","10000","群馬県","734850",""
"2014年6月","10000","群馬県","630950",""
"2014年7月","10000","群馬県","696100",""
"2014年8月","10000","群馬県","1095090",""
"2014年9月","10000","群馬県","694520",""
"2014年10月","10000","群馬県","769840",""
"2014年11月","10000","群馬県","781440",""
"2014年12月","10000","群馬県","691720",""
"2015年1月","10000","群馬県","673900",""
"2015年2月","10000","群馬県","634020",""
"2015年3月","10000","群馬県","725440",""
"2015年4月","10000","群馬県","576060",""
"2015年5月","10000","群馬県","730970",""
"2015年6月","10000","群馬県","615930",""
"2015年7月","10000","群馬県","737320",""
"2015年8月","10000","群馬県","1078110",""
"2015年9月","10000","群馬県","752320",""
"2015年10月","10000","群馬県","852680",""
"2015年11月","10000","群馬県","766980",""
"2015年12月","10000","群馬県","684370",""
"2016年1月","10000","群馬県","668650",""
"2016年2月","10000","群馬県","652820",""
"2016年3月","10000","群馬県","738930",""
"2016年4月","10000","群馬県","614190",""
"2016年5月","10000","群馬県","695800",""
"2016年6月","10000","群馬県","594110",""
"2016年7月","10000","群馬県","737250",""
"2016年8月","10000","群馬県","1061120",""
"2016年9月","10000","群馬県","706880",""
"2016年10月","10000","群馬県","773720",""
"2016年11月","10000","群馬県","687040",""
"2016年12月","10000","群馬県","720660",""
"2017年1月","10000","群馬県","646420",""
"2017年2月","10000","群馬県","636370",""
"2017年3月","10000","群馬県","757520",""
"2017年4月","10000","群馬県","607010",""
"2017年5月","10000","群馬県","724840",""
"2017年6月","10000","群馬県","620250",""
"2017年7月","10000","群馬県","763560",""
"2017年8月","10000","群馬県","1119070",""
"2017年9月","10000","群馬県","756740",""
"2017年10月","10000","群馬県","753050",""
"2017年11月","10000","群馬県","695260",""
"2017年12月","10000","群馬県","676590",""
"2018年1月","10000","群馬県","626210",""
"2018年2月","10000","群馬県","587910",""
"2018年3月","10000","群馬県","694950",""
"2018年4月","10000","群馬県","592010",""
"2018年5月","10000","群馬県","659460",""
"2018年6月","10000","群馬県","605810",""
"2018年7月","10000","群馬県","716870",""
"2018年8月","10000","群馬県","1068050",""
"2018年9月","10000","群馬県","696940",""
"2018年10月","10000","群馬県","701570",""
"2018年11月","10000","群馬県","686390",""
"2018年12月","10000","群馬県","669320",""
"2019年1月","10000","群馬県","639770",""
"2019年2月","10000","群馬県","663900",""
"2019年3月","10000","群馬県","740230",""
"2019年4月","10000","群馬県","682350",""
"2019年5月","10000","群馬県","727300",""
"2019年6月","10000","群馬県","618540",""
"2019年7月","10000","群馬県","736270",""
"2019年8月","10000","群馬県","1104190",""
"2019年9月","10000","群馬県","707300",""
"2019年10月","10000","群馬県","654630",""
"2019年11月","10000","群馬県","704630",""
"2019年12月","10000","群馬県","669350",""
"2020年1月","10000","群馬県","579330","速報"
"2020年2月","10000","群馬県","592050","速報"
"2020年3月","10000","群馬県","430810","速報"
"2020年4月","10000","群馬県","146470","速報"
"2020年5月","10000","群馬県","99740","速報"
"2020年6月","10000","群馬県","246610","速報"
"2020年7月","10000","群馬県","477560","速報"
"2020年8月","10000","群馬県","515560","速報"
"2020年9月","10000","群馬県","443330","速報"
"2020年10月","10000","群馬県","547550","速報"
"2020年11月","10000","群馬県","603390","速報"
"2020年12月","10000","群馬県","469920","速報"
"2007年1月","11000","埼玉県","235330",""
"2007年2月","11000","埼玉県","246900",""
"2007年3月","11000","埼玉県","294690",""
"2007年4月","11000","埼玉県","267110",""
"2007年5月","11000","埼玉県","266860",""
"2007年6月","11000","埼玉県","241560",""
"2007年7月","11000","埼玉県","257230",""
"2007年8月","11000","埼玉県","308090",""
"2007年9月","11000","埼玉県","256430",""
"2007年10月","11000","埼玉県","268750",""
"2007年11月","11000","埼玉県","269770",""
"2007年12月","11000","埼玉県","254210",""
"2008年1月","11000","埼玉県","221730",""
"2008年2月","11000","埼玉県","239870",""
"2008年3月","11000","埼玉県","272210",""
"2008年4月","11000","埼玉県","261450",""
"2008年5月","11000","埼玉県","255540",""
"2008年6月","11000","埼玉県","220520",""
"2008年7月","11000","埼玉県","278210",""
"2008年8月","11000","埼玉県","303020",""
"2008年9月","11000","埼玉県","235650",""
"2008年10月","11000","埼玉県","264180",""
"2008年11月","11000","埼玉県","264100",""
"2008年12月","11000","埼玉県","238510",""
"2009年1月","11000","埼玉県","210210",""
"2009年2月","11000","埼玉県","206040",""
"2009年3月","11000","埼玉県","256180",""
"2009年4月","11000","埼玉県","238290",""
"2009年5月","11000","埼玉県","237140",""
"2009年6月","11000","埼玉県","201900",""
"2009年7月","11000","埼玉県","248010",""
"2009年8月","11000","埼玉県","285730",""
"2009年9月","11000","埼玉県","241640",""
"2009年10月","11000","埼玉県","251490",""
"2009年11月","11000","埼玉県","242380",""
"2009年12月","11000","埼玉県","233870",""
"2010年1月","11000","埼玉県","235240",""
"2010年2月","11000","埼玉県","240790",""
"2010年3月","11000","埼玉県","300700",""
"2010年4月","11000","埼玉県","264340",""
"2010年5月","11000","埼玉県","272760",""
"2010年6月","11000","埼玉県","242840",""
"2010年7月","11000","埼玉県","288010",""
"2010年8月","11000","埼玉県","328070",""
"2010年9月","11000","埼玉県","267940",""
"2010年10月","11000","埼玉県","285190",""
"2010年11月","11000","埼玉県","282760",""
"2010年12月","11000","埼玉県","273090",""
"2011年1月","11000","埼玉県","279740",""
"2011年2月","11000","埼玉県","290130",""
"2011年3月","11000","埼玉県","285970",""
"2011年4月","11000","埼玉県","250950",""
"2011年5月","11000","埼玉県","279090",""
"2011年6月","11000","埼玉県","266170",""
"2011年7月","11000","埼玉県","287870",""
"2011年8月","11000","埼玉県","366990",""
"2011年9月","11000","埼玉県","295760",""
"2011年10月","11000","埼玉県","322540",""
"2011年11月","11000","埼玉県","319110",""
"2011年12月","11000","埼玉県","321790",""
"2012年1月","11000","埼玉県","252390",""
"2012年2月","11000","埼玉県","267330",""
"2012年3月","11000","埼玉県","319770",""
"2012年4月","11000","埼玉県","302800",""
"2012年5月","11000","埼玉県","310880",""
"2012年6月","11000","埼玉県","277740",""
"2012年7月","11000","埼玉県","314340",""
"2012年8月","11000","埼玉県","406080",""
"2012年9月","11000","埼玉県","285650",""
"2012年10月","11000","埼玉県","332980",""
"2012年11月","11000","埼玉県","341590",""
"2012年12月","11000","埼玉県","325320",""
"2013年1月","11000","埼玉県","284660",""
"2013年2月","11000","埼玉県","282660",""
"2013年3月","11000","埼玉県","339280",""
"2013年4月","11000","埼玉県","328200",""
"2013年5月","11000","埼玉県","319840",""
"2013年6月","11000","埼玉県","296400",""
"2013年7月","11000","埼玉県","372130",""
"2013年8月","11000","埼玉県","445240",""
"2013年9月","11000","埼玉県","326750",""
"2013年10月","11000","埼玉県","328930",""
"2013年11月","11000","埼玉県","332480",""
"2013年12月","11000","埼玉県","317690",""
"2014年1月","11000","埼玉県","288890",""
"2014年2月","11000","埼玉県","291390",""
"2014年3月","11000","埼玉県","366730",""
"2014年4月","11000","埼玉県","345150",""
"2014年5月","11000","埼玉県","355680",""
"2014年6月","11000","埼玉県","308210",""
"2014年7月","11000","埼玉県","342380",""
"2014年8月","11000","埼玉県","421840",""
"2014年9月","11000","埼玉県","329630",""
"2014年10月","11000","埼玉県","356720",""
"2014年11月","11000","埼玉県","364030",""
"2014年12月","11000","埼玉県","339230",""
"2015年1月","11000","埼玉県","331180",""
"2015年2月","11000","埼玉県","317690",""
"2015年3月","11000","埼玉県","384190",""
"2015年4月","11000","埼玉県","345350",""
"2015年5月","11000","埼玉県","377550",""
"2015年6月","11000","埼玉県","316820",""
"2015年7月","11000","埼玉県","378500",""
"2015年8月","11000","埼玉県","457310",""
"2015年9月","11000","埼玉県","356110",""
"2015年10月","11000","埼玉県","375310",""
"2015年11月","11000","埼玉県","350730",""
"2015年12月","11000","埼玉県","340000",""
"2016年1月","11000","埼玉県","335610",""
"2016年2月","11000","埼玉県","324180",""
"2016年3月","11000","埼玉県","388500",""
"2016年4月","11000","埼玉県","355930",""
"2016年5月","11000","埼玉県","349820",""
"2016年6月","11000","埼玉県","332680",""
"2016年7月","11000","埼玉県","382560",""
"2016年8月","11000","埼玉県","466300",""
"2016年9月","11000","埼玉県","377210",""
"2016年10月","11000","埼玉県","398530",""
"2016年11月","11000","埼玉県","379560",""
"2016年12月","11000","埼玉県","381960",""
"2017年1月","11000","埼玉県","330480",""
"2017年2月","11000","埼玉県","334890",""
"2017年3月","11000","埼玉県","414290",""
"2017年4月","11000","埼玉県","377730",""
"2017年5月","11000","埼玉県","385800",""
"2017年6月","11000","埼玉県","340180",""
"2017年7月","11000","埼玉県","399470",""
"2017年8月","11000","埼玉県","487340",""
"2017年9月","11000","埼玉県","366350",""
"2017年10月","11000","埼玉県","379790",""
"2017年11月","11000","埼玉県","385060",""
"2017年12月","11000","埼玉県","388760",""
"2018年1月","11000","埼玉県","375550",""
"2018年2月","11000","埼玉県","360460",""
"2018年3月","11000","埼玉県","436840",""
"2018年4月","11000","埼玉県","415400",""
"2018年5月","11000","埼玉県","399700",""
"2018年6月","11000","埼玉県","369330",""
"2018年7月","11000","埼玉県","384700",""
"2018年8月","11000","埼玉県","489240",""
"2018年9月","11000","埼玉県","411020",""
"2018年10月","11000","埼玉県","412980",""
"2018年11月","11000","埼玉県","416030",""
"2018年12月","11000","埼玉県","441640",""
"2019年1月","11000","埼玉県","388170",""
"2019年2月","11000","埼玉県","393980",""
"2019年3月","11000","埼玉県","483930",""
"2019年4月","11000","埼玉県","481180",""
"2019年5月","11000","埼玉県","475790",""
