"延べ宿泊者数（外国人）【人泊】"
"時点","全国","北海道","青森県","岩手県","宮城県","秋田県","山形県","福島県","茨城県","栃木県","群馬県","埼玉県","千葉県","東京都","神奈川県","新潟県","富山県","石川県","福井県","山梨県","長野県","岐阜県","静岡県","愛知県","三重県","滋賀県","京都府","大阪府","兵庫県","奈良県","和歌山県","鳥取県","島根県","岡山県","広島県","山口県","徳島県","香川県","愛媛県","高知県","福岡県","佐賀県","長崎県","熊本県","大分県","宮崎県","鹿児島県","沖縄県"
"2009年5月","1322550","107390","3780","3360","7250","2020","1630","4560","3020","5320","2080","4510","93070","484660","44470","4690","9660","17430","1830","27270","18690","18200","23000","54270","5530","9210","73250","134330","21420","2680","4640","1150","650","4220","14690","1590","650","1740","2250","750","26090","1790","17540","12730","12330","3210","3430","24510"
"2009年6月","1078860","90920","3140","2280","4680","2460","1920","4460","4630","4890","2090","4410","90890","433090","38970","3790","2500","5360","630","13710","9300","5280","19250","44060","3950","3260","58350","103640","15810","1770","3210","740","410","2530","11070","2040","490","1340","2690","720","20800","920","10810","6930","7450","2090","2450","22710"
"2009年7月","1639350","205420","5080","4280","10210","2560","1660","4600","4620","5860","3720","5460","156410","597460","46840","7340","4900","8870","1200","34090","13680","10120","27100","48270","5380","4250","80680","150770","28470","3150","5980","800","1050","4050","13970","2110","1090","1690","2960","780","33500","2490","19730","16500","13230","3250","5170","28540"
"2009年8月","1768860","211870","5570","3930","11080","3660","2270","4720","4110","5450","3530","5800","176790","605440","43000","5420","5650","11760","1420","46070","17080","13490","35130","56810","4080","4520","85150","175700","25850","3980","7080","1320","1290","4240","16570","2250","1040","1880","2060","920","44410","3680","27800","22080","14250","2820","4340","31510"
"2009年9月","1390010","118360","4760","3830","9840","3040","2080","3010","5260","8260","3440","6530","125960","521300","44990","6250","5120","10290","1840","33730","10130","9670","26070","53490","11050","4880","65770","137950","21870","3010","6280","1340","890","4730","12740","1460","650","1720","3580","630","27850","1270","14310","10110","7310","3100","3280","26950"
"2009年10月","1820430","138510","11540","18830","21560","9120","5090","6120","6320","11980","4340","6010","144980","649900","60550","6810","8310","12800","790","37060","21170","21670","36400","78750","14490","11230","82100","183740","29790","3310","8110","970","930","5310","19170","2820","2300","3250","3430","1080","35250","2420","16490","13690","14650","6630","6430","34220"
"2009年11月","1604720","101440","5860","8850","13200","5580","2930","4690","5730","10540","4170","6400","130280","568280","51850","7440","5220","8470","830","36040","14210","14910","43920","74300","8780","11320","54610","183910","30070","2260","9270","1420","1590","5290","18600","3010","1370","3700","2800","3040","38270","3420","19780","19100","17530","3210","8560","28670"
"2009年12月","1662250","246270","4540","4110","7660","5900","3990","2830","3520","6980","3830","3800","134190","555010","44400","7080","1920","6240","1260","35120","12610","7370","44600","57120","6070","5960","50900","184660","22470","2530","8410","1920","740","4010","12850","1870","1060","1830","2320","1680","42510","3810","18290","22930","24730","4220","9810","26290"
"2010年1月","1765270","189850","3960","5730","9320","8830","6280","4600","5820","9010","4130","4190","147030","589530","52390","13060","1930","6790","1040","35830","26120","8990","40340","60350","3490","5270","62310","208520","26510","2040","4330","2230","400","3590","12420","2920","1100","1510","2700","2430","51650","3530","31000","33760","31940","6660","10710","19150"
"2010年2月","2142840","310780","5000","7920","13410","7840","11150","6350","5220","9380","17560","5340","178300","628710","66690","16010","2270","10230","1740","55760","34820","15500","50150","81060","4530","6460","60600","240670","31810","2650","7820","2310","560","3770","14420","2020","1930","2600","3950","1800","57830","3940","29950","36850","30030","7330","16760","31040"
"2010年3月","2090840","125800","3310","3870","6500","4540","4010","5050","9500","13290","4950","7770","172710","740000","80960","9870","2530","9620","1430","56760","16300","14310","48760","88670","4220","11190","118890","247820","32510","4270","8640","1970","970","5460","24220","3130","1840","3330","4880","1050","54570","2920","29730","34000","25230","5890","12210","21390"
"2010年4月","2605920","80170","4550","8710","13970","5130","4000","8690","7150","12290","5370","8320","262730","884880","80520","5720","13330","31510","3120","86540","29150","37220","71890","115460","7810","15590","180770","324850","39160","5060","9960","2160","1650","8440","33740","2510","2860","5820","4650","1270","44570","2180","29150","25540","32520","4340","8980","31930"
"2010年5月","2140090","116970","4210","6390","12800","5100","2460","8790","8160","10250","6090","6900","213410","697560","64390","5400","16800","29400","2090","60880","27750","26580","47400","96810","6550","10870","130160","254740","31650","3500","7230","1480","640","6650","20090","2300","1940","4040","3590","990","44420","2370","27420","19130","27710","4780","7850","43380"
"2010年6月","1983050","128260","3820","4290","8530","4180","2050","7880","8220","9540","4670","7090","204790","676700","63340","4340","7130","11290","1380","56490","14830","15050","44820","87120","8100","9240","109800","240550","24410","3800","7880","1390","680","4700","17320","2350","1600","3910","2620","840","40400","1840","26300","17930","23770","2860","5880","49100"
"2010年7月","2608640","280620","5120","5770","14790","3900","2510","8910","7110","10090","4520","7040","231330","840420","74210","7550","7390","13550","1570","61030","27300","18740","66000","94840","11120","9670","155340","317510","38890","4310","8760","1940","1140","6580","20900","5040","1000","4430","4710","780","59500","3520","39840","19570","31180","3450","8700","56460"
"2010年8月","2357410","229170","5460","6500","14570","4130","3040","10940","7350","8300","3600","6000","199800","721660","63960","5170","8070","13210","1320","52720","25160","17230","61320","95480","7650","7080","153300","299480","40350","4360","8870","1720","850","6610","23140","5120","1460","4460","3370","680","64200","3610","35610","21050","35450","3060","8160","53640"
"2010年9月","2015210","142960","4550","4330","14190","3850","2570","8210","11000","12720","5630","6570","164980","691880","63130","5840","6330","12270","2160","36930","20600","15820","44670","78180","7320","8250","143700","246210","27250","4620","6440","1870","1200","5550","20300","2710","1350","3140","4360","670","49200","2840","24650","13370","25790","2900","8610","43580"
"2010年10月","2301750","136840","9830","18540","25780","7790","5270","8470","8050","13500","5440","7540","171250","799730","73620","8950","11600","23150","1570","32850","29670","26550","48800","122320","18160","12210","134910","247950","37430","3920","6910","2050","1030","7090","23240","3030","1890","3270","3420","540","48480","3620","29730","32470","30700","3850","10810","37950"
"2010年11月","2030540","86870","5530","7110","15420","5240","4950","5370","7800","11650","6770","5030","148610","747730","79120","9020","5760","15110","1170","29790","17840","17780","40290","80570","9760","12550","104110","239170","37410","3970","9470","1750","1350","5450","17790","3960","2910","3820","4620","3000","54480","4950","31890","39440","37020","6100","14580","26470"
"2010年12月","1981440","227070","3760","4280","10210","3040","4340","3910","6170","7720","4330","3700","159010","701680","62780","8400","1430","12210","1600","31880","19060","9690","36600","69320","7030","10680","81350","225130","26520","3470","6730","2190","870","3220","11790","2130","1680","1770","2340","1920","47950","3000","25720","38210","31820","12820","12750","28170"
"2011年1月","2055690","229950","6880","7760","7580","4740","10480","6780","6850","8260","5330","4430","144580","655950","61650","18670","1840","8830","1530","21850","43340","10850","45900","50530","8090","5850","89560","232320","24000","2110","5080","2320","1030","4810","13710","2450","1550","1680","3920","2550","61800","5510","43010","52560","64600","9340","13040","40280"
"2011年2月","2222020","319980","7280","9540","9830","5990","11160","5220","5700","7840","7530","5540","155060","680590","72860","14370","2820","10890","1380","26850","38810","15180","51980","63140","8860","7050","81640","242080","28580","3350","8310","3170","1450","3990","12910","2510","1340","2760","4170","2600","58000","5000","34580","46490","60470","5370","13730","54070"
"2011年3月","1126930","68260","2020","2200","3800","1640","2660","1370","3900","3000","2660","3520","99920","343780","38510","5500","1130","5880","1960","8840","10340","6580","22810","41360","4330","5050","69220","187220","19520","3850","4480","1660","600","3640","11880","2240","740","1870","3170","1240","32870","2260","12710","20750","16190","1380","4950","33520"
"2011年4月","525010","9640","450","830","1120","350","550","1030","1830","2050","1160","1940","59230","123980","22370","2130","1870","4040","480","2200","4180","4440","6430","23530","3250","3590","44280","83390","16470","2830","1970","860","490","2820","9990","1800","1110","1240","2080","500","21340","1030","11430","4500","7070","840","2830","23500"
"2011年5月","833180","38180","830","640","2650","540","860","1400","2430","2800","1930","4010","79160","233160","38690","3220","7980","11560","1620","5750","10310","7260","9350","46060","5270","5790","51490","107950","14710","2310","3200","1140","1720","3570","12130","2990","1240","1600","2820","760","37180","1450","15180","8470","12380","1160","3420","24870"
"2011年6月","1173480","90770","1170","810","2080","2290","810","2050","15100","3050","2800","4620","100510","335230","55030","3150","6430","11180","940","13660","10010","7130","18860","54840","4950","5680","73820","164620","18740","2690","5540","2330","720","4250","10440","2810","1370","2340","1740","810","39440","3180","15450","9890","17200","1810","4970","36160"
"2011年7月","1678360","151130","2000","1050","3280","1330","1020","1620","9620","6520","3060","4350","130730","461270","64490","6660","3150","9620","2310","29070","18270","14120","27760","65370","5980","8880","116420","245490","34680","3300","5090","3790","1220","6520","15440","3060","2210","3440","2680","1030","61960","3990","25250","23130","17020","2820","7230","59950"
"2011年8月","1627960","149410","2470","1090","4580","1380","1730","960","6440","5250","4090","4230","139330","441990","58750","6100","3730","8620","5560","34100","17730","12550","26860","65410","7520","7450","93510","219210","28970","3210","5390","3090","1720","7480","17070","4470","1280","3380","2920","1130","62610","2570","32540","21220","22680","2890","7900","65440"
"2011年9月","1561440","97070","3050","1630","3590","1940","1710","1800","10640","9330","4720","4770","114760","524570","59910","6450","3610","10770","2120","19630","13970","11340","24720","61900","6290","5560","90900","196890","27590","3320","4050","3380","1690","5940","14370","3930","2890","3370","3280","1050","57940","1730","21640","19970","25030","1750","5680","59220"
"2011年10月","1974080","130610","3680","2530","4800","3740","1620","1880","9240","10020","5740","6840","142540","645080","71430","9780","9620","21780","2290","33070","27230","19100","33010","84680","16670","9450","122610","224870","35540","2680","5780","3470","2190","5460","20870","3130","2260","4570","4830","1390","56130","2640","21510","14590","42090","2900","8410","79750"
"2011年11月","1810530","95200","2240","3280","6550","2350","1150","2230","9250","12730","5080","5930","130780","589640","67100","6560","6240","14050","1900","26730","16280","13550","36580","83460","11090","12560","115850","237850","32560","2980","8540","2670","2080","6780","18000","3920","2270","7740","4720","2470","57340","4550","23140","14080","38640","8430","10960","42460"
"2011年12月","1827030","203550","1660","1990","3640","940","960","1200","7190","6440","4650","4860","133140","616590","63820","8670","2740","9040","1480","28540","13670","11980","29300","72350","8680","8820","103450","223520","27730","1910","6460","3930","920","3770","12830","3710","1060","2600","2590","950","57550","2950","20380","14750","35500","3290","9770","41550"
"2012年1月","2014720","255710","2760","3250","4660","1590","3020","1220","6200","4820","5990","6670","152200","587540","61380","15350","3550","12280","2080","33040","42930","18230","40660","64790","10590","6920","87190","228610","27120","4520","10810","3000","2070","5140","19840","3570","1040","2380","4990","4720","56420","3380","37300","31850","30560","32410","14400","55970"
"2012年2月","1724120","213060","3610","3320","6380","2340","2590","2750","8070","5380","4590","7370","121560","530280","65930","12230","4950","9590","2530","21450","31770","11910","29040","62660","5490","6510","66010","174210","22540","6560","5490","3030","1240","3800","18840","3550","2750","2800","3890","3510","50130","2780","31780","37580","26800","10240","23330","47930"
"2012年3月","1962890","99630","3150","3770","7130","1890","1900","2040","6180","7850","4500","8040","148490","686920","75150","6990","3250","11230","2660","33760","15670","13050","39030","76050","7570","9300","118060","222020","24080","9650","9800","2680","1030","5570","30800","4440","2720","4470","7450","5210","60830","3210","41040","36790","25420","8380","14810","49220"
"2012年4月","2683110","80990","2960","3830","6960","2490","1680","1780","7260","8280","5900","6250","182610","863250","87550","5420","12840","30460","4240","53300","27330","41540","58420","103110","7610","15470","279980","366680","37190","14300","13690","4940","1970","11500","48640","5340","9470","5140","6730","5810","66270","3500","49900","20590","25040","6800","13960","64180"
"2012年5月","2131400","125950","3690","3310","6860","1920","2160","2100","7480","8050","6710","5350","147530","677730","74180","6640","15090","26010","2080","35400","25140","32690","35550","91040","4870","7900","192940","243600","24920","8920","6870","4210","1200","6460","32510","4460","7870","2540","6210","900","53030","3180","43230","15230","20720","5830","11140","80040"
"2012年6月","2121600","141340","3880","2250","5500","1980","1590","2530","7130","9140","6050","5650","159430","688480","83930","4580","7710","13130","1570","34890","14680","15680","42320","80810","5560","7360","192530","249160","26400","5270","8030","3230","850","7520","28890","3830","8250","2980","3360","4260","51210","2540","41220","17260","18800","6880","9220","82790"
"2012年7月","2618650","247950","3840","2660","7640","3250","1710","2830","7790","9830","5420","7790","201620","775010","92330","11140","7690","13060","2110","49950","18570","18010","59810","86970","7410","8380","226950","307900","33160","10160","10130","2850","1610","7510","40100","4720","1950","3880","5080","1100","76010","2920","37800","25350","26230","27880","14230","98390"
"2012年8月","2456220","213340","4620","2580","8240","1450","3200","3700","7240","8370","4970","10100","188860","704430","85540","6500","9080","14300","2260","50630","18840","23300","63270","86600","6690","6350","215820","280600","32880","11520","9280","3590","3370","7530","49100","3250","1660","3390","7450","1070","81770","2820","36590","30140","24280","16850","15700","83110"
"2012年9月","1939240","114840","3300","3450","7260","1780","5300","3870","7600","10420","6810","8450","116530","655110","78220","5460","6570","13540","1880","25500","12770","14280","29910","71640","7030","7220","208630","201320","23870","9270","9340","2430","780","6530","38070","3210","2570","3740","3610","870","63570","2210","20630","20850","19710","4910","10220","64160"
"2012年10月","2313430","162810","5920","7970","10050","4860","3700","4760","8130","13820","6000","8960","127550","733770","76350","7870","12070","20790","2130","18000","27530","30480","34090","79430","18230","14010","262200","252620","29860","9320","10570","2980","1600","7600","39430","4500","2410","3320","4770","2840","63510","3560","28550","27020","30120","12830","13070","61460"
"2012年11月","2156990","107490","2820","6020","13140","2580","2750","4840","10620","13000","6510","7650","119500","675690","79260","6270","7900","15600","1650","14660","18740","23210","34480","70610","8250","14830","246610","274710","41450","8430","13190","3850","1230","6400","30680","4240","2630","6320","5340","2720","67230","6050","24360","32390","34390","11680","17290","47770"
"2012年12月","2191970","248960","1880","3600","6510","1450","2560","4830","5340","7950","5800","5960","128970","713550","64730","8430","3310","10390","1390","16780","34370","17710","27640","70940","5370","9750","208250","259420","30360","6370","9730","2700","980","3300","24230","3070","1770","2150","3790","630","68760","4790","26420","30880","28260","8530","13210","46200"
"2013年1月","1893680","206270","3950","5180","5430","3180","3600","2870","5700","9490","9880","4400","130070","572900","54700","13270","3050","18630","1020","11610","90420","14280","26030","53710","5170","5350","106520","221740","22970","5270","5730","2550","590","2950","18380","3370","760","2540","2510","2010","59200","3940","24230","26010","41650","17020","16940","46630"
"2013年2月","2277210","319580","4880","5620","7770","3600","4760","3960","4990","10240","12320","4170","136960","609660","70540","15740","4720","24990","1620","16050","89340","22460","34900","62420","8330","6820","116890","273280","36970","5490","13440","3310","960","3680","17990","4480","920","3890","3670","2620","68120","4520","33570","30530","45540","16650","24350","79920"
"2013年3月","2523340","168030","3600","4830","9420","2240","3010","7320","6480","13920","13910","6800","162690","823560","86400","9820","3630","25230","2150","26240","38500","22160","52350","81290","11500","10300","198160","314840","34370","9870","17040","2580","870","6020","30550","4350","1590","6200","5370","1510","75590","4190","37190","36980","38900","13620","16140","72050"
"2013年4月","3206830","103760","5910","8250","11310","3070","2930","2700","5180","20700","9800","9410","172830","980470","100160","7690","21620","51820","3370","66950","52640","61180","53310","118520","13670","12850","326240","459890","53840","25240","20830","4040","2250","10650","41960","3380","4120","7140","6180","2250","85730","4150","36950","40970","37300","7380","17990","108310"
"2013年5月","2787970","179110","5890","4080","9510","2430","2160","4040","5460","18740","8450","8070","157410","821740","88100","7200","24870","48210","2960","48800","44810","54070","41450","97530","10280","9870","251120","346360","42030","16830","15380","3850","1670","6690","29870","4230","2190","7530","6380","1510","81440","4300","33580","35840","33150","5090","15960","137730"
"2013年6月","2872920","225220","7000","3800","6120","3570","1450","4350","6170","16930","6150","8670","183310","852360","86590","6060","14340","30700","3660","53160","27470","29530","39020","104460","9890","6160","244620","398650","43210","13050","16600","5040","1190","6000","24720","3290","1460","6310","4830","1730","70590","5440","27750","40600","27920","10640","15370","167810"
"2013年7月","3353950","431720","4740","3480","9270","3610","2270","2530","8280","16530","6200","11300","215790","935930","111130","8390","10270","19690","1730","47720","31060","31460","56750","110730","9580","11430","247100","442920","48660","13240","20080","3910","2570","7600","36280","5120","3110","7450","6080","1690","86470","4790","45570","42860","28480","9160","18480","170770"
"2013年8月","3112040","365240","5210","4410","10600","2510","3360","2500","6030","14800","8100","9700","204670","867160","96200","6720","10720","19790","1880","43730","33590","31580","59540","105650","8890","9680","251920","396810","41550","15900","16890","4990","2880","9820","38000","4440","6370","9900","7440","1630","78190","3960","40290","40080","22870","12430","15130","158330"
"2013年9月","2712390","250490","4150","3340","7580","2410","2530","2660","6390","13150","8090","9990","183940","773160","104950","6040","11210","19360","2720","35820","31630","30910","45220","102950","12790","11600","226660","347060","36770","12400","17000","4410","1850","6030","37810","3700","2750","9150","4990","1000","66530","4130","32020","31190","24190","8730","12710","138270"
"2013年10月","3171850","273620","8770","13700","14270","4830","5640","3690","13460","19730","7890","8760","173990","917430","103890","9630","15670","31560","3570","51620","42770","52510","53820","112460","21940","15810","264970","372850","53420","15820","14710","3500","1560","10470","40450","3520","2810","14980","6320","2620","70640","3830","38060","31430","33030","14070","18250","173520"
"2013年11月","2844170","187920","4680","4980","8950","2880","2650","2740","11640","15100","10760","9610","164340","860810","95280","6460","11330","19670","3620","44610","26820","37670","57860","108830","11400","19910","213180","379460","54000","18990","16450","4460","1700","10410","29560","3390","3790","13600","7790","4930","78200","4850","38710","35380","36800","12090","24200","121740"
"2013年12月","2739370","358800","3710","3670","6380","1810","3050","2470","8720","9640","7380","6700","162260","815760","69520","9510","4860","16730","2060","45930","34030","28930","39480","89020","7470","12120","178520","360640","39240","12480","12960","4200","910","5640","20220","2940","2470","7150","5460","1330","79360","7460","37070","29450","39820","10120","19300","112680"
"2014年1月","2854690","359290","4380","7770","5700","1920","5900","2580","5150","9030","6960","7290","166060","818980","80170","10080","3860","17890","2440","45750","91920","26250","37550","80830","11640","8410","162970","375440","46890","5260","16910","5090","1410","4790","20940","5570","1800","4350","2850","2440","90970","7490","34820","36480","36520","13880","18130","141900"
"2014年2月","3079550","465920","4440","6040","6400","2490","5480","3530","6230","9170","7440","8040","165080","813280","97270","16530","6100","20300","2700","52640","74470","26060","42810","92440","11500","12280","159710","415620","50680","6820","18840","4870","2010","4800","17040","4560","1870","5640","3200","3250","87730","7890","35220","41230","40700","15540","25260","168450"
"2014年3月","3250640","236650","3460","2950","5850","1910","4070","3370","9250","11910","6590","10160","187750","989440","115380","9510","6150","19850","1540","76770","40500","28570","57790","115570","17770","21060","248810","446460","62410","8460","28040","2950","1230","7190","34030","5540","2610","8450","5530","3100","96180","7760","36690","42570","29650","11700","24490","153010"
"2014年4月","4517780","167750","6920","9360","11390","2900","3460","2820","6960","12820","11460","9740","270260","1422920","167920","8550","20700","58700","3400","112280","80960","94370","80530","142800","13850","40580","429120","645790","69440","23690","30300","5510","2220","12000","58320","4980","3560","15330","6870","3570","110440","5990","46340","43290","32370","12500","22590","170200"
"2014年5月","3708930","250780","5840","5420","8240","2660","2670","4460","6830","12170","11330","8480","247040","1100780","119560","5840","24970","55350","3690","81660","86870","75740","58830","124650","12840","21550","285680","505550","52340","13580","19010","4790","3410","8690","36910","4650","2430","13380","5530","2920","98470","6890","41120","34960","23620","11320","18340","177130"
"2014年6月","3517010","242320","6510","3460","9370","1910","6040","2890","7900","13790","9100","8400","260860","1040330","122740","8820","9060","25350","1750","78110","31600","39580","55400","115350","11530","16750","247700","515300","51330","10590","13900","3910","1990","7260","25960","4210","2380","11810","4230","2210","100500","4540","45570","38500","26750","11980","15890","241580"
"2014年7月","4305400","516290","6100","3900","11560","6000","2740","2750","7930","11410","6910","8690","277830","1218110","139130","13470","9550","22560","3690","99370","38620","40610","89100","136600","12590","16520","322050","569100","60700","15050","23240","5810","2570","12170","48080","3760","3230","11630","4620","2400","115930","8410","45550","37670","29480","8980","18550","254410"
"2014年8月","3782860","361640","5600","5160","9180","4730","3710","4840","8180","11280","8880","7920","220160","1071740","104610","9040","8600","22470","2620","84250","32850","39490","81960","120830","10320","14870","313350","528750","58700","15440","23100","5940","2890","14010","46990","3860","3900","10300","5360","3400","118830","7780","39750","33730","26310","12170","20460","232920"
"2014年9月","3397180","244700","4720","6330","7690","3490","2130","4220","7970","11430","7850","6610","188610","1016390","111810","10880","11270","21120","2330","71980","42690","35370","62340","112760","16010","15040","266510","463940","55570","11960","20860","4130","1990","9310","41170","3930","2320","12520","4080","2910","98680","6950","31660","29710","36760","12390","17670","236440"
"2014年10月","4373100","322030","14500","14780","19520","7110","5160","4180","11000","24730","12180","7620","254600","1319590","140260","11620","21900","35990","2340","84740","46300","74770","81440","159200","24230","21170","330910","591190","58610","13190","31380","6110","3420","10910","44230","4920","3730","19310","8040","3820","138480","8360","43780","41170","35100","15830","27530","212110"
"2014年11月","3915190","239880","7300","8070","14170","4020","3300","5380","9940","19790","13240","9590","212410","1157520","125040","10590","14120","27990","2750","84250","34970","61350","74290","155410","21410","26750","269510","563810","72390","10940","33370","4820","2960","12960","35500","5060","4750","17930","8230","6050","137570","9880","47930","49190","41300","17200","29770","190580"
"2014年12月","4122270","483360","4250","3900","8100","2340","3550","3010","6740","11890","10340","6910","216530","1226210","108630","20590","5780","20740","2280","77090","58750","55530","64290","133240","14840","15770","254720","579200","58850","10270","25840","4900","1910","6870","25860","5630","3370","12070","5560","2510","163530","9000","44080","46900","41840","17540","27340","209830"
"2015年1月","3961550","460450","5980","7960","8410","3790","8480","2700","9130","9820","9170","6880","210110","1109910","106510","42980","7190","20290","3120","63500","114670","41800","67330","125630","13150","13980","196140","549260","59470","6300","15990","10390","1760","5890","32660","7320","2110","8510","5440","8100","146640","9130","52250","46550","60130","16400","22820","225380"
"2015年2月","4861860","673450","7050","8550","8810","3880","12270","3090","10670","12490","10730","8300","283460","1220820","160720","48030","8180","27330","4360","94930","118010","59230","111020","159020","18710","20520","261730","630480","85780","17220","26370","11510","1950","8870","34560","7730","2810","12260","7550","5650","152770","12700","59270","55120","64330","15850","33940","259810"
"2015年3月","5015270","372210","5090","5430","21500","2980","6070","3030","17810","14740","11190","10270","303210","1454040","174870","18470","7490","35270","2880","109570","62530","61960","135960","187470","26200","40280","330140","672850","92540","17980","41540","12080","2190","10440","54140","9660","3810","15790","7610","3800","166370","13580","70690","60780","62070","15600","37950","223190"
"2015年4月","6355900","285760","13130","13750","17660","6870","6150","4460","26990","26690","21210","15210","356790","1764870","232870","13020","33800","75610","7920","139950","102470","139300","195630","249460","33460","68790","475940","861920","138350","30300","46990","8710","5270","18460","83360","10830","5970","24300","11700","6130","196080","14860","81730","56250","76030","20410","40040","290490"
"2015年5月","5579560","394770","14670","6670","12560","4060","3630","4070","19560","21400","18690","16650","325350","1484930","178210","11620","35120","62860","5650","122400","91120","104990","175670","217080","30670","45200","384680","755820","98080","21640","35710","7820","3010","13880","58610","5310","4410","19920","8830","4510","182090","14770","79040","55040","62130","16530","33000","307180"
"2015年6月","5347670","383760","5180","7310","13850","3250","3930","5060","14780","14540","11140","13130","320980","1437580","175990","10390","17780","35630","3010","117380","45130","59590","181340","227160","24500","37380","382000","766450","104070","21990","37220","6210","2930","11720","62830","6830","4790","16850","6980","3490","172110","17930","63250","46260","44730","14620","27540","357110"
"2015年7月","6411430","666720","7680","5760","20540","4570","2720","4590","19290","22200","12120","20270","379550","1624250","222950","19150","16010","37560","5490","133730","66680","69720","180280","233800","40380","36990","500010","888560","116020","31400","39140","6940","3600","16880","76280","12070","8220","21580","7080","3760","213690","19760","81290","58420","51010","13380","32610","356760"
"2015年8月","6039140","559670","9710","7230","15250","5540","7240","3880","21400","11730","9210","17120","323440","1606070","190680","20030","17170","42240","5020","91280","55200","76060","171230","215230","31390","38580","489910","793470","94740","31020","41190","6800","3580","19880","75580","9960","5640","21450","8770","6100","258080","14380","74490","62010","55330","17420","33360","364410"
"2015年9月","4992140","355600","6790","5160","13350","4350","3390","5180","14000","17920","7460","11330","241620","1368570","160000","17670","14970","39320","3440","81610","58850","60400","123550","183910","43310","32300","410060","696220","85940","21540","21630","5460","2720","13410","61240","10530","3790","15580","8300","5080","189060","11510","70570","54260","52190","12510","27060","339430"
"2015年10月","6083640","463180","24080","22960","27970","12690","9200","9270","16340","36090","17040","14320","272040","1597170","200780","15020","23640","51030","6430","117280","79320","93630","153980","197070","42680","52240","466650","813850","125030","21020","40610","9380","4790","17850","76190","11840","5720","21360","14240","8500","225380","20600","80280","71460","76990","21360","38600","356540"
"2015年11月","5332270","326680","12050","11740","19070","5540","5530","7500","17990","27420","18090","14040","238810","1381650","190830","12520","18220","51650","4930","92630","59810","76940","138420","194990","50280","55970","343720","755390","120010","20200","47950","10520","5480","19710","71530","6930","7280","19700","12750","7590","222050","20270","85200","73680","82090","18550","50470","297910"
"2015年12月","5634170","698900","7600","3830","11650","2290","7120","3580","12770","16500","14290","11060","245010","1510730","161910","33590","8230","38640","3740","87870","93680","87080","105220","156480","37020","35000","337700","781410","87000","18010","40300","7610","5670","13560","53640","10410","3770","13180","7620","3190","235380","21640","74150","74900","86970","19260","38320","306700"
"2016年1月","5561520","771030","8660","9530","12310","2740","12330","4990","13380","14110","15150","10600","250350","1304590","147310","56490","9420","34950","4500","84480","147580","81820","116700","182950","27030","29250","284260","795320","74910","16250","32870","7670","2740","10560","43590","7790","3330","13040","8510","5790","251720","20240","73730","74050","99960","24210","34710","324030"
"2016年2月","5970690","865140","9630","10060","12340","4320","15600","5350","15190","18260","17570","11640","291600","1312750","180280","49800","9360","42400","6200","102490","142970","87560","135900","191630","31630","39830","324200","838650","97980","23800","36440","8490","3710","16320","42260","9600","5130","18170","10180","4760","250040","23550","79380","89420","91970","22980","38860","325310"
"2016年3月","5800370","449100","6710","4760","14590","2860","5720","6830","31040","22420","15930","15740","306260","1538090","194570","19080","10970","44860","4480","130150","76760","82610","151920","225620","33870","54060","373490","786000","94600","26450","53340","7790","4270","21030","78330","9900","5570","24150","11140","6150","240860","19330","68170","83960","76200","23620","43200","293750"
"2016年4月","6780650","329520","17320","17510","21830","6900","6600","7920","32630","29530","26300","18160","345280","1837790","226050","13870","36320","96180","8380","166320","131720","148220","180520","247570","44990","69820","531410","947480","135340","34010","71260","9390","7100","37390","110970","10210","6710","34110","13150","7430","228390","17250","66190","53280","58370","17130","36470","280390"
"2016年5月","5540060","416400","10520","6970","13220","3870","3850","5970","20350","24410","21530","13400","274020","1522680","172850","12230","39730","80140","6070","132060","113840","100230","136260","206670","32130","43130","365240","801360","91430","23340","42740","7560","6960","26060","79620","8910","4910","24960","13920","6250","183020","14250","55140","8650","21030","9960","27450","304760"
"2016年6月","5625890","447330","8950","4880","12630","4360","3620","5550","14520","19760","14350","14700","309760","1499480","173220","12430","18600","44440","2590","122620","76700","69140","138370","198570","24180","35580","421260","867450","93420","27850","44550","7090","3650","23980","71500","6510","4670","22810","10350","5130","224970","19310","53730","14940","36600","10730","29840","349210"
"2016年7月","6716110","712110","16190","7410","17450","5080","4250","7220","22990","17010","12380","17150","375110","1706960","223010","19470","13770","48620","3370","163210","74230","78190","187840","250910","30110","40960","453910","1020000","101840","39020","51800","8660","4870","24930","78210","5690","5430","33460","13070","7390","212010","19940","67360","16760","46480","17420","38980","393900"
"2016年8月","5726940","554160","14570","9460","16140","6300","3780","5930","17210","15180","13580","16210","284860","1425810","155290","11040","14280","45270","2500","128450","61260","72100","144220","210250","27900","34130","443080","848210","84160","38120","51710","8730","5240","22700","73740","5500","6330","35880","14370","7510","215250","18940","51800","23760","58300","17760","46020","359990"
"2016年9月","5048700","379830","12480","8190","14530","4600","4740","3910","14000","18430","18600","12850","215630","1391890","176750","12720","14210","37060","2520","85300","55640","55930","96730","162970","22420","28580","368800","749000","75580","22590","38210","9430","4800","20770","67540","5670","5910","32890","12330","4830","213880","17470","49630","26560","74600","18250","40630","338820"
"2016年10月","5948130","477320","31500","27940","31160","13790","11010","11900","19280","34110","21820","15410","253410","1592750","185680","20180","27060","59280","4470","90780","90170","95520","110950","183070","34900","37730","412270","827480","91610","19200","57010","9500","7370","29540","84080","7290","7950","50070","15630","6620","214260","25770","53830","34020","78570","26470","49480","358930"
