time	country	variable	value
2020-06-01	St.Christopher and Nevis	Number Of Vessels	0
2020-06-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-06-01	St.Christopher and Nevis	Net Tonnages	0
2020-06-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-07-01	St.Christopher and Nevis	Number Of Vessels	0
2020-07-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-07-01	St.Christopher and Nevis	Net Tonnages	0
2020-07-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-08-01	St.Christopher and Nevis	Number Of Vessels	0
2020-08-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-08-01	St.Christopher and Nevis	Net Tonnages	0
2020-08-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-09-01	St.Christopher and Nevis	Number Of Vessels	0
2020-09-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-09-01	St.Christopher and Nevis	Net Tonnages	0
2020-09-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-10-01	St.Christopher and Nevis	Number Of Vessels	0
2020-10-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-10-01	St.Christopher and Nevis	Net Tonnages	0
2020-10-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-11-01	St.Christopher and Nevis	Number Of Vessels	0
2020-11-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-11-01	St.Christopher and Nevis	Net Tonnages	0
2020-11-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-12-01	St.Christopher and Nevis	Number Of Vessels	0
2020-12-01	St.Christopher and Nevis	Number Of Vessel (Direct Entrance)	0
2020-12-01	St.Christopher and Nevis	Net Tonnages	0
2020-12-01	St.Christopher and Nevis	Net Tonnages (Direct Entrance)	0
2020-01-01	St.Vincent	Number Of Vessels	18
2020-01-01	St.Vincent	Number Of Vessel (Direct Entrance)	10
2020-01-01	St.Vincent	Net Tonnages	52802
2020-01-01	St.Vincent	Net Tonnages (Direct Entrance)	30687
2020-02-01	St.Vincent	Number Of Vessels	8
2020-02-01	St.Vincent	Number Of Vessel (Direct Entrance)	4
2020-02-01	St.Vincent	Net Tonnages	19924
2020-02-01	St.Vincent	Net Tonnages (Direct Entrance)	9962
2020-03-01	St.Vincent	Number Of Vessels	21
2020-03-01	St.Vincent	Number Of Vessel (Direct Entrance)	10
2020-03-01	St.Vincent	Net Tonnages	51205
2020-03-01	St.Vincent	Net Tonnages (Direct Entrance)	24905
2020-04-01	St.Vincent	Number Of Vessels	14
2020-04-01	St.Vincent	Number Of Vessel (Direct Entrance)	7
2020-04-01	St.Vincent	Net Tonnages	46940
2020-04-01	St.Vincent	Net Tonnages (Direct Entrance)	23470
2020-05-01	St.Vincent	Number Of Vessels	13
2020-05-01	St.Vincent	Number Of Vessel (Direct Entrance)	7
2020-05-01	St.Vincent	Net Tonnages	35663
2020-05-01	St.Vincent	Net Tonnages (Direct Entrance)	18529
2020-06-01	St.Vincent	Number Of Vessels	15
2020-06-01	St.Vincent	Number Of Vessel (Direct Entrance)	8
2020-06-01	St.Vincent	Net Tonnages	42835
2020-06-01	St.Vincent	Net Tonnages (Direct Entrance)	22115
2020-07-01	St.Vincent	Number Of Vessels	17
2020-07-01	St.Vincent	Number Of Vessel (Direct Entrance)	7
2020-07-01	St.Vincent	Net Tonnages	41243
2020-07-01	St.Vincent	Net Tonnages (Direct Entrance)	18529
2020-08-01	St.Vincent	Number Of Vessels	11
2020-08-01	St.Vincent	Number Of Vessel (Direct Entrance)	6
2020-08-01	St.Vincent	Net Tonnages	40564
2020-08-01	St.Vincent	Net Tonnages (Direct Entrance)	22075
2020-09-01	St.Vincent	Number Of Vessels	14
2020-09-01	St.Vincent	Number Of Vessel (Direct Entrance)	7
2020-09-01	St.Vincent	Net Tonnages	38605
2020-09-01	St.Vincent	Net Tonnages (Direct Entrance)	17885
2020-10-01	St.Vincent	Number Of Vessels	10
2020-10-01	St.Vincent	Number Of Vessel (Direct Entrance)	4
2020-10-01	St.Vincent	Net Tonnages	27096
2020-10-01	St.Vincent	Net Tonnages (Direct Entrance)	12153
2020-11-01	St.Vincent	Number Of Vessels	17
2020-11-01	St.Vincent	Number Of Vessel (Direct Entrance)	9
2020-11-01	St.Vincent	Net Tonnages	39481
2020-11-01	St.Vincent	Net Tonnages (Direct Entrance)	19557
2020-12-01	St.Vincent	Number Of Vessels	14
2020-12-01	St.Vincent	Number Of Vessel (Direct Entrance)	7
2020-12-01	St.Vincent	Net Tonnages	41440
2020-12-01	St.Vincent	Net Tonnages (Direct Entrance)	20720
2020-01-01	Morocco	Number Of Vessels	0
2020-01-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-01-01	Morocco	Net Tonnages	0
2020-01-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-02-01	Morocco	Number Of Vessels	0
2020-02-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-02-01	Morocco	Net Tonnages	0
2020-02-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-03-01	Morocco	Number Of Vessels	0
2020-03-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-03-01	Morocco	Net Tonnages	0
2020-03-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-04-01	Morocco	Number Of Vessels	0
2020-04-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-04-01	Morocco	Net Tonnages	0
2020-04-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-05-01	Morocco	Number Of Vessels	0
2020-05-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-05-01	Morocco	Net Tonnages	0
2020-05-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-06-01	Morocco	Number Of Vessels	0
2020-06-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-06-01	Morocco	Net Tonnages	0
2020-06-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-07-01	Morocco	Number Of Vessels	0
2020-07-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-07-01	Morocco	Net Tonnages	0
2020-07-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-08-01	Morocco	Number Of Vessels	0
2020-08-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-08-01	Morocco	Net Tonnages	0
2020-08-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-09-01	Morocco	Number Of Vessels	0
2020-09-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-09-01	Morocco	Net Tonnages	0
2020-09-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-10-01	Morocco	Number Of Vessels	0
2020-10-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-10-01	Morocco	Net Tonnages	0
2020-10-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-11-01	Morocco	Number Of Vessels	0
2020-11-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-11-01	Morocco	Net Tonnages	0
2020-11-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-12-01	Morocco	Number Of Vessels	1
2020-12-01	Morocco	Number Of Vessel (Direct Entrance)	0
2020-12-01	Morocco	Net Tonnages	59527
2020-12-01	Morocco	Net Tonnages (Direct Entrance)	0
2020-01-01	Libya	Number Of Vessels	0
2020-01-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-01-01	Libya	Net Tonnages	0
2020-01-01	Libya	Net Tonnages (Direct Entrance)	0
2020-02-01	Libya	Number Of Vessels	0
2020-02-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-02-01	Libya	Net Tonnages	0
2020-02-01	Libya	Net Tonnages (Direct Entrance)	0
2020-03-01	Libya	Number Of Vessels	0
2020-03-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-03-01	Libya	Net Tonnages	0
2020-03-01	Libya	Net Tonnages (Direct Entrance)	0
2020-04-01	Libya	Number Of Vessels	0
2020-04-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-04-01	Libya	Net Tonnages	0
2020-04-01	Libya	Net Tonnages (Direct Entrance)	0
2020-05-01	Libya	Number Of Vessels	0
2020-05-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-05-01	Libya	Net Tonnages	0
2020-05-01	Libya	Net Tonnages (Direct Entrance)	0
2020-06-01	Libya	Number Of Vessels	0
2020-06-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-06-01	Libya	Net Tonnages	0
2020-06-01	Libya	Net Tonnages (Direct Entrance)	0
2020-07-01	Libya	Number Of Vessels	0
2020-07-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-07-01	Libya	Net Tonnages	0
2020-07-01	Libya	Net Tonnages (Direct Entrance)	0
2020-08-01	Libya	Number Of Vessels	1
2020-08-01	Libya	Number Of Vessel (Direct Entrance)	1
2020-08-01	Libya	Net Tonnages	54305
2020-08-01	Libya	Net Tonnages (Direct Entrance)	54305
2020-09-01	Libya	Number Of Vessels	0
2020-09-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-09-01	Libya	Net Tonnages	0
2020-09-01	Libya	Net Tonnages (Direct Entrance)	0
2020-10-01	Libya	Number Of Vessels	0
2020-10-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-10-01	Libya	Net Tonnages	0
2020-10-01	Libya	Net Tonnages (Direct Entrance)	0
2020-11-01	Libya	Number Of Vessels	0
2020-11-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-11-01	Libya	Net Tonnages	0
2020-11-01	Libya	Net Tonnages (Direct Entrance)	0
2020-12-01	Libya	Number Of Vessels	0
2020-12-01	Libya	Number Of Vessel (Direct Entrance)	0
2020-12-01	Libya	Net Tonnages	0
2020-12-01	Libya	Net Tonnages (Direct Entrance)	0
2020-01-01	Sierra Leone	Number Of Vessels	118
2020-01-01	Sierra Leone	Number Of Vessel (Direct Entrance)	51
2020-01-01	Sierra Leone	Net Tonnages	150244
2020-01-01	Sierra Leone	Net Tonnages (Direct Entrance)	68763
2020-02-01	Sierra Leone	Number Of Vessels	91
2020-02-01	Sierra Leone	Number Of Vessel (Direct Entrance)	43
2020-02-01	Sierra Leone	Net Tonnages	129539
2020-02-01	Sierra Leone	Net Tonnages (Direct Entrance)	60549
2020-03-01	Sierra Leone	Number Of Vessels	115
2020-03-01	Sierra Leone	Number Of Vessel (Direct Entrance)	61
2020-03-01	Sierra Leone	Net Tonnages	144887
2020-03-01	Sierra Leone	Net Tonnages (Direct Entrance)	76125
2020-04-01	Sierra Leone	Number Of Vessels	113
2020-04-01	Sierra Leone	Number Of Vessel (Direct Entrance)	48
2020-04-01	Sierra Leone	Net Tonnages	127218
2020-04-01	Sierra Leone	Net Tonnages (Direct Entrance)	58007
2020-05-01	Sierra Leone	Number Of Vessels	120
2020-05-01	Sierra Leone	Number Of Vessel (Direct Entrance)	54
2020-05-01	Sierra Leone	Net Tonnages	149514
2020-05-01	Sierra Leone	Net Tonnages (Direct Entrance)	73720
2020-06-01	Sierra Leone	Number Of Vessels	97
2020-06-01	Sierra Leone	Number Of Vessel (Direct Entrance)	49
2020-06-01	Sierra Leone	Net Tonnages	122790
2020-06-01	Sierra Leone	Net Tonnages (Direct Entrance)	58883
2020-07-01	Sierra Leone	Number Of Vessels	116
2020-07-01	Sierra Leone	Number Of Vessel (Direct Entrance)	57
2020-07-01	Sierra Leone	Net Tonnages	137866
2020-07-01	Sierra Leone	Net Tonnages (Direct Entrance)	69377
2020-08-01	Sierra Leone	Number Of Vessels	93
2020-08-01	Sierra Leone	Number Of Vessel (Direct Entrance)	48
2020-08-01	Sierra Leone	Net Tonnages	121571
2020-08-01	Sierra Leone	Net Tonnages (Direct Entrance)	64115
2020-09-01	Sierra Leone	Number Of Vessels	101
2020-09-01	Sierra Leone	Number Of Vessel (Direct Entrance)	51
2020-09-01	Sierra Leone	Net Tonnages	134646
2020-09-01	Sierra Leone	Net Tonnages (Direct Entrance)	68384
2020-10-01	Sierra Leone	Number Of Vessels	118
2020-10-01	Sierra Leone	Number Of Vessel (Direct Entrance)	60
2020-10-01	Sierra Leone	Net Tonnages	150373
2020-10-01	Sierra Leone	Net Tonnages (Direct Entrance)	79351
2020-11-01	Sierra Leone	Number Of Vessels	105
2020-11-01	Sierra Leone	Number Of Vessel (Direct Entrance)	44
2020-11-01	Sierra Leone	Net Tonnages	126533
2020-11-01	Sierra Leone	Net Tonnages (Direct Entrance)	56162
2020-12-01	Sierra Leone	Number Of Vessels	108
2020-12-01	Sierra Leone	Number Of Vessel (Direct Entrance)	47
2020-12-01	Sierra Leone	Net Tonnages	144012
2020-12-01	Sierra Leone	Net Tonnages (Direct Entrance)	63404
2020-01-01	Liberia	Number Of Vessels	429
2020-01-01	Liberia	Number Of Vessel (Direct Entrance)	186
2020-01-01	Liberia	Net Tonnages	7144277
2020-01-01	Liberia	Net Tonnages (Direct Entrance)	3502073
2020-02-01	Liberia	Number Of Vessels	375
2020-02-01	Liberia	Number Of Vessel (Direct Entrance)	151
2020-02-01	Liberia	Net Tonnages	6237802
2020-02-01	Liberia	Net Tonnages (Direct Entrance)	2985481
2020-03-01	Liberia	Number Of Vessels	474
2020-03-01	Liberia	Number Of Vessel (Direct Entrance)	201
2020-03-01	Liberia	Net Tonnages	7725673
2020-03-01	Liberia	Net Tonnages (Direct Entrance)	3799478
2020-04-01	Liberia	Number Of Vessels	478
2020-04-01	Liberia	Number Of Vessel (Direct Entrance)	197
2020-04-01	Liberia	Net Tonnages	8426068
2020-04-01	Liberia	Net Tonnages (Direct Entrance)	3987234
2020-05-01	Liberia	Number Of Vessels	359
2020-05-01	Liberia	Number Of Vessel (Direct Entrance)	158
2020-05-01	Liberia	Net Tonnages	6207497
2020-05-01	Liberia	Net Tonnages (Direct Entrance)	3222452
2020-06-01	Liberia	Number Of Vessels	401
2020-06-01	Liberia	Number Of Vessel (Direct Entrance)	175
2020-06-01	Liberia	Net Tonnages	5840222
2020-06-01	Liberia	Net Tonnages (Direct Entrance)	2962347
2020-07-01	Liberia	Number Of Vessels	435
2020-07-01	Liberia	Number Of Vessel (Direct Entrance)	185
2020-07-01	Liberia	Net Tonnages	7239878
2020-07-01	Liberia	Net Tonnages (Direct Entrance)	3322732
2020-08-01	Liberia	Number Of Vessels	432
2020-08-01	Liberia	Number Of Vessel (Direct Entrance)	191
2020-08-01	Liberia	Net Tonnages	6314867
2020-08-01	Liberia	Net Tonnages (Direct Entrance)	3187569
2020-09-01	Liberia	Number Of Vessels	401
2020-09-01	Liberia	Number Of Vessel (Direct Entrance)	179
2020-09-01	Liberia	Net Tonnages	6664512
2020-09-01	Liberia	Net Tonnages (Direct Entrance)	3498852
2020-10-01	Liberia	Number Of Vessels	414
2020-10-01	Liberia	Number Of Vessel (Direct Entrance)	177
2020-10-01	Liberia	Net Tonnages	6408281
2020-10-01	Liberia	Net Tonnages (Direct Entrance)	3175559
2020-11-01	Liberia	Number Of Vessels	460
2020-11-01	Liberia	Number Of Vessel (Direct Entrance)	202
2020-11-01	Liberia	Net Tonnages	7376332
2020-11-01	Liberia	Net Tonnages (Direct Entrance)	3710212
2020-12-01	Liberia	Number Of Vessels	441
2020-12-01	Liberia	Number Of Vessel (Direct Entrance)	197
2020-12-01	Liberia	Net Tonnages	6612127
2020-12-01	Liberia	Net Tonnages (Direct Entrance)	3459294
2020-01-01	Togo	Number Of Vessels	110
2020-01-01	Togo	Number Of Vessel (Direct Entrance)	55
2020-01-01	Togo	Net Tonnages	153751
2020-01-01	Togo	Net Tonnages (Direct Entrance)	81978
2020-02-01	Togo	Number Of Vessels	99
2020-02-01	Togo	Number Of Vessel (Direct Entrance)	57
2020-02-01	Togo	Net Tonnages	148251
2020-02-01	Togo	Net Tonnages (Direct Entrance)	85532
2020-03-01	Togo	Number Of Vessels	102
2020-03-01	Togo	Number Of Vessel (Direct Entrance)	60
2020-03-01	Togo	Net Tonnages	131821
2020-03-01	Togo	Net Tonnages (Direct Entrance)	78786
2020-04-01	Togo	Number Of Vessels	108
2020-04-01	Togo	Number Of Vessel (Direct Entrance)	56
2020-04-01	Togo	Net Tonnages	151715
2020-04-01	Togo	Net Tonnages (Direct Entrance)	78708
2020-05-01	Togo	Number Of Vessels	104
2020-05-01	Togo	Number Of Vessel (Direct Entrance)	62
2020-05-01	Togo	Net Tonnages	147219
2020-05-01	Togo	Net Tonnages (Direct Entrance)	89912
2020-06-01	Togo	Number Of Vessels	100
2020-06-01	Togo	Number Of Vessel (Direct Entrance)	60
2020-06-01	Togo	Net Tonnages	130247
2020-06-01	Togo	Net Tonnages (Direct Entrance)	81029
2020-07-01	Togo	Number Of Vessels	96
2020-07-01	Togo	Number Of Vessel (Direct Entrance)	64
2020-07-01	Togo	Net Tonnages	128154
2020-07-01	Togo	Net Tonnages (Direct Entrance)	86809
2020-08-01	Togo	Number Of Vessels	84
2020-08-01	Togo	Number Of Vessel (Direct Entrance)	50
2020-08-01	Togo	Net Tonnages	113672
2020-08-01	Togo	Net Tonnages (Direct Entrance)	66683
2020-09-01	Togo	Number Of Vessels	86
2020-09-01	Togo	Number Of Vessel (Direct Entrance)	48
2020-09-01	Togo	Net Tonnages	112106
2020-09-01	Togo	Net Tonnages (Direct Entrance)	65987
2020-10-01	Togo	Number Of Vessels	94
2020-10-01	Togo	Number Of Vessel (Direct Entrance)	60
2020-10-01	Togo	Net Tonnages	124531
2020-10-01	Togo	Net Tonnages (Direct Entrance)	79046
2020-11-01	Togo	Number Of Vessels	86
2020-11-01	Togo	Number Of Vessel (Direct Entrance)	52
2020-11-01	Togo	Net Tonnages	119041
2020-11-01	Togo	Net Tonnages (Direct Entrance)	71781
2020-12-01	Togo	Number Of Vessels	93
2020-12-01	Togo	Number Of Vessel (Direct Entrance)	55
2020-12-01	Togo	Net Tonnages	118943
2020-12-01	Togo	Net Tonnages (Direct Entrance)	71067
2020-01-01	Cameroon	Number Of Vessels	0
2020-01-01	Cameroon	Number Of Vessel (Direct Entrance)	0
2020-01-01	Cameroon	Net Tonnages	0
2020-01-01	Cameroon	Net Tonnages (Direct Entrance)	0
2020-02-01	Cameroon	Number Of Vessels	0
2020-02-01	Cameroon	Number Of Vessel (Direct Entrance)	0
2020-02-01	Cameroon	Net Tonnages	0
2020-02-01	Cameroon	Net Tonnages (Direct Entrance)	0
2020-03-01	Cameroon	Number Of Vessels	0
2020-03-01	Cameroon	Number Of Vessel (Direct Entrance)	0
2020-03-01	Cameroon	Net Tonnages	0
2020-03-01	Cameroon	Net Tonnages (Direct Entrance)	0
2020-04-01	Cameroon	Number Of Vessels	0
2020-04-01	Cameroon	Number Of Vessel (Direct Entrance)	0
2020-04-01	Cameroon	Net Tonnages	0
2020-04-01	Cameroon	Net Tonnages (Direct Entrance)	0
2020-05-01	Cameroon	Number Of Vessels	0
2020-05-01	Cameroon	Number Of Vessel (Direct Entrance)	0
2020-05-01	Cameroon	Net Tonnages	0
2020-05-01	Cameroon	Net Tonnages (Direct Entrance)	0
2020-06-01	Cameroon	Number Of Vessels	5
2020-06-01	Cameroon	Number Of Vessel (Direct Entrance)	2
2020-06-01	Cameroon	Net Tonnages	5497
2020-06-01	Cameroon	Net Tonnages (Direct Entrance)	2203
2020-07-01	Cameroon	Number Of Vessels	4
2020-07-01	Cameroon	Number Of Vessel (Direct Entrance)	1
2020-07-01	Cameroon	Net Tonnages	4364
2020-07-01	Cameroon	Net Tonnages (Direct Entrance)	1091
2020-08-01	Cameroon	Number Of Vessels	5
2020-08-01	Cameroon	Number Of Vessel (Direct Entrance)	1
2020-08-01	Cameroon	Net Tonnages	5455
2020-08-01	Cameroon	Net Tonnages (Direct Entrance)	1091
2020-09-01	Cameroon	Number Of Vessels	6
2020-09-01	Cameroon	Number Of Vessel (Direct Entrance)	2
2020-09-01	Cameroon	Net Tonnages	6567
2020-09-01	Cameroon	Net Tonnages (Direct Entrance)	2203
2020-10-01	Cameroon	Number Of Vessels	6
2020-10-01	Cameroon	Number Of Vessel (Direct Entrance)	2
2020-10-01	Cameroon	Net Tonnages	6567
2020-10-01	Cameroon	Net Tonnages (Direct Entrance)	2203
2020-11-01	Cameroon	Number Of Vessels	3
2020-11-01	Cameroon	Number Of Vessel (Direct Entrance)	1
2020-11-01	Cameroon	Net Tonnages	3273
2020-11-01	Cameroon	Net Tonnages (Direct Entrance)	1091
2020-12-01	Cameroon	Number Of Vessels	9
2020-12-01	Cameroon	Number Of Vessel (Direct Entrance)	3
2020-12-01	Cameroon	Net Tonnages	9879
2020-12-01	Cameroon	Net Tonnages (Direct Entrance)	3282
2020-01-01	Gabon	Number Of Vessels	0
2020-01-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-01-01	Gabon	Net Tonnages	0
2020-01-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-02-01	Gabon	Number Of Vessels	0
2020-02-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-02-01	Gabon	Net Tonnages	0
2020-02-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-03-01	Gabon	Number Of Vessels	0
2020-03-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-03-01	Gabon	Net Tonnages	0
2020-03-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-04-01	Gabon	Number Of Vessels	0
2020-04-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-04-01	Gabon	Net Tonnages	0
2020-04-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-05-01	Gabon	Number Of Vessels	0
2020-05-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-05-01	Gabon	Net Tonnages	0
2020-05-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-06-01	Gabon	Number Of Vessels	0
2020-06-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-06-01	Gabon	Net Tonnages	0
2020-06-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-07-01	Gabon	Number Of Vessels	0
2020-07-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-07-01	Gabon	Net Tonnages	0
2020-07-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-08-01	Gabon	Number Of Vessels	0
2020-08-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-08-01	Gabon	Net Tonnages	0
2020-08-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-09-01	Gabon	Number Of Vessels	0
2020-09-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-09-01	Gabon	Net Tonnages	0
2020-09-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-10-01	Gabon	Number Of Vessels	0
2020-10-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-10-01	Gabon	Net Tonnages	0
2020-10-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-11-01	Gabon	Number Of Vessels	2
2020-11-01	Gabon	Number Of Vessel (Direct Entrance)	1
2020-11-01	Gabon	Net Tonnages	9030
2020-11-01	Gabon	Net Tonnages (Direct Entrance)	4515
2020-12-01	Gabon	Number Of Vessels	0
2020-12-01	Gabon	Number Of Vessel (Direct Entrance)	0
2020-12-01	Gabon	Net Tonnages	0
2020-12-01	Gabon	Net Tonnages (Direct Entrance)	0
2020-01-01	South Africa	Number Of Vessels	0
2020-01-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-01-01	South Africa	Net Tonnages	0
2020-01-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-02-01	South Africa	Number Of Vessels	3
2020-02-01	South Africa	Number Of Vessel (Direct Entrance)	1
2020-02-01	South Africa	Net Tonnages	172608
2020-02-01	South Africa	Net Tonnages (Direct Entrance)	57536
2020-03-01	South Africa	Number Of Vessels	0
2020-03-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-03-01	South Africa	Net Tonnages	0
2020-03-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-04-01	South Africa	Number Of Vessels	1
2020-04-01	South Africa	Number Of Vessel (Direct Entrance)	1
2020-04-01	South Africa	Net Tonnages	18504
2020-04-01	South Africa	Net Tonnages (Direct Entrance)	18504
2020-05-01	South Africa	Number Of Vessels	0
2020-05-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-05-01	South Africa	Net Tonnages	0
2020-05-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-06-01	South Africa	Number Of Vessels	0
2020-06-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-06-01	South Africa	Net Tonnages	0
2020-06-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-07-01	South Africa	Number Of Vessels	0
2020-07-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-07-01	South Africa	Net Tonnages	0
2020-07-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-08-01	South Africa	Number Of Vessels	0
2020-08-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-08-01	South Africa	Net Tonnages	0
2020-08-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-09-01	South Africa	Number Of Vessels	0
2020-09-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-09-01	South Africa	Net Tonnages	0
2020-09-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-10-01	South Africa	Number Of Vessels	0
2020-10-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-10-01	South Africa	Net Tonnages	0
2020-10-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-11-01	South Africa	Number Of Vessels	0
2020-11-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-11-01	South Africa	Net Tonnages	0
2020-11-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-12-01	South Africa	Number Of Vessels	0
2020-12-01	South Africa	Number Of Vessel (Direct Entrance)	0
2020-12-01	South Africa	Net Tonnages	0
2020-12-01	South Africa	Net Tonnages (Direct Entrance)	0
2020-01-01	Comoros	Number Of Vessels	0
2020-01-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-01-01	Comoros	Net Tonnages	0
2020-01-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-02-01	Comoros	Number Of Vessels	0
2020-02-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-02-01	Comoros	Net Tonnages	0
2020-02-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-03-01	Comoros	Number Of Vessels	0
2020-03-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-03-01	Comoros	Net Tonnages	0
2020-03-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-04-01	Comoros	Number Of Vessels	0
2020-04-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-04-01	Comoros	Net Tonnages	0
2020-04-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-05-01	Comoros	Number Of Vessels	0
2020-05-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-05-01	Comoros	Net Tonnages	0
2020-05-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-06-01	Comoros	Number Of Vessels	0
2020-06-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-06-01	Comoros	Net Tonnages	0
2020-06-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-07-01	Comoros	Number Of Vessels	0
2020-07-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-07-01	Comoros	Net Tonnages	0
2020-07-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-08-01	Comoros	Number Of Vessels	0
2020-08-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-08-01	Comoros	Net Tonnages	0
2020-08-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-09-01	Comoros	Number Of Vessels	0
2020-09-01	Comoros	Number Of Vessel (Direct Entrance)	0
2020-09-01	Comoros	Net Tonnages	0
2020-09-01	Comoros	Net Tonnages (Direct Entrance)	0
2020-10-01	Comoros	Number Of Vessels	0
2020-10-01	Comoros	Number Of Vessel (Direct Entrance)	0
