time	location	total	foreigners
2007-01-01	Japan	22136270	1451290
2007-02-01	Japan	23346870	1749830
2007-03-01	Japan	26997200	1783830
2007-04-01	Japan	23729790	2106150
2007-05-01	Japan	25636730	1834840
2007-06-01	Japan	23664790	1759410
2007-07-01	Japan	25362320	2064850
2007-08-01	Japan	33935790	1988300
2007-09-01	Japan	25650700	1758420
2007-10-01	Japan	27430380	2262380
2007-11-01	Japan	27087720	2045230
2007-12-01	Japan	24403230	1849810
2008-01-01	Japan	22306990	1701460
2008-02-01	Japan	23734590	1849800
2008-03-01	Japan	27229850	1847650
2008-04-01	Japan	23642670	2224780
2008-05-01	Japan	26128970	1978240
2008-06-01	Japan	23402130	1811300
2008-07-01	Japan	26565860	2180330
2008-08-01	Japan	33652720	1918440
2008-09-01	Japan	24941780	1643680
2008-10-01	Japan	27605970	2111830
2008-11-01	Japan	26884920	1587360
2008-12-01	Japan	23602270	1393440
2009-01-01	Japan	22163460	1514060
2009-02-01	Japan	21876640	1183860
2009-03-01	Japan	26696910	1487000
2009-04-01	Japan	22411430	1825820
2009-05-01	Japan	24986700	1322550
2009-06-01	Japan	21796450	1078860
2009-07-01	Japan	25881320	1639350
2009-08-01	Japan	33518780	1768860
2009-09-01	Japan	26494950	1390010
2009-10-01	Japan	26802430	1820430
2009-11-01	Japan	25358690	1604720
2009-12-01	Japan	23316180	1662250
2010-01-01	Japan	25616100	1765270
2010-02-01	Japan	26942150	2142840
2010-03-01	Japan	32011530	2090840
2010-04-01	Japan	26103230	2605920
2010-05-01	Japan	29393060	2140090
2010-06-01	Japan	25875740	1983050
2010-07-01	Japan	29657850	2608640
2010-08-01	Japan	38035730	2357410
2010-09-01	Japan	28428580	2015210
2010-10-01	Japan	30969410	2301750
2010-11-01	Japan	28919630	2030540
2010-12-01	Japan	26870300	1981440
2011-01-01	Japan	30908870	2055690
2011-02-01	Japan	32153660	2222020
2011-03-01	Japan	29307160	1126930
2011-04-01	Japan	26495230	525010
2011-05-01	Japan	33494550	833180
2011-06-01	Japan	30921510	1173480
2011-07-01	Japan	38040000	1678360
2011-08-01	Japan	51463750	1627960
2011-09-01	Japan	36746100	1561440
2011-10-01	Japan	38096640	1974080
2011-11-01	Japan	35536100	1810530
2011-12-01	Japan	34070880	1827030
2012-01-01	Japan	30684990	2014720
2012-02-01	Japan	31042820	1724120
2012-03-01	Japan	37045370	1962890
2012-04-01	Japan	33632400	2683110
2012-05-01	Japan	36547550	2131400
2012-06-01	Japan	32991930	2121600
2012-07-01	Japan	38195680	2618650
2012-08-01	Japan	52315150	2456220
2012-09-01	Japan	36469720	1939240
2012-10-01	Japan	38373530	2313430
2012-11-01	Japan	37344940	2156990
2012-12-01	Japan	34851030	2191970
2013-01-01	Japan	31765400	1893680
2013-02-01	Japan	33058660	2277210
2013-03-01	Japan	39269910	2523340
2013-04-01	Japan	35273920	3206830
2013-05-01	Japan	38404260	2787970
2013-06-01	Japan	34745730	2872920
2013-07-01	Japan	41345880	3353950
2013-08-01	Japan	55130150	3112040
2013-09-01	Japan	39495220	2712390
2013-10-01	Japan	40247870	3171850
2013-11-01	Japan	40074090	2844170
2013-12-01	Japan	37082290	2739370
2014-01-01	Japan	33447100	2854690
2014-02-01	Japan	32747070	3079550
2014-03-01	Japan	40897640	3250640
2014-04-01	Japan	35705590	4517780
2014-05-01	Japan	39901790	3708930
2014-06-01	Japan	35142960	3517010
2014-07-01	Japan	41773170	4305400
2014-08-01	Japan	54229010	3782860
2014-09-01	Japan	39663260	3397180
2014-10-01	Japan	41271550	4373100
2014-11-01	Japan	40678140	3915190
2014-12-01	Japan	38044680	4122270
2015-01-01	Japan	35403320	3961550
2015-02-01	Japan	36007880	4861860
2015-03-01	Japan	42781050	5015270
2015-04-01	Japan	37848950	6355900
2015-05-01	Japan	42943170	5579560
2015-06-01	Japan	37453870	5347670
2015-07-01	Japan	44806790	6411430
2015-08-01	Japan	56426530	6039140
2015-09-01	Japan	44025610	4992140
2015-10-01	Japan	44898650	6083640
2015-11-01	Japan	41485070	5332270
2015-12-01	Japan	39997480	5634170
2016-01-01	Japan	35821190	5561520
2016-02-01	Japan	36775420	5970690
2016-03-01	Japan	42178210	5800370
2016-04-01	Japan	38330190	6780650
2016-05-01	Japan	40056510	5540060
2016-06-01	Japan	36895570	5625890
2016-07-01	Japan	44332270	6716110
2016-08-01	Japan	54851290	5726940
2016-09-01	Japan	40890550	5048700
2016-10-01	Japan	43107390	5948130
2016-11-01	Japan	39792340	5134040
2016-12-01	Japan	39454220	5535840
2017-01-01	Japan	36792560	6358750
2017-02-01	Japan	36661700	5967440
2017-03-01	Japan	43862830	6071640
2017-04-01	Japan	39955140	7876330
2017-05-01	Japan	43002660	6506440
2017-06-01	Japan	38329850	6261000
2017-07-01	Japan	45887250	7503830
2017-08-01	Japan	56797700	6728430
2017-09-01	Japan	42161920	5938880
2017-10-01	Japan	43824150	7436030
2017-11-01	Japan	42109900	6359810
2017-12-01	Japan	40211200	6681990
2018-01-01	Japan	37964420	6792680
2018-02-01	Japan	38899650	7338660
2018-03-01	Japan	45644860	7339200
2018-04-01	Japan	42509270	8878900
2018-05-01	Japan	44445160	7809530
2018-06-01	Japan	41406270	7818990
2018-07-01	Japan	47142860	9113960
2018-08-01	Japan	59715640	8456930
2018-09-01	Japan	44439890	6804510
2018-10-01	Japan	46582920	8244600
2018-11-01	Japan	45282650	7609070
2018-12-01	Japan	43967910	8068220
2019-01-01	Japan	42684710	9208780
2019-02-01	Japan	43539370	9276270
2019-03-01	Japan	51147600	9515070
2019-04-01	Japan	50718730	11284480
2019-05-01	Japan	51402690	9727570
2019-06-01	Japan	45810390	9586990
2019-07-01	Japan	51780530	10801410
2019-08-01	Japan	63234040	9486460
2019-09-01	Japan	48761240	8260400
2019-10-01	Japan	50052850	10262020
2019-11-01	Japan	49659370	9064070
2019-12-01	Japan	47129960	9182820
2020-01-01	Japan	43156910	9702700
2020-02-01	Japan	37443380	4851940
2020-03-01	Japan	23940920	1130370
2020-04-01	Japan	9706670	202630
2020-05-01	Japan	7785180	129140
2020-06-01	Japan	14240840	179240
2020-07-01	Japan	21578040	225890
2020-08-01	Japan	26149030	218980
2020-09-01	Japan	26020820	185270
2020-10-01	Japan	32412890	266070
2020-11-01	Japan	34501310	434130
2020-12-01	Japan	27863790	504210
2021-01-01	Japan	17289120	457580
2021-02-01	Japan	17634050	206900
2007-01-01	Hokkaidou	1819820	138510
2007-02-01	Hokkaidou	2034500	236890
2007-03-01	Hokkaidou	1940730	113760
2007-04-01	Hokkaidou	1324360	91970
2007-05-01	Hokkaidou	1969930	125960
2007-06-01	Hokkaidou	2257090	141170
2007-07-01	Hokkaidou	2540410	218140
2007-08-01	Hokkaidou	2949830	188590
2007-09-01	Hokkaidou	2503190	129960
2007-10-01	Hokkaidou	2234690	158390
2007-11-01	Hokkaidou	1629950	111530
2007-12-01	Hokkaidou	1718150	212700
2008-01-01	Hokkaidou	1883040	199730
2008-02-01	Hokkaidou	2051020	276490
2008-03-01	Hokkaidou	1942090	134060
2008-04-01	Hokkaidou	1394180	93220
2008-05-01	Hokkaidou	2082320	160260
2008-06-01	Hokkaidou	2432480	165890
2008-07-01	Hokkaidou	2595630	282680
2008-08-01	Hokkaidou	2872780	236290
2008-09-01	Hokkaidou	2426240	152190
2008-10-01	Hokkaidou	2344310	183880
2008-11-01	Hokkaidou	1660390	105740
2008-12-01	Hokkaidou	1725580	207730
2009-01-01	Hokkaidou	1897040	233510
2009-02-01	Hokkaidou	1871680	166720
2009-03-01	Hokkaidou	1874730	92960
2009-04-01	Hokkaidou	1272220	93370
2009-05-01	Hokkaidou	1978280	107390
2009-06-01	Hokkaidou	2151730	90920
2009-07-01	Hokkaidou	2481220	205420
2009-08-01	Hokkaidou	2853830	211870
2009-09-01	Hokkaidou	2559420	118360
2009-10-01	Hokkaidou	2220130	138510
2009-11-01	Hokkaidou	1630130	101440
2009-12-01	Hokkaidou	1774230	246270
2010-01-01	Hokkaidou	1836130	189850
2010-02-01	Hokkaidou	2036960	310780
2010-03-01	Hokkaidou	1842270	125800
2010-04-01	Hokkaidou	1178160	80170
2010-05-01	Hokkaidou	1815710	116970
2010-06-01	Hokkaidou	1988870	128260
2010-07-01	Hokkaidou	2400790	280620
2010-08-01	Hokkaidou	2678190	229170
2010-09-01	Hokkaidou	2321500	142960
2010-10-01	Hokkaidou	2107510	136840
2010-11-01	Hokkaidou	1470000	86870
2010-12-01	Hokkaidou	1607620	227070
2011-01-01	Hokkaidou	2148210	229950
2011-02-01	Hokkaidou	2320620	319980
2011-03-01	Hokkaidou	1832380	68260
2011-04-01	Hokkaidou	1270010	9640
2011-05-01	Hokkaidou	1961190	38180
2011-06-01	Hokkaidou	2249470	90770
2011-07-01	Hokkaidou	2870520	151130
2011-08-01	Hokkaidou	3401610	149410
2011-09-01	Hokkaidou	2888690	97070
2011-10-01	Hokkaidou	2558220	130610
2011-11-01	Hokkaidou	1805360	95200
2011-12-01	Hokkaidou	1987490	203550
2012-01-01	Hokkaidou	2109240	255710
2012-02-01	Hokkaidou	2106690	213060
2012-03-01	Hokkaidou	2014580	99630
2012-04-01	Hokkaidou	1511590	80990
2012-05-01	Hokkaidou	2158760	125950
2012-06-01	Hokkaidou	2523240	141340
2012-07-01	Hokkaidou	3019180	247950
2012-08-01	Hokkaidou	3548000	213340
2012-09-01	Hokkaidou	2836290	114840
2012-10-01	Hokkaidou	2731560	162810
2012-11-01	Hokkaidou	1921630	107490
2012-12-01	Hokkaidou	2111120	248960
2013-01-01	Hokkaidou	2098160	206270
2013-02-01	Hokkaidou	2278420	319580
2013-03-01	Hokkaidou	2146550	168030
2013-04-01	Hokkaidou	1609610	103760
2013-05-01	Hokkaidou	2296480	179110
2013-06-01	Hokkaidou	2687180	225220
2013-07-01	Hokkaidou	3479390	431720
2013-08-01	Hokkaidou	4001680	365240
2013-09-01	Hokkaidou	3199070	250490
2013-10-01	Hokkaidou	2836240	273620
2013-11-01	Hokkaidou	2100760	187920
2013-12-01	Hokkaidou	2236940	358800
2014-01-01	Hokkaidou	2341600	359290
2014-02-01	Hokkaidou	2415450	465920
2014-03-01	Hokkaidou	2322660	236650
2014-04-01	Hokkaidou	1645060	167750
2014-05-01	Hokkaidou	2527300	250780
2014-06-01	Hokkaidou	2606660	242320
2014-07-01	Hokkaidou	3308490	516290
2014-08-01	Hokkaidou	3633000	361640
2014-09-01	Hokkaidou	2993090	244700
2014-10-01	Hokkaidou	2725630	322030
2014-11-01	Hokkaidou	2130200	239880
2014-12-01	Hokkaidou	2329930	483360
2015-01-01	Hokkaidou	2393470	460450
2015-02-01	Hokkaidou	2600850	673450
2015-03-01	Hokkaidou	2344590	372210
2015-04-01	Hokkaidou	1765940	285760
2015-05-01	Hokkaidou	2585220	394770
2015-06-01	Hokkaidou	2755130	383760
2015-07-01	Hokkaidou	3480910	666720
2015-08-01	Hokkaidou	3772580	559670
2015-09-01	Hokkaidou	3161160	355600
2015-10-01	Hokkaidou	2992960	463180
2015-11-01	Hokkaidou	2183590	326680
2015-12-01	Hokkaidou	2554670	698900
2016-01-01	Hokkaidou	2724880	771030
2016-02-01	Hokkaidou	2850160	865140
2016-03-01	Hokkaidou	2461730	449100
2016-04-01	Hokkaidou	1967450	329520
2016-05-01	Hokkaidou	2580950	416400
2016-06-01	Hokkaidou	2848940	447330
2016-07-01	Hokkaidou	3479170	712110
2016-08-01	Hokkaidou	3723560	554160
2016-09-01	Hokkaidou	3179770	379830
2016-10-01	Hokkaidou	2918530	477320
2016-11-01	Hokkaidou	2174530	336480
2016-12-01	Hokkaidou	2644810	815800
2017-01-01	Hokkaidou	2920690	944970
2017-02-01	Hokkaidou	2910270	933730
2017-03-01	Hokkaidou	2665550	520930
2017-04-01	Hokkaidou	2120350	397320
2017-05-01	Hokkaidou	2795280	506760
2017-06-01	Hokkaidou	3022820	532740
2017-07-01	Hokkaidou	3660520	799760
2017-08-01	Hokkaidou	3976140	668530
2017-09-01	Hokkaidou	3278760	458280
2017-10-01	Hokkaidou	3081160	601800
2017-11-01	Hokkaidou	2334600	425080
2017-12-01	Hokkaidou	2790820	912590
2018-01-01	Hokkaidou	3017390	969460
2018-02-01	Hokkaidou	3084420	1106550
2018-03-01	Hokkaidou	2740050	634660
2018-04-01	Hokkaidou	2135820	423810
2018-05-01	Hokkaidou	2731360	565190
2018-06-01	Hokkaidou	3095940	649640
2018-07-01	Hokkaidou	3626480	897280
2018-08-01	Hokkaidou	3952410	765660
2018-09-01	Hokkaidou	2547810	358010
2018-10-01	Hokkaidou	2886370	512350
2018-11-01	Hokkaidou	2505860	424560
2018-12-01	Hokkaidou	2984680	1027860
2019-01-01	Hokkaidou	3195090	1203680
2019-02-01	Hokkaidou	3211400	1236540
2019-03-01	Hokkaidou	2878620	693540
2019-04-01	Hokkaidou	2415820	477200
2019-05-01	Hokkaidou	3016680	600880
2019-06-01	Hokkaidou	3086700	649330
2019-07-01	Hokkaidou	3634090	880920
2019-08-01	Hokkaidou	3916250	646280
2019-09-01	Hokkaidou	3247260	425500
2019-10-01	Hokkaidou	3046530	551510
2019-11-01	Hokkaidou	2458660	413630
2019-12-01	Hokkaidou	2876320	1026150
2020-01-01	Hokkaidou	3005740	1084360
2020-02-01	Hokkaidou	2432380	612010
2020-03-01	Hokkaidou	951200	38520
2020-04-01	Hokkaidou	542920	5050
2020-05-01	Hokkaidou	436840	2250
2020-06-01	Hokkaidou	786910	2700
2020-07-01	Hokkaidou	1475290	5860
2020-08-01	Hokkaidou	1951800	5370
2020-09-01	Hokkaidou	1999610	3700
2020-10-01	Hokkaidou	2291050	10500
2020-11-01	Hokkaidou	1547130	3070
2020-12-01	Hokkaidou	1044220	4180
2021-01-01	Hokkaidou	970860	3010
2021-02-01	Hokkaidou	1089650	3920
2007-01-01	Aomori	188050	2450
2007-02-01	Aomori	197950	2560
2007-03-01	Aomori	202430	4720
2007-04-01	Aomori	213150	3320
2007-05-01	Aomori	274070	3940
2007-06-01	Aomori	267970	4570
2007-07-01	Aomori	293020	5190
2007-08-01	Aomori	389110	5050
2007-09-01	Aomori	331740	6430
2007-10-01	Aomori	351270	9470
2007-11-01	Aomori	244670	7890
2007-12-01	Aomori	199140	2480
2008-01-01	Aomori	178220	4030
2008-02-01	Aomori	188730	3880
2008-03-01	Aomori	207920	3390
2008-04-01	Aomori	228430	5230
2008-05-01	Aomori	303620	6930
2008-06-01	Aomori	295720	7300
2008-07-01	Aomori	275310	6600
2008-08-01	Aomori	341100	5560
2008-09-01	Aomori	277010	6110
2008-10-01	Aomori	329380	12680
2008-11-01	Aomori	227000	7320
2008-12-01	Aomori	183360	2810
2009-01-01	Aomori	196470	4020
2009-02-01	Aomori	192340	3590
2009-03-01	Aomori	195200	3090
2009-04-01	Aomori	248700	4200
2009-05-01	Aomori	324300	3780
2009-06-01	Aomori	310460	3140
2009-07-01	Aomori	335130	5080
2009-08-01	Aomori	431460	5570
2009-09-01	Aomori	379980	4760
2009-10-01	Aomori	398490	11540
2009-11-01	Aomori	256460	5860
2009-12-01	Aomori	201350	4540
2010-01-01	Aomori	212550	3960
2010-02-01	Aomori	225260	5000
2010-03-01	Aomori	235200	3310
2010-04-01	Aomori	237960	4550
2010-05-01	Aomori	324120	4210
2010-06-01	Aomori	318910	3820
2010-07-01	Aomori	341120	5120
2010-08-01	Aomori	418490	5460
2010-09-01	Aomori	337920	4550
2010-10-01	Aomori	377970	9830
2010-11-01	Aomori	270190	5530
2010-12-01	Aomori	240740	3760
2011-01-01	Aomori	326290	6880
2011-02-01	Aomori	337730	7280
2011-03-01	Aomori	235520	2020
2011-04-01	Aomori	267160	450
2011-05-01	Aomori	371940	830
2011-06-01	Aomori	388250	1170
2011-07-01	Aomori	478570	2000
2011-08-01	Aomori	591000	2470
2011-09-01	Aomori	449670	3050
2011-10-01	Aomori	430160	3680
2011-11-01	Aomori	318600	2240
2011-12-01	Aomori	287050	1660
2012-01-01	Aomori	250120	2760
2012-02-01	Aomori	266950	3610
2012-03-01	Aomori	276430	3150
2012-04-01	Aomori	274140	2960
2012-05-01	Aomori	408730	3690
2012-06-01	Aomori	403040	3880
2012-07-01	Aomori	428330	3840
2012-08-01	Aomori	567640	4620
2012-09-01	Aomori	444900	3300
2012-10-01	Aomori	496330	5920
2012-11-01	Aomori	392280	2820
2012-12-01	Aomori	337570	1880
2013-01-01	Aomori	278770	3950
2013-02-01	Aomori	274550	4880
2013-03-01	Aomori	288890	3600
2013-04-01	Aomori	321820	5910
2013-05-01	Aomori	452380	5890
2013-06-01	Aomori	409840	7000
2013-07-01	Aomori	456390	4740
2013-08-01	Aomori	577860	5210
2013-09-01	Aomori	453150	4150
2013-10-01	Aomori	502430	8770
2013-11-01	Aomori	398860	4680
2013-12-01	Aomori	344810	3710
2014-01-01	Aomori	277230	4380
2014-02-01	Aomori	262240	4440
2014-03-01	Aomori	284030	3460
2014-04-01	Aomori	305570	6920
2014-05-01	Aomori	419180	5840
2014-06-01	Aomori	388040	6510
2014-07-01	Aomori	444250	6100
2014-08-01	Aomori	543790	5600
2014-09-01	Aomori	458170	4720
2014-10-01	Aomori	490230	14500
2014-11-01	Aomori	348510	7300
2014-12-01	Aomori	290020	4250
2015-01-01	Aomori	287490	5980
2015-02-01	Aomori	295480	7050
2015-03-01	Aomori	314860	5090
2015-04-01	Aomori	334630	13130
2015-05-01	Aomori	452100	14670
2015-06-01	Aomori	408530	5180
2015-07-01	Aomori	487990	7680
2015-08-01	Aomori	599420	9710
2015-09-01	Aomori	518900	6790
2015-10-01	Aomori	548970	24080
2015-11-01	Aomori	413870	12050
2015-12-01	Aomori	344240	7600
2016-01-01	Aomori	312390	8660
2016-02-01	Aomori	341410	9630
2016-03-01	Aomori	346700	6710
2016-04-01	Aomori	370910	17320
2016-05-01	Aomori	443470	10520
2016-06-01	Aomori	433360	8950
2016-07-01	Aomori	506760	16190
2016-08-01	Aomori	617240	14570
2016-09-01	Aomori	454630	12480
2016-10-01	Aomori	500610	31500
2016-11-01	Aomori	368740	16930
2016-12-01	Aomori	310210	6730
2017-01-01	Aomori	273740	11300
2017-02-01	Aomori	293100	21400
2017-03-01	Aomori	297210	9340
2017-04-01	Aomori	378530	27550
2017-05-01	Aomori	447380	18570
2017-06-01	Aomori	391210	16580
2017-07-01	Aomori	425050	22370
2017-08-01	Aomori	526830	20710
2017-09-01	Aomori	441320	17380
2017-10-01	Aomori	470630	47870
2017-11-01	Aomori	361910	28890
2017-12-01	Aomori	317360	18370
2018-01-01	Aomori	338500	21860
2018-02-01	Aomori	332990	26360
2018-03-01	Aomori	356310	14960
2018-04-01	Aomori	396700	41120
2018-05-01	Aomori	430620	25230
2018-06-01	Aomori	435670	24100
2018-07-01	Aomori	451650	31660
2018-08-01	Aomori	575770	32560
2018-09-01	Aomori	453660	22100
2018-10-01	Aomori	529340	62660
2018-11-01	Aomori	394630	29130
2018-12-01	Aomori	363060	17320
2019-01-01	Aomori	298500	25400
2019-02-01	Aomori	306000	32220
2019-03-01	Aomori	302740	12660
2019-04-01	Aomori	371740	37060
2019-05-01	Aomori	415340	21770
2019-06-01	Aomori	389530	19540
2019-07-01	Aomori	415040	28380
2019-08-01	Aomori	523100	29960
2019-09-01	Aomori	429800	21960
2019-10-01	Aomori	479260	71000
2019-11-01	Aomori	370380	34700
2019-12-01	Aomori	304350	21900
2020-01-01	Aomori	309110	29100
2020-02-01	Aomori	299190	28300
2020-03-01	Aomori	239880	3100
2020-04-01	Aomori	100110	1170
2020-05-01	Aomori	91890	600
2020-06-01	Aomori	161940	780
2020-07-01	Aomori	261150	790
2020-08-01	Aomori	299400	1090
2020-09-01	Aomori	325510	1170
2020-10-01	Aomori	390640	1550
2020-11-01	Aomori	334260	1900
2020-12-01	Aomori	265930	1270
2021-01-01	Aomori	215430	1510
2021-02-01	Aomori	226970	1870
2007-01-01	Iwate	325220	5480
2007-02-01	Iwate	321100	6470
2007-03-01	Iwate	335100	4020
2007-04-01	Iwate	309540	6840
2007-05-01	Iwate	346490	6500
2007-06-01	Iwate	334230	4410
2007-07-01	Iwate	341190	6920
2007-08-01	Iwate	501300	7570
2007-09-01	Iwate	354360	6020
2007-10-01	Iwate	427120	19350
2007-11-01	Iwate	360770	16160
2007-12-01	Iwate	319240	7660
2008-01-01	Iwate	297900	6440
2008-02-01	Iwate	308040	8400
2008-03-01	Iwate	322430	4350
2008-04-01	Iwate	267510	7820
2008-05-01	Iwate	319100	6090
2008-06-01	Iwate	290170	5560
2008-07-01	Iwate	306150	5410
2008-08-01	Iwate	397510	5240
2008-09-01	Iwate	323460	4740
2008-10-01	Iwate	359400	21430
2008-11-01	Iwate	310610	9680
2008-12-01	Iwate	285910	3350
2009-01-01	Iwate	303070	4270
2009-02-01	Iwate	303900	2370
2009-03-01	Iwate	323060	2210
2009-04-01	Iwate	278380	6320
2009-05-01	Iwate	349480	3360
2009-06-01	Iwate	327930	2280
2009-07-01	Iwate	349270	4280
2009-08-01	Iwate	499120	3930
2009-09-01	Iwate	389580	3830
2009-10-01	Iwate	394680	18830
2009-11-01	Iwate	344820	8850
2009-12-01	Iwate	294800	4110
2010-01-01	Iwate	314040	5730
2010-02-01	Iwate	316940	7920
2010-03-01	Iwate	337310	3870
2010-04-01	Iwate	314860	8710
2010-05-01	Iwate	370490	6390
2010-06-01	Iwate	334040	4290
2010-07-01	Iwate	358130	5770
2010-08-01	Iwate	496320	6500
2010-09-01	Iwate	350320	4330
2010-10-01	Iwate	421100	18540
2010-11-01	Iwate	337800	7110
2010-12-01	Iwate	310890	4280
2011-01-01	Iwate	426960	7760
2011-02-01	Iwate	434670	9540
2011-03-01	Iwate	293280	2200
2011-04-01	Iwate	501200	830
2011-05-01	Iwate	614800	640
2011-06-01	Iwate	556770	810
2011-07-01	Iwate	637340	1050
2011-08-01	Iwate	793580	1090
2011-09-01	Iwate	563920	1630
2011-10-01	Iwate	547400	2530
2011-11-01	Iwate	485150	3280
2011-12-01	Iwate	451030	1990
2012-01-01	Iwate	489940	3250
2012-02-01	Iwate	491170	3320
2012-03-01	Iwate	546390	3770
2012-04-01	Iwate	441170	3830
2012-05-01	Iwate	582630	3310
2012-06-01	Iwate	560090	2250
2012-07-01	Iwate	560440	2660
2012-08-01	Iwate	729380	2580
2012-09-01	Iwate	531010	3450
2012-10-01	Iwate	605110	7970
2012-11-01	Iwate	520400	6020
2012-12-01	Iwate	459530	3600
2013-01-01	Iwate	408360	5180
2013-02-01	Iwate	412720	5620
2013-03-01	Iwate	442020	4830
2013-04-01	Iwate	387850	8250
2013-05-01	Iwate	461870	4080
2013-06-01	Iwate	434590	3800
2013-07-01	Iwate	489950	3480
2013-08-01	Iwate	666250	4410
2013-09-01	Iwate	477540	3340
2013-10-01	Iwate	516350	13700
2013-11-01	Iwate	469830	4980
2013-12-01	Iwate	423390	3670
2014-01-01	Iwate	451260	7770
2014-02-01	Iwate	435350	6040
2014-03-01	Iwate	476230	2950
2014-04-01	Iwate	392860	9360
2014-05-01	Iwate	499610	5420
2014-06-01	Iwate	434570	3460
2014-07-01	Iwate	506190	3900
2014-08-01	Iwate	678130	5160
2014-09-01	Iwate	524840	6330
2014-10-01	Iwate	569540	14780
2014-11-01	Iwate	478330	8070
2014-12-01	Iwate	442080	3900
2015-01-01	Iwate	457600	7960
2015-02-01	Iwate	428220	8550
2015-03-01	Iwate	465380	5430
2015-04-01	Iwate	432500	13750
2015-05-01	Iwate	531290	6670
2015-06-01	Iwate	471430	7310
2015-07-01	Iwate	535560	5760
2015-08-01	Iwate	684030	7230
2015-09-01	Iwate	556930	5160
2015-10-01	Iwate	619590	22960
2015-11-01	Iwate	518210	11740
2015-12-01	Iwate	455530	3830
2016-01-01	Iwate	492670	9530
2016-02-01	Iwate	483410	10060
2016-03-01	Iwate	492520	4760
2016-04-01	Iwate	452070	17510
2016-05-01	Iwate	508680	6970
2016-06-01	Iwate	494780	4880
2016-07-01	Iwate	520740	7410
2016-08-01	Iwate	654070	9460
2016-09-01	Iwate	548480	8190
2016-10-01	Iwate	676620	27940
2016-11-01	Iwate	474270	16190
2016-12-01	Iwate	443130	9130
2017-01-01	Iwate	450780	13450
2017-02-01	Iwate	418600	16000
2017-03-01	Iwate	482450	7700
2017-04-01	Iwate	439430	21510
2017-05-01	Iwate	510900	7670
2017-06-01	Iwate	480300	9260
2017-07-01	Iwate	528470	11140
2017-08-01	Iwate	680780	10630
2017-09-01	Iwate	549980	10920
2017-10-01	Iwate	576700	39870
2017-11-01	Iwate	497050	25640
2017-12-01	Iwate	460450	14130
2018-01-01	Iwate	467650	24010
2018-02-01	Iwate	454750	31730
2018-03-01	Iwate	461860	11310
2018-04-01	Iwate	452920	30480
2018-05-01	Iwate	494010	12920
2018-06-01	Iwate	488330	13360
2018-07-01	Iwate	518990	16280
2018-08-01	Iwate	695680	16780
2018-09-01	Iwate	518080	12130
2018-10-01	Iwate	574060	39770
2018-11-01	Iwate	500970	29530
2018-12-01	Iwate	471490	20610
2019-01-01	Iwate	494980	29890
2019-02-01	Iwate	476730	37510
2019-03-01	Iwate	518030	21390
2019-04-01	Iwate	490380	30340
2019-05-01	Iwate	548490	21730
2019-06-01	Iwate	498050	16560
2019-07-01	Iwate	546750	20880
2019-08-01	Iwate	697840	24060
2019-09-01	Iwate	496120	15210
2019-10-01	Iwate	555070	55480
2019-11-01	Iwate	494120	37080
2019-12-01	Iwate	460110	33830
2020-01-01	Iwate	461590	43110
2020-02-01	Iwate	449260	31390
2020-03-01	Iwate	305110	2440
2020-04-01	Iwate	147700	790
2020-05-01	Iwate	127040	420
2020-06-01	Iwate	217380	420
2020-07-01	Iwate	329160	780
2020-08-01	Iwate	318560	670
2020-09-01	Iwate	422060	770
2020-10-01	Iwate	514830	880
2020-11-01	Iwate	461070	1790
2020-12-01	Iwate	357600	1700
2021-01-01	Iwate	286700	1850
2021-02-01	Iwate	304760	1800
2007-01-01	Miyagi	475790	6010
2007-02-01	Miyagi	504380	7860
2007-03-01	Miyagi	558360	6990
2007-04-01	Miyagi	530340	12950
2007-05-01	Miyagi	585020	10890
2007-06-01	Miyagi	601360	10210
2007-07-01	Miyagi	624890	12390
2007-08-01	Miyagi	825880	14110
2007-09-01	Miyagi	645490	11840
2007-10-01	Miyagi	696180	23350
2007-11-01	Miyagi	671850	19410
2007-12-01	Miyagi	604750	16170
2008-01-01	Miyagi	465050	10350
2008-02-01	Miyagi	494960	12610
2008-03-01	Miyagi	571220	12510
2008-04-01	Miyagi	495760	13070
2008-05-01	Miyagi	571400	13520
2008-06-01	Miyagi	551640	11640
2008-07-01	Miyagi	551400	13030
2008-08-01	Miyagi	693690	10220
2008-09-01	Miyagi	546620	10710
2008-10-01	Miyagi	603130	24260
2008-11-01	Miyagi	608820	12990
2008-12-01	Miyagi	548800	6020
2009-01-01	Miyagi	465720	7010
2009-02-01	Miyagi	472350	7010
2009-03-01	Miyagi	534120	6610
2009-04-01	Miyagi	466540	8990
2009-05-01	Miyagi	572670	7250
2009-06-01	Miyagi	531930	4680
2009-07-01	Miyagi	542530	10210
2009-08-01	Miyagi	723620	11080
2009-09-01	Miyagi	578570	9840
2009-10-01	Miyagi	634840	21560
2009-11-01	Miyagi	566810	13200
2009-12-01	Miyagi	515810	7660
2010-01-01	Miyagi	478530	9320
2010-02-01	Miyagi	495840	13410
2010-03-01	Miyagi	580030	6500
2010-04-01	Miyagi	503850	13970
2010-05-01	Miyagi	601370	12800
2010-06-01	Miyagi	583310	8530
2010-07-01	Miyagi	629160	14790
2010-08-01	Miyagi	801700	14570
2010-09-01	Miyagi	638950	14190
2010-10-01	Miyagi	689760	25780
2010-11-01	Miyagi	636860	15420
2010-12-01	Miyagi	600090	10210
