variable	year	city	value
Cooked food with rice, bread or noodles	2008	Kagoshima-shi	2822
Other cooked food	2008	Kagoshima-shi	3317
Beverages	2008	Kagoshima-shi	3203
Tea	2008	Kagoshima-shi	844
Coffee & cocoa	2008	Kagoshima-shi	479
Other beverages	2008	Kagoshima-shi	1880
Alcoholic beverages	2008	Kagoshima-shi	2186
Meals outside the home	2008	Kagoshima-shi	9629
Eating out	2008	Kagoshima-shi	8670
School lunch	2008	Kagoshima-shi	959
Charges for board	2008	Kagoshima-shi	0
Housing	2008	Kagoshima-shi	22535
Rents for dwelling & land	2008	Kagoshima-shi	18502
Repairs & maintenance	2008	Kagoshima-shi	4034
Tools & materials for repairs & maintenance	2008	Kagoshima-shi	855
Service charges for repairs & maintenance	2008	Kagoshima-shi	3179
Fuel, light & water charges	2008	Kagoshima-shi	17428
Electricity	2008	Kagoshima-shi	7162
Gas	2008	Kagoshima-shi	6012
Other fuel & light	2008	Kagoshima-shi	410
Water & sewerage charges	2008	Kagoshima-shi	3844
Furniture & household utensils	2008	Kagoshima-shi	6704
Household durable goods	2008	Kagoshima-shi	1653
Durable goods assisting housework	2008	Kagoshima-shi	1022
Heating & cooling appliances	2008	Kagoshima-shi	478
General furniture	2008	Kagoshima-shi	152
Interior furnishings & decorations	2008	Kagoshima-shi	588
Bedding	2008	Kagoshima-shi	315
Domestic utensils	2008	Kagoshima-shi	1632
Domestic non-durable goods	2008	Kagoshima-shi	1872
Domestic services	2008	Kagoshima-shi	644
Clothing & footwear	2008	Kagoshima-shi	10300
Japanese clothing	2008	Kagoshima-shi	63
Clothing	2008	Kagoshima-shi	4213
Shirts & sweaters	2008	Kagoshima-shi	2105
Underwear	2008	Kagoshima-shi	889
Cloth & thread	2008	Kagoshima-shi	185
Other clothing	2008	Kagoshima-shi	912
Footwear	2008	Kagoshima-shi	1326
Services related to clothing	2008	Kagoshima-shi	608
Medical care	2008	Kagoshima-shi	11978
Medicines	2008	Kagoshima-shi	1245
Health fortification	2008	Kagoshima-shi	948
Medical supplies & appliances	2008	Kagoshima-shi	2454
Medical services	2008	Kagoshima-shi	7332
Transportation & communication	2008	Kagoshima-shi	32893
Public transportation	2008	Kagoshima-shi	4795
Private transportation	2008	Kagoshima-shi	16799
Purchase of vehicles	2008	Kagoshima-shi	2248
Purchase of bicycles	2008	Kagoshima-shi	82
Maintenance of vehicles	2008	Kagoshima-shi	14468
Communication	2008	Kagoshima-shi	11298
Education	2008	Kagoshima-shi	11866
Culture & recreation	2008	Kagoshima-shi	22632
Recreational durable goods	2008	Kagoshima-shi	2031
Recreational goods	2008	Kagoshima-shi	5309
Books & other reading materials	2008	Kagoshima-shi	3561
Recreational services	2008	Kagoshima-shi	11731
Accommodation services	2008	Kagoshima-shi	933
Package tours	2008	Kagoshima-shi	2178
Lesson fees	2008	Kagoshima-shi	2618
Other recreational services	2008	Kagoshima-shi	6002
Other consumption expenditures	2008	Kagoshima-shi	62370
Miscellaneous	2008	Kagoshima-shi	16562
Personal care services	2008	Kagoshima-shi	2394
Personal care goods	2008	Kagoshima-shi	3678
Personal effects	2008	Kagoshima-shi	1077
Tobacco	2008	Kagoshima-shi	522
Other miscellaneous	2008	Kagoshima-shi	8890
Pocket money (of which, detailed uses unknown)	2008	Kagoshima-shi	12936
Social expenses	2008	Kagoshima-shi	26528
Other goods & services	2008	Kagoshima-shi	622
Money gifts	2008	Kagoshima-shi	12261
Other social expenses	2008	Kagoshima-shi	3483
Remittance	2008	Kagoshima-shi	6344
(Regrouped) Expenses for education	2008	Kagoshima-shi	18024
(Regrouped) Expenses for culture & recreation	2008	Kagoshima-shi	27066
(Regrouped) Intel exchange	2008	Kagoshima-shi	12756
(Regrouped) Sum of Goods & Services 1)	2008	Kagoshima-shi	217977
Goods (commodities)	2008	Kagoshima-shi	117799
Durable goods	2008	Kagoshima-shi	8881
Semi-durable goods	2008	Kagoshima-shi	19987
Non-durable goods	2008	Kagoshima-shi	88931
Services	2008	Kagoshima-shi	100177
Expenditures in kind	2008	Kagoshima-shi	12117
Homemade	2008	Kagoshima-shi	100
Engel's coefficient (%)	2008	Kagoshima-shi	21.5
Distribution of households	2008	Naha-shi	30
Num. of tabulated households	2008	Naha-shi	177
Num. of persons per household (persons)	2008	Naha-shi	2.27
Num. of earners per household (persons)	2008	Naha-shi	1
Age of household heads (years old)	2008	Naha-shi	52.2
Rate of owned dwellings (%)	2008	Naha-shi	38.9
Rate of rented dwellings & land (%)	2008	Naha-shi	60.9
Consumption expenditures	2008	Naha-shi	205421
Food	2008	Naha-shi	45574
Cereals	2008	Naha-shi	4271
Rice	2008	Naha-shi	1705
Bread	2008	Naha-shi	1433
Noodles	2008	Naha-shi	842
Other cereals	2008	Naha-shi	292
Fish & shellfish	2008	Naha-shi	3084
Raw fish & shellfish	2008	Naha-shi	1864
Salted & dried fish	2008	Naha-shi	229
Fish-paste products	2008	Naha-shi	355
Other processed fish	2008	Naha-shi	634
Meat	2008	Naha-shi	3833
Raw meat	2008	Naha-shi	2901
Processed meat	2008	Naha-shi	932
Dairy products & eggs	2008	Naha-shi	2032
Fresh milk	2008	Naha-shi	854
Dairy products	2008	Naha-shi	708
Eggs	2008	Naha-shi	470
Vegetables & seaweeds	2008	Naha-shi	5317
Fresh vegetables	2008	Naha-shi	3625
Dried vegetables & seaweeds	2008	Naha-shi	450
Soybean products	2008	Naha-shi	793
Other processed vegetables & seaweeds	2008	Naha-shi	449
Fruits	2008	Naha-shi	1539
Fresh fruits	2008	Naha-shi	1481
Processed fruits	2008	Naha-shi	58
Oils, fats & seasonings	2008	Naha-shi	1915
Oils & fats	2008	Naha-shi	241
Seasonings	2008	Naha-shi	1674
Cakes & candies	2008	Naha-shi	2709
Cooked food	2008	Naha-shi	6468
Cooked food with rice, bread or noodles	2008	Naha-shi	3402
Other cooked food	2008	Naha-shi	3066
Beverages	2008	Naha-shi	3216
Tea	2008	Naha-shi	892
Coffee & cocoa	2008	Naha-shi	586
Other beverages	2008	Naha-shi	1739
Alcoholic beverages	2008	Naha-shi	2055
Meals outside the home	2008	Naha-shi	9134
Eating out	2008	Naha-shi	8417
School lunch	2008	Naha-shi	717
Charges for board	2008	Naha-shi	0
Housing	2008	Naha-shi	32067
Rents for dwelling & land	2008	Naha-shi	29070
Repairs & maintenance	2008	Naha-shi	2996
Tools & materials for repairs & maintenance	2008	Naha-shi	985
Service charges for repairs & maintenance	2008	Naha-shi	2011
Fuel, light & water charges	2008	Naha-shi	15948
Electricity	2008	Naha-shi	7503
Gas	2008	Naha-shi	4145
Other fuel & light	2008	Naha-shi	332
Water & sewerage charges	2008	Naha-shi	3968
Furniture & household utensils	2008	Naha-shi	5445
Household durable goods	2008	Naha-shi	1224
Durable goods assisting housework	2008	Naha-shi	816
Heating & cooling appliances	2008	Naha-shi	216
General furniture	2008	Naha-shi	192
Interior furnishings & decorations	2008	Naha-shi	330
Bedding	2008	Naha-shi	409
Domestic utensils	2008	Naha-shi	1196
Domestic non-durable goods	2008	Naha-shi	1854
Domestic services	2008	Naha-shi	433
Clothing & footwear	2008	Naha-shi	6435
Japanese clothing	2008	Naha-shi	16
Clothing	2008	Naha-shi	2602
Shirts & sweaters	2008	Naha-shi	1350
Underwear	2008	Naha-shi	603
Cloth & thread	2008	Naha-shi	68
Other clothing	2008	Naha-shi	481
Footwear	2008	Naha-shi	909
Services related to clothing	2008	Naha-shi	406
Medical care	2008	Naha-shi	7564
Medicines	2008	Naha-shi	1130
Health fortification	2008	Naha-shi	1001
Medical supplies & appliances	2008	Naha-shi	974
Medical services	2008	Naha-shi	4459
Transportation & communication	2008	Naha-shi	26329
Public transportation	2008	Naha-shi	3990
Private transportation	2008	Naha-shi	13035
Purchase of vehicles	2008	Naha-shi	2826
Purchase of bicycles	2008	Naha-shi	26
Maintenance of vehicles	2008	Naha-shi	10183
Communication	2008	Naha-shi	9304
Education	2008	Naha-shi	5755
Culture & recreation	2008	Naha-shi	17493
Recreational durable goods	2008	Naha-shi	1606
Recreational goods	2008	Naha-shi	3365
Books & other reading materials	2008	Naha-shi	3261
Recreational services	2008	Naha-shi	9261
Accommodation services	2008	Naha-shi	473
Package tours	2008	Naha-shi	1268
Lesson fees	2008	Naha-shi	2559
Other recreational services	2008	Naha-shi	4961
Other consumption expenditures	2008	Naha-shi	42813
Miscellaneous	2008	Naha-shi	12845
Personal care services	2008	Naha-shi	1428
Personal care goods	2008	Naha-shi	2936
Personal effects	2008	Naha-shi	870
Tobacco	2008	Naha-shi	1035
Other miscellaneous	2008	Naha-shi	6576
Pocket money (of which, detailed uses unknown)	2008	Naha-shi	6038
Social expenses	2008	Naha-shi	16019
Other goods & services	2008	Naha-shi	533
Money gifts	2008	Naha-shi	7270
Other social expenses	2008	Naha-shi	2366
Remittance	2008	Naha-shi	7911
(Regrouped) Expenses for education	2008	Naha-shi	10505
(Regrouped) Expenses for culture & recreation	2008	Naha-shi	21013
(Regrouped) Intel exchange	2008	Naha-shi	10596
(Regrouped) Sum of Goods & Services 1)	2008	Naha-shi	181837
Goods (commodities)	2008	Naha-shi	95037
Durable goods	2008	Naha-shi	7095
Semi-durable goods	2008	Naha-shi	13529
Non-durable goods	2008	Naha-shi	74414
Services	2008	Naha-shi	86799
Expenditures in kind	2008	Naha-shi	4568
Homemade	2008	Naha-shi	87
Engel's coefficient (%)	2008	Naha-shi	22.2
Distribution of households	2008	Kawasaki-shi	163
Num. of tabulated households	2008	Kawasaki-shi	106
Num. of persons per household (persons)	2008	Kawasaki-shi	1.97
Num. of earners per household (persons)	2008	Kawasaki-shi	1.04
Age of household heads (years old)	2008	Kawasaki-shi	45.7
Rate of owned dwellings (%)	2008	Kawasaki-shi	44.9
Rate of rented dwellings & land (%)	2008	Kawasaki-shi	54.5
Consumption expenditures	2008	Kawasaki-shi	251576
Food	2008	Kawasaki-shi	58790
Cereals	2008	Kawasaki-shi	4436
Rice	2008	Kawasaki-shi	1356
Bread	2008	Kawasaki-shi	1783
Noodles	2008	Kawasaki-shi	988
Other cereals	2008	Kawasaki-shi	308
Fish & shellfish	2008	Kawasaki-shi	3531
Raw fish & shellfish	2008	Kawasaki-shi	2068
Salted & dried fish	2008	Kawasaki-shi	685
Fish-paste products	2008	Kawasaki-shi	329
Other processed fish	2008	Kawasaki-shi	449
Meat	2008	Kawasaki-shi	3478
Raw meat	2008	Kawasaki-shi	2654
Processed meat	2008	Kawasaki-shi	824
Dairy products & eggs	2008	Kawasaki-shi	2099
Fresh milk	2008	Kawasaki-shi	855
Dairy products	2008	Kawasaki-shi	795
Eggs	2008	Kawasaki-shi	448
Vegetables & seaweeds	2008	Kawasaki-shi	5095
Fresh vegetables	2008	Kawasaki-shi	3417
Dried vegetables & seaweeds	2008	Kawasaki-shi	366
Soybean products	2008	Kawasaki-shi	643
Other processed vegetables & seaweeds	2008	Kawasaki-shi	669
Fruits	2008	Kawasaki-shi	1541
Fresh fruits	2008	Kawasaki-shi	1452
Processed fruits	2008	Kawasaki-shi	89
Oils, fats & seasonings	2008	Kawasaki-shi	1870
Oils & fats	2008	Kawasaki-shi	195
Seasonings	2008	Kawasaki-shi	1675
Cakes & candies	2008	Kawasaki-shi	3738
Cooked food	2008	Kawasaki-shi	7912
Cooked food with rice, bread or noodles	2008	Kawasaki-shi	4321
Other cooked food	2008	Kawasaki-shi	3591
Beverages	2008	Kawasaki-shi	4095
Tea	2008	Kawasaki-shi	1072
Coffee & cocoa	2008	Kawasaki-shi	1004
Other beverages	2008	Kawasaki-shi	2018
Alcoholic beverages	2008	Kawasaki-shi	2149
Meals outside the home	2008	Kawasaki-shi	18670
Eating out	2008	Kawasaki-shi	18425
School lunch	2008	Kawasaki-shi	245
Charges for board	2008	Kawasaki-shi	176
Housing	2008	Kawasaki-shi	37437
Rents for dwelling & land	2008	Kawasaki-shi	33982
Repairs & maintenance	2008	Kawasaki-shi	3455
Tools & materials for repairs & maintenance	2008	Kawasaki-shi	475
Service charges for repairs & maintenance	2008	Kawasaki-shi	2980
Fuel, light & water charges	2008	Kawasaki-shi	14427
Electricity	2008	Kawasaki-shi	6327
Gas	2008	Kawasaki-shi	4738
Other fuel & light	2008	Kawasaki-shi	236
Water & sewerage charges	2008	Kawasaki-shi	3127
Furniture & household utensils	2008	Kawasaki-shi	6922
Household durable goods	2008	Kawasaki-shi	2657
Durable goods assisting housework	2008	Kawasaki-shi	921
Heating & cooling appliances	2008	Kawasaki-shi	1330
General furniture	2008	Kawasaki-shi	406
Interior furnishings & decorations	2008	Kawasaki-shi	617
Bedding	2008	Kawasaki-shi	383
Domestic utensils	2008	Kawasaki-shi	1485
Domestic non-durable goods	2008	Kawasaki-shi	1407
Domestic services	2008	Kawasaki-shi	373
Clothing & footwear	2008	Kawasaki-shi	12347
Japanese clothing	2008	Kawasaki-shi	732
Clothing	2008	Kawasaki-shi	4939
Shirts & sweaters	2008	Kawasaki-shi	2257
Underwear	2008	Kawasaki-shi	830
Cloth & thread	2008	Kawasaki-shi	198
Other clothing	2008	Kawasaki-shi	1090
Footwear	2008	Kawasaki-shi	1206
Services related to clothing	2008	Kawasaki-shi	1096
Medical care	2008	Kawasaki-shi	8609
Medicines	2008	Kawasaki-shi	1149
Health fortification	2008	Kawasaki-shi	686
Medical supplies & appliances	2008	Kawasaki-shi	1685
Medical services	2008	Kawasaki-shi	5088
Transportation & communication	2008	Kawasaki-shi	31696
Public transportation	2008	Kawasaki-shi	8592
Private transportation	2008	Kawasaki-shi	13403
Purchase of vehicles	2008	Kawasaki-shi	3866
Purchase of bicycles	2008	Kawasaki-shi	411
Maintenance of vehicles	2008	Kawasaki-shi	9126
Communication	2008	Kawasaki-shi	9701
Education	2008	Kawasaki-shi	9049
Culture & recreation	2008	Kawasaki-shi	31327
Recreational durable goods	2008	Kawasaki-shi	3518
Recreational goods	2008	Kawasaki-shi	6057
Books & other reading materials	2008	Kawasaki-shi	4774
Recreational services	2008	Kawasaki-shi	16978
Accommodation services	2008	Kawasaki-shi	1583
Package tours	2008	Kawasaki-shi	3404
Lesson fees	2008	Kawasaki-shi	2275
Other recreational services	2008	Kawasaki-shi	9716
Other consumption expenditures	2008	Kawasaki-shi	40973
Miscellaneous	2008	Kawasaki-shi	18167
Personal care services	2008	Kawasaki-shi	2776
Personal care goods	2008	Kawasaki-shi	3564
Personal effects	2008	Kawasaki-shi	2160
Tobacco	2008	Kawasaki-shi	1495
Other miscellaneous	2008	Kawasaki-shi	8172
Pocket money (of which, detailed uses unknown)	2008	Kawasaki-shi	5719
Social expenses	2008	Kawasaki-shi	16479
Other goods & services	2008	Kawasaki-shi	535
Money gifts	2008	Kawasaki-shi	5780
Other social expenses	2008	Kawasaki-shi	4319
Remittance	2008	Kawasaki-shi	608
(Regrouped) Expenses for education	2008	Kawasaki-shi	10063
(Regrouped) Expenses for culture & recreation	2008	Kawasaki-shi	36772
(Regrouped) Intel exchange	2008	Kawasaki-shi	12408
(Regrouped) Sum of Goods & Services 1)	2008	Kawasaki-shi	235150
Goods (commodities)	2008	Kawasaki-shi	108877
Durable goods	2008	Kawasaki-shi	12470
Semi-durable goods	2008	Kawasaki-shi	23427
Non-durable goods	2008	Kawasaki-shi	72979
Services	2008	Kawasaki-shi	126273
Expenditures in kind	2008	Kawasaki-shi	8061
Homemade	2008	Kawasaki-shi	48
Engel's coefficient (%)	2008	Kawasaki-shi	23.4
Distribution of households	2008	Hamamatsu-shi	65
Num. of tabulated households	2008	Hamamatsu-shi	100
Num. of persons per household (persons)	2008	Hamamatsu-shi	2.56
Num. of earners per household (persons)	2008	Hamamatsu-shi	1.23
Age of household heads (years old)	2008	Hamamatsu-shi	56.6
Rate of owned dwellings (%)	2008	Hamamatsu-shi	75.4
Rate of rented dwellings & land (%)	2008	Hamamatsu-shi	23.2
Consumption expenditures	2008	Hamamatsu-shi	268236
Food	2008	Hamamatsu-shi	57468
Cereals	2008	Hamamatsu-shi	5576
Rice	2008	Hamamatsu-shi	2333
Bread	2008	Hamamatsu-shi	1884
Noodles	2008	Hamamatsu-shi	1020
Other cereals	2008	Hamamatsu-shi	340
Fish & shellfish	2008	Hamamatsu-shi	4952
Raw fish & shellfish	2008	Hamamatsu-shi	2898
Salted & dried fish	2008	Hamamatsu-shi	926
Fish-paste products	2008	Hamamatsu-shi	532
Other processed fish	2008	Hamamatsu-shi	596
Meat	2008	Hamamatsu-shi	4105
Raw meat	2008	Hamamatsu-shi	3128
Processed meat	2008	Hamamatsu-shi	976
Dairy products & eggs	2008	Hamamatsu-shi	2532
Fresh milk	2008	Hamamatsu-shi	1091
Dairy products	2008	Hamamatsu-shi	929
Eggs	2008	Hamamatsu-shi	512
Vegetables & seaweeds	2008	Hamamatsu-shi	6281
Fresh vegetables	2008	Hamamatsu-shi	3824
Dried vegetables & seaweeds	2008	Hamamatsu-shi	518
Soybean products	2008	Hamamatsu-shi	1005
Other processed vegetables & seaweeds	2008	Hamamatsu-shi	934
Fruits	2008	Hamamatsu-shi	1921
Fresh fruits	2008	Hamamatsu-shi	1846
Processed fruits	2008	Hamamatsu-shi	75
Oils, fats & seasonings	2008	Hamamatsu-shi	2484
Oils & fats	2008	Hamamatsu-shi	248
Seasonings	2008	Hamamatsu-shi	2236
Cakes & candies	2008	Hamamatsu-shi	4264
Cooked food	2008	Hamamatsu-shi	7983
Cooked food with rice, bread or noodles	2008	Hamamatsu-shi	3326
Other cooked food	2008	Hamamatsu-shi	4657
Beverages	2008	Hamamatsu-shi	3001
Tea	2008	Hamamatsu-shi	844
Coffee & cocoa	2008	Hamamatsu-shi	572
Other beverages	2008	Hamamatsu-shi	1584
Alcoholic beverages	2008	Hamamatsu-shi	2090
Meals outside the home	2008	Hamamatsu-shi	12279
Eating out	2008	Hamamatsu-shi	11368
School lunch	2008	Hamamatsu-shi	912
Charges for board	2008	Hamamatsu-shi	0
Housing	2008	Hamamatsu-shi	26221
Rents for dwelling & land	2008	Hamamatsu-shi	12005
Repairs & maintenance	2008	Hamamatsu-shi	14215
Tools & materials for repairs & maintenance	2008	Hamamatsu-shi	2009
Service charges for repairs & maintenance	2008	Hamamatsu-shi	12206
Fuel, light & water charges	2008	Hamamatsu-shi	18584
Electricity	2008	Hamamatsu-shi	8149
Gas	2008	Hamamatsu-shi	5849
Other fuel & light	2008	Hamamatsu-shi	648
Water & sewerage charges	2008	Hamamatsu-shi	3937
Furniture & household utensils	2008	Hamamatsu-shi	9184
Household durable goods	2008	Hamamatsu-shi	2648
Durable goods assisting housework	2008	Hamamatsu-shi	1149
Heating & cooling appliances	2008	Hamamatsu-shi	982
General furniture	2008	Hamamatsu-shi	517
Interior furnishings & decorations	2008	Hamamatsu-shi	959
Bedding	2008	Hamamatsu-shi	967
Domestic utensils	2008	Hamamatsu-shi	1789
Domestic non-durable goods	2008	Hamamatsu-shi	1894
Domestic services	2008	Hamamatsu-shi	927
Clothing & footwear	2008	Hamamatsu-shi	10327
Japanese clothing	2008	Hamamatsu-shi	167
Clothing	2008	Hamamatsu-shi	4036
Shirts & sweaters	2008	Hamamatsu-shi	2042
Underwear	2008	Hamamatsu-shi	883
Cloth & thread	2008	Hamamatsu-shi	102
Other clothing	2008	Hamamatsu-shi	855
Footwear	2008	Hamamatsu-shi	1238
Services related to clothing	2008	Hamamatsu-shi	1004
Medical care	2008	Hamamatsu-shi	10873
Medicines	2008	Hamamatsu-shi	1388
Health fortification	2008	Hamamatsu-shi	884
Medical supplies & appliances	2008	Hamamatsu-shi	2835
Medical services	2008	Hamamatsu-shi	5765
Transportation & communication	2008	Hamamatsu-shi	33903
Public transportation	2008	Hamamatsu-shi	4067
Private transportation	2008	Hamamatsu-shi	19487
Purchase of vehicles	2008	Hamamatsu-shi	3026
Purchase of bicycles	2008	Hamamatsu-shi	228
Maintenance of vehicles	2008	Hamamatsu-shi	16233
Communication	2008	Hamamatsu-shi	10350
Education	2008	Hamamatsu-shi	10156
Culture & recreation	2008	Hamamatsu-shi	28453
Recreational durable goods	2008	Hamamatsu-shi	3878
Recreational goods	2008	Hamamatsu-shi	5355
Books & other reading materials	2008	Hamamatsu-shi	3755
Recreational services	2008	Hamamatsu-shi	15465
Accommodation services	2008	Hamamatsu-shi	1397
Package tours	2008	Hamamatsu-shi	4059
Lesson fees	2008	Hamamatsu-shi	2779
Other recreational services	2008	Hamamatsu-shi	7229
Other consumption expenditures	2008	Hamamatsu-shi	63067
Miscellaneous	2008	Hamamatsu-shi	19043
Personal care services	2008	Hamamatsu-shi	3060
Personal care goods	2008	Hamamatsu-shi	3484
Personal effects	2008	Hamamatsu-shi	1439
Tobacco	2008	Hamamatsu-shi	904
Other miscellaneous	2008	Hamamatsu-shi	10156
Pocket money (of which, detailed uses unknown)	2008	Hamamatsu-shi	8916
Social expenses	2008	Hamamatsu-shi	25150
Other goods & services	2008	Hamamatsu-shi	820
Money gifts	2008	Hamamatsu-shi	10665
Other social expenses	2008	Hamamatsu-shi	4065
Remittance	2008	Hamamatsu-shi	9957
(Regrouped) Expenses for education	2008	Hamamatsu-shi	20248
(Regrouped) Expenses for culture & recreation	2008	Hamamatsu-shi	33286
(Regrouped) Intel exchange	2008	Hamamatsu-shi	12770
(Regrouped) Sum of Goods & Services 1)	2008	Hamamatsu-shi	234633
Goods (commodities)	2008	Hamamatsu-shi	126322
Durable goods	2008	Hamamatsu-shi	14070
Semi-durable goods	2008	Hamamatsu-shi	21826
Non-durable goods	2008	Hamamatsu-shi	90426
Services	2008	Hamamatsu-shi	108311
Expenditures in kind	2008	Hamamatsu-shi	7889
Homemade	2008	Hamamatsu-shi	397
Engel's coefficient (%)	2008	Hamamatsu-shi	21.4
Distribution of households	2008	Sakai-shi	85
Num. of tabulated households	2008	Sakai-shi	96
Num. of persons per household (persons)	2008	Sakai-shi	2.2
Num. of earners per household (persons)	2008	Sakai-shi	0.92
Age of household heads (years old)	2008	Sakai-shi	57
Rate of owned dwellings (%)	2008	Sakai-shi	75.7
Rate of rented dwellings & land (%)	2008	Sakai-shi	22.7
Consumption expenditures	2008	Sakai-shi	237949
Food	2008	Sakai-shi	56456
Cereals	2008	Sakai-shi	5295
Rice	2008	Sakai-shi	1813
Bread	2008	Sakai-shi	2131
Noodles	2008	Sakai-shi	971
Other cereals	2008	Sakai-shi	380
Fish & shellfish	2008	Sakai-shi	5282
Raw fish & shellfish	2008	Sakai-shi	3278
Salted & dried fish	2008	Sakai-shi	997
Fish-paste products	2008	Sakai-shi	527
Other processed fish	2008	Sakai-shi	480
Meat	2008	Sakai-shi	5067
Raw meat	2008	Sakai-shi	4278
Processed meat	2008	Sakai-shi	789
Dairy products & eggs	2008	Sakai-shi	2601
Fresh milk	2008	Sakai-shi	1170
Dairy products	2008	Sakai-shi	851
Eggs	2008	Sakai-shi	581
Vegetables & seaweeds	2008	Sakai-shi	6308
Fresh vegetables	2008	Sakai-shi	4093
Dried vegetables & seaweeds	2008	Sakai-shi	486
Soybean products	2008	Sakai-shi	860
Other processed vegetables & seaweeds	2008	Sakai-shi	868
Fruits	2008	Sakai-shi	2066
Fresh fruits	2008	Sakai-shi	1977
Processed fruits	2008	Sakai-shi	88
Oils, fats & seasonings	2008	Sakai-shi	2436
Oils & fats	2008	Sakai-shi	260
Seasonings	2008	Sakai-shi	2176
Cakes & candies	2008	Sakai-shi	3525
Cooked food	2008	Sakai-shi	6316
Cooked food with rice, bread or noodles	2008	Sakai-shi	2689
Other cooked food	2008	Sakai-shi	3627
Beverages	2008	Sakai-shi	3035
Tea	2008	Sakai-shi	711
Coffee & cocoa	2008	Sakai-shi	736
Other beverages	2008	Sakai-shi	1588
Alcoholic beverages	2008	Sakai-shi	2236
Meals outside the home	2008	Sakai-shi	12290
Eating out	2008	Sakai-shi	11883
School lunch	2008	Sakai-shi	407
Charges for board	2008	Sakai-shi	0
Housing	2008	Sakai-shi	16802
Rents for dwelling & land	2008	Sakai-shi	9670
Repairs & maintenance	2008	Sakai-shi	7133
Tools & materials for repairs & maintenance	2008	Sakai-shi	1866
Service charges for repairs & maintenance	2008	Sakai-shi	5266
Fuel, light & water charges	2008	Sakai-shi	18646
Electricity	2008	Sakai-shi	8026
Gas	2008	Sakai-shi	5521
Other fuel & light	2008	Sakai-shi	403
Water & sewerage charges	2008	Sakai-shi	4695
Furniture & household utensils	2008	Sakai-shi	9950
Household durable goods	2008	Sakai-shi	4559
Durable goods assisting housework	2008	Sakai-shi	1615
Heating & cooling appliances	2008	Sakai-shi	2528
General furniture	2008	Sakai-shi	416
Interior furnishings & decorations	2008	Sakai-shi	644
Bedding	2008	Sakai-shi	480
Domestic utensils	2008	Sakai-shi	1442
Domestic non-durable goods	2008	Sakai-shi	1817
Domestic services	2008	Sakai-shi	1008
Clothing & footwear	2008	Sakai-shi	10808
Japanese clothing	2008	Sakai-shi	900
Clothing	2008	Sakai-shi	3438
Shirts & sweaters	2008	Sakai-shi	2394
Underwear	2008	Sakai-shi	1047
Cloth & thread	2008	Sakai-shi	82
Other clothing	2008	Sakai-shi	693
Footwear	2008	Sakai-shi	1584
Services related to clothing	2008	Sakai-shi	670
Medical care	2008	Sakai-shi	10234
Medicines	2008	Sakai-shi	1571
Health fortification	2008	Sakai-shi	1239
Medical supplies & appliances	2008	Sakai-shi	1535
Medical services	2008	Sakai-shi	5889
Transportation & communication	2008	Sakai-shi	30331
Public transportation	2008	Sakai-shi	5629
Private transportation	2008	Sakai-shi	16225
Purchase of vehicles	2008	Sakai-shi	3719
Purchase of bicycles	2008	Sakai-shi	234
Maintenance of vehicles	2008	Sakai-shi	12271
Communication	2008	Sakai-shi	8477
Education	2008	Sakai-shi	7308
Culture & recreation	2008	Sakai-shi	26022
Recreational durable goods	2008	Sakai-shi	1972
Recreational goods	2008	Sakai-shi	5335
Books & other reading materials	2008	Sakai-shi	3898
Recreational services	2008	Sakai-shi	14817
Accommodation services	2008	Sakai-shi	725
Package tours	2008	Sakai-shi	5257
Lesson fees	2008	Sakai-shi	1796
Other recreational services	2008	Sakai-shi	7039
Other consumption expenditures	2008	Sakai-shi	51392
Miscellaneous	2008	Sakai-shi	19195
Personal care services	2008	Sakai-shi	2608
Personal care goods	2008	Sakai-shi	2954
Personal effects	2008	Sakai-shi	2453
Tobacco	2008	Sakai-shi	1616
Other miscellaneous	2008	Sakai-shi	9565
Pocket money (of which, detailed uses unknown)	2008	Sakai-shi	7516
Social expenses	2008	Sakai-shi	23384
Other goods & services	2008	Sakai-shi	843
Money gifts	2008	Sakai-shi	10162
Other social expenses	2008	Sakai-shi	1877
Remittance	2008	Sakai-shi	1296
(Regrouped) Expenses for education	2008	Sakai-shi	8937
(Regrouped) Expenses for culture & recreation	2008	Sakai-shi	30108
(Regrouped) Intel exchange	2008	Sakai-shi	11108
(Regrouped) Sum of Goods & Services 1)	2008	Sakai-shi	217098
Goods (commodities)	2008	Sakai-shi	123435
Durable goods	2008	Sakai-shi	13350
Semi-durable goods	2008	Sakai-shi	21711
Non-durable goods	2008	Sakai-shi	88374
Services	2008	Sakai-shi	93663
Expenditures in kind	2008	Sakai-shi	7950
Homemade	2008	Sakai-shi	325
Engel's coefficient (%)	2008	Sakai-shi	23.7
Distribution of households	2008	Kitakyushu-shi	95
Num. of tabulated households	2008	Kitakyushu-shi	103
Num. of persons per household (persons)	2008	Kitakyushu-shi	2.24
Num. of earners per household (persons)	2008	Kitakyushu-shi	0.79
Age of household heads (years old)	2008	Kitakyushu-shi	63.1
Rate of owned dwellings (%)	2008	Kitakyushu-shi	75.8
Rate of rented dwellings & land (%)	2008	Kitakyushu-shi	24.3
Consumption expenditures	2008	Kitakyushu-shi	215735
Food	2008	Kitakyushu-shi	53635
Cereals	2008	Kitakyushu-shi	5516
Rice	2008	Kitakyushu-shi	2574
Bread	2008	Kitakyushu-shi	1723
