variable	year	city	value
Durable goods	2020	Sapporo-shi	11166
Semi-durable goods	2020	Sapporo-shi	18630
Non-durable goods	2020	Sapporo-shi	98371
Services	2020	Sapporo-shi	93283
Engel's coefficient (%)	2020	Sapporo-shi	25.5
Distribution of households	2020	Aomori-shi	21
Num. of tabulated households	2020	Aomori-shi	101
Num. of persons per household (persons)	2020	Aomori-shi	2.37
Num. of earners per household (persons)	2020	Aomori-shi	0.96
Age of household heads (years old)	2020	Aomori-shi	62.6
Rate of owned dwellings (%)	2020	Aomori-shi	84.4
Rate of rented dwellings & land (%)	2020	Aomori-shi	14.8
Consumption expenditures	2020	Aomori-shi	213278
Food	2020	Aomori-shi	62489
Cereals	2020	Aomori-shi	5134
Rice	2020	Aomori-shi	1536
Bread	2020	Aomori-shi	1752
Noodles	2020	Aomori-shi	1532
Other cereals	2020	Aomori-shi	314
Fish & shellfish	2020	Aomori-shi	6293
Raw fish & shellfish	2020	Aomori-shi	3352
Salted & dried fish	2020	Aomori-shi	1273
Fish-paste products	2020	Aomori-shi	508
Other processed fish	2020	Aomori-shi	1159
Meat	2020	Aomori-shi	5788
Raw meat	2020	Aomori-shi	4420
Processed meat	2020	Aomori-shi	1368
Dairy products & eggs	2020	Aomori-shi	3197
Fresh milk	2020	Aomori-shi	997
Dairy products	2020	Aomori-shi	1630
Eggs	2020	Aomori-shi	570
Vegetables & seaweeds	2020	Aomori-shi	8378
Fresh vegetables	2020	Aomori-shi	5574
Dried vegetables & seaweeds	2020	Aomori-shi	683
Soybean products	2020	Aomori-shi	1058
Other processed vegetables & seaweeds	2020	Aomori-shi	1063
Fruits	2020	Aomori-shi	2461
Fresh fruits	2020	Aomori-shi	2200
Processed fruits	2020	Aomori-shi	261
Oils, fats & seasonings	2020	Aomori-shi	3090
Oils & fats	2020	Aomori-shi	340
Seasonings	2020	Aomori-shi	2750
Cakes & candies	2020	Aomori-shi	5097
Cooked food	2020	Aomori-shi	8441
Cooked food with rice, bread or noodles	2020	Aomori-shi	3705
Other cooked food	2020	Aomori-shi	4735
Beverages	2020	Aomori-shi	4521
Tea	2020	Aomori-shi	979
