(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2014,127,28,21,383484,291693,3,3,43482,43482,3,2,44302,29430,4,2,55119,29047,2,1,25472,12736,1,1,16011,16011,2,1,25278,12639,2,2,22244,22244,1,1,13673,13673,3,3,41675,41675,2,2,31611,31611,1,1,13673,13673,4,2,50944,25472
2014,135,1,1,48822,48822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48822,48822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,138,22,12,362833,192916,2,1,34768,17384,3,1,52152,17384,1,1,17384,17384,4,1,69536,17384,0,0,0,0,0,0,0,0,5,3,79074,48229,0,0,0,0,1,1,17384,17384,2,2,26922,26922,2,1,34768,17384,2,1,30845,13461
2014,140,2,2,65526,65526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32763,32763,0,0,0,0,1,1,32763,32763,0,0,0,0,0,0,0,0,0,0,0,0
2014,146,4,4,54332,54332,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13583,13583,2,2,27166,27166,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13583,13583,0,0,0,0,0,0,0,0,0,0,0,0
2014,201,1,1,32118,32118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32118,32118,0,0,0,0,0,0,0,0
2014,202,606,229,11332895,4301075,44,22,761681,384024,61,23,1147663,448617,55,15,1079886,295783,46,19,830370,340321,54,19,1002488,355496,55,22,1048170,430329,50,18,909358,313930,51,16,1000114,302891,39,16,700926,284604,51,19,1006680,387019,46,18,844240,351433,54,22,1001319,406628
2014,203,185,60,4725789,1541271,24,6,614352,157989,26,6,726457,168095,15,3,384246,70107,17,4,441703,103286,13,4,307070,93648,16,7,398129,186295,7,4,165441,103405,11,4,256967,101057,19,7,498741,186742,12,3,307114,74813,7,4,173760,103653,18,8,451809,192181
2014,204,213,111,9334840,4418946,22,12,891363,413050,16,9,777910,435944,21,12,835370,396651,17,8,748999,343803,14,7,681837,297290,18,9,829700,358991,13,6,650951,292486,15,7,759018,320846,19,10,746642,372518,24,12,1010346,464441,17,7,740943,285791,17,12,661761,437135
2014,205,649,281,14058638,7250066,53,22,990772,472066,49,21,987412,518962,72,30,1306981,614060,68,27,1293420,659573,44,17,719498,392708,68,31,1487396,797755,66,26,1639398,769398,45,20,1047045,525144,48,23,1310810,671216,59,24,1377067,748619,39,20,819911,408210,38,20,1078928,672355
2014,207,151,117,535806,336049,14,11,45681,31860,11,8,32131,18925,13,10,35925,22960,18,12,65082,32109,15,12,75053,51159,16,12,49777,32948,4,4,7299,7299,12,12,32166,32166,11,8,40260,27228,9,9,21703,21703,21,12,114008,40971,7,7,16721,16721
2014,208,11,11,269079,269079,2,2,58267,58267,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28136,28136,2,2,35066,35066,1,1,28136,28136,1,1,28136,28136,2,2,35066,35066,1,1,28136,28136,1,1,28136,28136,0,0,0,0
2014,209,31,17,535650,328884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,59076,29538,4,2,59076,29538,5,3,114745,85207,4,2,59076,29538,6,4,84625,55087,5,2,73845,29538,2,1,29538,14769,1,1,55669,55669
2014,210,18,17,856099,852672,3,3,127164,127164,1,1,48921,48921,2,2,110536,110536,3,3,123907,123907,1,1,48921,48921,1,1,48921,48921,2,2,123230,123230,0,0,0,0,1,1,48921,48921,1,0,3427,0,2,2,123230,123230,1,1,48921,48921
2014,213,538,224,14439466,6757392,48,23,1263423,671965,53,19,1245938,512217,64,25,1556389,672489,53,22,1434754,671027,40,17,1132706,530117,47,19,1299732,580250,39,16,1100384,541751,37,16,1148641,561497,44,17,1203530,547270,46,19,1309589,613983,31,15,815209,398837,36,16,929171,455989
2014,215,37,12,429558,145426,0,0,0,0,7,1,82502,11786,11,3,110684,22208,2,1,49114,24557,4,1,17060,4265,8,2,98183,21343,1,1,19458,19458,0,0,0,0,0,0,0,0,3,2,33099,22351,0,0,0,0,1,1,19458,19458
2014,217,184,65,2849898,1201901,2,2,66848,66848,2,1,25348,12674,1,1,54174,54174,7,4,144279,104457,19,6,265667,80544,20,7,331202,146079,16,7,237206,104579,17,4,228058,54296,18,6,284032,121144,19,6,257006,81444,34,11,481232,158722,29,10,474846,216940
2014,218,3,3,84143,84143,1,1,28446,28446,1,1,27251,27251,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28446,28446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,219,203,79,2361662,854104,24,10,160950,61326,28,13,230961,104398,19,6,192104,54854,6,4,66955,47806,22,8,345164,130628,17,4,223919,47745,10,5,130346,57892,12,5,160032,65248,29,8,381528,92519,13,6,184102,79799,19,8,255954,101825,4,2,29647,10064
2014,220,138,98,2919197,1979327,17,14,349006,256682,11,9,190573,157355,18,12,354841,260090,7,6,130663,105151,17,10,412932,245725,11,7,225566,134787,9,7,176074,135771,8,6,208846,157580,10,4,300180,103822,12,8,278717,187938,5,5,63707,63707,13,10,228092,170719
2014,221,799,370,13869308,6445431,66,37,989636,599541,52,25,658282,291005,76,36,1364878,690077,75,32,1215550,527359,67,26,1186774,504580,69,35,1254800,647065,56,28,1077202,519583,52,27,976626,505981,64,31,1133687,519324,76,32,1256181,468006,81,31,1748043,687165,65,30,1007649,485745
2014,224,867,800,384578,306013,80,69,55347,41131,66,57,41374,30077,66,61,33888,27215,80,74,33075,26452,81,74,44640,36126,91,83,30692,19575,88,84,43088,38444,55,53,28602,27190,40,35,11024,9223,77,72,19966,13169,67,63,17180,12579,76,75,25702,24832
2014,230,246,143,11113081,6351578,20,13,850264,567085,29,16,1094561,568540,35,17,2002021,1003253,26,15,1097473,614771,29,18,1072921,631828,13,6,625228,285979,16,10,805467,545584,13,8,614794,367085,14,11,852257,624781,16,10,555114,279414,16,7,596637,332437,19,12,946344,530821
2014,233,1586,668,15235640,7657703,147,59,1693634,757740,103,47,1123223,708340,128,51,1251305,628371,126,53,1226603,673306,136,53,1585701,640156,116,55,1025832,542752,131,52,1174898,526980,123,55,1222777,690121,139,55,1171952,465689,148,57,1282610,627998,134,61,1112625,632897,155,70,1364480,763353
2014,234,31,19,687431,416028,2,2,20544,20544,8,3,145658,55957,0,0,0,0,6,4,125274,80278,1,1,18541,18541,2,1,34154,17077,5,2,108847,45885,1,1,48515,48515,2,2,37999,37999,2,2,34565,34565,2,1,113334,56667,0,0,0,0
2014,241,3,2,39719,25949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,27540,13770,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12179,12179,0,0,0,0,0,0,0,0,0,0,0,0
2014,304,389,219,10739376,6590314,36,20,964805,604006,34,18,890655,538775,33,16,878894,491390,34,21,942936,617811,37,20,1006835,595066,27,16,786642,491390,29,17,829362,518634,32,21,933928,638694,35,18,958585,531410,33,19,917581,570538,35,20,968826,603989,24,13,660327,388611
2014,308,2238,1128,2556933,1302652,174,88,207583,105615,148,78,173826,89660,198,95,240679,114179,190,104,204689,116100,194,101,232701,118200,207,100,243455,119472,184,93,200648,100697,183,90,195731,102931,195,93,206456,98991,189,95,217100,111437,209,101,239234,117365,167,90,194831,108005
2014,311,4,2,41340,20670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,31005,10335,1,1,10335,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,312,35119,15620,408256423,190481092,3058,1410,37760371,17144411,2779,1215,32317669,15164524,3164,1411,34637152,16550882,2878,1285,33778073,16157840,2961,1293,33996732,15067032,2802,1247,31704689,14824211,3045,1361,35274193,16588526,2892,1280,34942947,16489835,2857,1274,32265437,15058788,2932,1286,34303432,15961693,2834,1301,32615848,15369530,2917,1257,34659880,16103820
2014,314,148,136,4471503,4157726,10,10,314430,314430,14,12,387269,340271,18,14,510807,416811,10,10,298175,298175,16,13,452776,383731,11,11,322013,322013,14,12,411411,364413,9,9,286950,286950,13,13,397595,397595,12,11,414579,357839,10,10,315339,315339,11,11,360159,360159
2014,315,4918,1756,49980830,23463040,402,145,4028820,1755342,326,122,3566881,1818465,420,146,4816089,2092027,422,152,4094151,1910082,431,149,4486875,1972447,409,151,4147972,2064536,413,150,4049923,1916814,425,151,4247070,2046177,428,152,4286253,2067786,408,141,3830225,1640733,417,145,4139502,1861471,417,152,4287069,2317160
2014,316,84,53,148358,97081,4,2,7460,3730,2,2,3730,3730,1,1,1865,1865,4,4,8352,8352,6,4,10726,7046,10,4,15738,6732,14,9,24718,16171,14,5,23990,8497,11,8,19123,14620,6,5,11304,9803,7,5,12541,9539,5,4,8811,6996
2014,319,11,4,96538,34307,0,0,0,0,7,3,60111,27926,2,0,23665,0,0,0,0,0,0,0,0,0,2,1,12762,6381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,326,210,88,789188,325726,17,7,62102,25275,20,8,73677,29141,18,8,65945,29141,17,7,65423,26924,20,9,71780,29438,18,8,69289,30790,18,7,69289,26947,13,5,50028,19238,16,7,61603,26947,18,7,69243,26924,16,6,58305,21455,19,9,72504,33506
2014,328,339,146,5393904,2247453,19,9,283950,127373,31,14,472881,208718,17,9,277462,143462,27,12,430541,188539,29,13,446006,207358,29,13,488949,210973,26,11,407960,161678,30,12,460022,175440,36,14,586731,225036,41,17,700536,276660,36,14,552856,206840,18,8,286010,115376
2014,331,2701,922,14622153,4777935,235,89,1309267,481721,185,67,1012521,348312,227,86,1141008,416077,237,83,1263402,424900,230,81,1258368,431306,239,81,1364012,436139,250,79,1362412,402138,240,75,1379779,405978,223,79,1139598,398602,211,68,1178042,350658,209,63,1123261,325935,215,71,1090483,356169
2014,335,20,14,37322,25389,1,1,1742,1742,1,1,3188,3188,4,3,2051,1948,4,2,12752,6376,4,3,9573,6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4008,4008,1,0,524,0,2,1,3484,1742
2014,336,141,72,283632,143478,11,7,21567,13946,8,3,12904,5156,17,10,31007,18131,20,9,41788,19499,10,6,22510,12650,12,5,23160,10185,6,4,13720,8790,9,5,20045,10185,11,6,21765,11580,13,5,26695,11255,10,5,22510,11255,14,7,25961,10846
2014,337,1,0,3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,506,4,2,101468,50734,0,0,0,0,2,1,53346,26673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48122,24061
2014,514,582,374,643933,348153,45,28,60211,31024,44,26,40055,16346,52,35,65999,42453,58,34,64406,31986,45,26,52182,23854,53,34,66848,44594,30,21,38959,27737,49,36,30481,20227,50,33,54724,30446,38,27,34117,20108,62,40,69880,33641,56,34,66071,25737
2014,515,4999,2192,65817723,33069345,388,192,5605995,3103755,354,156,5172450,2415277,397,174,5637621,2684518,397,178,4857550,2663526,425,183,5167237,2648595,456,190,5315584,2648747,458,193,5873503,2884440,439,190,5300116,2737681,406,177,5149118,2665689,435,183,6190496,2748556,422,188,5804601,3060067,422,188,5743452,2808494
2014,518,307,232,195722,115001,11,7,12897,7982,13,3,12556,2239,11,7,13941,8090,14,9,10180,4717,35,26,23671,14201,28,25,17447,13663,29,27,10693,9751,36,31,17773,13146,37,26,21191,10282,39,31,19393,10731,30,22,16634,9228,24,18,19346,10971
2014,558,2,1,4740,2370,1,1,2370,2370,1,0,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,601,44,44,1386132,1386132,4,4,126012,126012,3,3,94509,94509,4,4,126012,126012,6,6,189018,189018,3,3,94509,94509,3,3,94509,94509,3,3,94509,94509,4,4,126012,126012,3,3,94509,94509,3,3,94509,94509,3,3,94509,94509,5,5,157515,157515
2014,602,7,2,2373,678,0,0,0,0,0,0,0,0,2,1,678,339,0,0,0,0,3,1,1017,339,2,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,607,9,4,41688,18528,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9264,4632,2,1,9264,4632,0,0,0,0,5,2,23160,9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,609,74,33,131535,59320,4,2,5826,2913,7,2,11383,3172,1,1,1305,1305,4,2,6184,3092,6,4,11797,8143,9,5,15221,8475,9,4,17686,7964,14,4,25295,7170,10,5,19161,10204,6,2,10766,3516,3,1,5303,1758,1,1,1608,1608
2014,611,318,142,2752394,1318055,21,9,137952,62049,30,13,244603,127008,25,13,212392,122673,23,10,194961,57827,22,14,187777,139497,25,10,199914,96872,20,13,198775,133447,23,13,183137,103910,28,13,229707,114400,42,15,398184,164130,28,10,324134,117685,31,9,240858,78557
2014,615,351,167,564799,281823,39,17,58012,26548,27,9,44736,15512,49,22,69100,31765,38,19,58816,32708,28,13,38863,16278,21,12,42279,27353,29,14,41681,19869,23,13,35880,19154,25,13,39337,22001,26,12,58160,32707,26,13,49349,22936,20,10,28586,14992
2014,620,1,1,2471,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2471,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,624,72,42,155426,113691,9,4,12353,5298,4,4,5897,5897,6,3,8347,4140,11,5,26920,19704,8,4,11794,5897,8,6,10730,7748,2,2,5314,5314,7,5,25422,21908,3,2,16257,15032,5,2,6657,2982,7,5,23285,19771,2,0,2450,0
2014,625,3897,1781,53233802,26028399,298,145,3437122,1928014,326,152,4379179,2373509,311,140,3808495,1920094,320,142,4757741,2336960,312,144,4626093,2081915,320,151,4668783,2299312,329,147,4417917,2035791,327,144,4762204,2316833,316,139,4530776,2121759,326,145,4352305,1951588,351,164,5077915,2478997,361,168,4415272,2183627
2014,626,8,4,4103,2085,0,0,0,0,0,0,0,0,2,1,735,401,0,0,0,0,0,0,0,0,3,2,1608,1072,2,1,1224,612,0,0,0,0,0,0,0,0,0,0,0,0,1,0,536,0,0,0,0,0
