(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2021,100,899,432,16264830,8595466,473,223,7721086,4076700,426,209,8543744,4518766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,103,2212,1087,5454981,2382329,1083,541,2548337,1136480,1129,546,2906644,1245849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,105,272,120,1905742,897034,143,64,1090833,493954,129,56,814909,403080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,106,38,9,412302,92009,20,5,212964,47204,18,4,199338,44805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,107,10,10,6919,6919,5,5,75,75,5,5,6844,6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,108,1653,597,14457010,5847591,868,315,8174184,3329196,785,282,6282826,2518395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,110,45,24,269585,147946,23,13,105193,64046,22,11,164392,83900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,111,47,18,198761,65497,21,8,93630,30396,26,10,105131,35101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,112,805,331,10710229,4849705,430,177,6106954,2721630,375,154,4603275,2128075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,113,96,59,1641751,1375193,49,28,836878,684957,47,31,804873,690236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,116,15,15,481374,481374,8,8,253200,253200,7,7,228174,228174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,117,101,36,440716,165258,51,15,208773,61425,50,21,231943,103833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,118,11,8,62140,24778,2,2,3346,3346,9,6,58794,21432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,123,4,2,138983,73707,4,2,138983,73707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,127,13,7,230931,124672,6,3,101494,50747,7,4,129437,73925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,135,2,2,67966,67966,2,2,67966,67966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,137,2,2,23764,23764,1,1,11678,11678,1,1,12086,12086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,138,3,1,71674,18997,1,0,33680,0,2,1,37994,18997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,202,72,28,1537071,563545,29,11,583514,222132,43,17,953557,341413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,203,9,3,296241,97851,5,1,167565,33513,4,2,128676,64338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,204,39,28,1129151,959424,18,13,447996,380868,21,15,681155,578556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,205,122,41,1382402,679003,57,21,618065,317343,65,20,764337,361660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,207,22,17,74745,56694,13,11,44797,39015,9,6,29948,17679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,208,5,2,288794,66614,2,0,202842,0,3,2,85952,66614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,209,2,2,5384,5384,1,1,2692,2692,1,1,2692,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,210,1,1,35485,35485,1,1,35485,35485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
