(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2012,100,4667,2724,65157682,40442567,335,205,4759217,3281863,326,200,5848752,3522997,355,211,5310423,3112268,380,226,5888245,3466015,493,225,5360072,2865226,419,217,5072348,3322692,387,240,5941086,3526849,343,224,5475712,3455050,375,244,5609574,3632435,397,240,5291677,3472393,463,250,5347634,3399373,394,242,5252942,3385406
2012,103,18753,9777,34616674,16803747,1490,818,2771087,1426141,1484,780,2818181,1414006,1670,874,2902439,1419537,1498,785,2724283,1335696,1629,845,2888672,1402951,1539,810,2844594,1390213,1617,848,2993221,1478618,1460,754,2762234,1328163,1519,795,2760176,1346022,1658,839,3134000,1447184,1609,818,3014346,1422300,1580,811,3003441,1392916
2012,105,2970,1618,10429649,5575491,244,133,797062,439126,194,112,594617,359669,300,182,918539,517479,285,172,993330,511295,264,140,1029665,502212,218,108,1019843,515180,237,121,854274,477285,225,106,840444,423189,236,125,937467,538506,238,116,760386,362871,259,149,817966,471858,270,154,866056,456821
2012,106,496,149,3158621,840250,34,14,210322,79552,35,10,213046,51140,37,9,225966,46402,37,10,234587,57359,43,13,275396,71554,44,14,285791,81949,48,18,292802,88960,39,12,251313,75592,43,9,283694,54176,48,15,307603,85710,43,13,283536,77751,45,12,294565,70105
2012,107,103,88,100413,87790,10,7,8201,6444,8,6,8230,6047,8,7,6661,6016,6,6,5371,5371,13,10,14510,10789,12,11,12813,12168,10,8,8196,7352,8,7,7352,6707,7,7,6909,6909,10,9,9811,9166,7,7,7963,7963,4,3,4396,2858
2012,108,6873,2762,68604065,27759786,552,228,5808095,2554976,525,217,5518133,2195177,578,239,5911697,2343421,535,218,5293733,2236019,592,232,5920674,2274917,525,212,5131276,2091543,573,230,6097721,2609436,560,230,5982524,2538392,600,219,6130273,2091589,569,233,5269453,2224910,631,245,5908296,2250342,633,259,5632190,2349064
2012,110,195,106,819190,469211,24,12,128061,62043,14,8,52447,36884,23,16,61535,44134,22,8,76530,24386,23,12,92098,51868,16,9,71473,36586,15,9,60929,39275,12,8,66071,41700,9,7,36907,28707,13,4,39502,11887,15,7,67372,37041,9,6,66265,54700
2012,111,237,86,995535,281854,15,6,53797,16054,25,7,141168,33438,16,6,60051,17009,18,7,93027,32804,13,7,44618,13672,18,8,79427,26325,16,7,58884,17003,19,7,103407,29441,26,7,88700,13041,26,12,84859,32439,25,6,115120,29937,20,6,72477,20691
2012,112,4783,1880,67463418,30150923,392,173,5966064,3065548,355,145,4363232,2025087,443,179,6463857,2932541,380,166,5511281,2680962,415,157,6682495,2667138,383,150,5428690,2421686,403,154,5929131,2624972,392,150,5422862,2270837,384,142,5426012,2354919,415,154,5537342,2404188,382,146,4619104,1998250,439,164,6113348,2704795
2012,113,803,442,8594319,7358221,64,38,735078,668132,78,43,888472,778861,56,39,747208,701226,61,38,741451,658421,69,38,746282,656998,62,34,675347,579773,65,34,631266,503133,76,36,676191,543405,55,31,599995,508770,72,33,665213,508164,65,36,708597,611135,80,42,779219,640203
