(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2012,116,137,132,2895826,2781514,12,12,261285,261285,14,14,306644,306644,10,9,188456,155018,13,13,277097,277097,12,10,258623,209373,10,10,208144,208144,12,11,258623,242811,9,9,182488,182488,9,9,193561,193561,13,12,274435,258623,11,11,227847,227847,12,12,258623,258623
2012,117,1099,378,7223328,3214351,87,32,584737,283438,68,27,432342,219908,102,35,661312,309438,96,31,594010,275865,100,38,634077,280205,92,32,659464,314524,89,30,499735,234633,99,30,613025,239815,71,25,393443,144764,101,35,752338,349374,88,24,551293,181853,106,39,847552,380534
2012,118,17,8,177129,74492,2,2,2032,2032,0,0,0,0,1,1,28525,28525,0,0,0,0,0,0,0,0,0,0,0,0,3,1,45675,15225,1,0,15225,0,2,1,10788,5394,1,0,499,0,0,0,0,0,7,3,74385,23316
2012,120,7599,4713,6281870,3561747,573,322,499481,266045,512,310,462898,272824,617,370,558896,328504,608,384,521303,314978,644,433,486577,295420,636,399,501842,281408,680,428,557515,325624,606,376,490792,275551,674,417,543716,309768,738,472,585551,318995,687,423,546865,288158,624,379,526434,284472
2012,122,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,123,44,26,997334,628354,2,2,45411,45411,7,5,188566,130556,3,1,65331,21777,2,1,52202,26101,6,3,130693,63025,0,0,0,0,3,3,64832,64832,8,4,191239,109819,3,3,73030,73030,5,1,51975,10395,3,2,68854,50647,2,1,65201,32761
2012,124,3,1,49440,16480,0,0,0,0,0,0,0,0,0,0,0,0,3,1,49440,16480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,125,1,1,2648,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2648,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,127,19,16,244729,205693,1,1,12483,12483,3,3,38411,38411,2,2,27041,27041,2,2,26300,26300,2,1,27128,13564,1,1,12548,12548,5,3,63330,37858,2,2,28280,28280,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9208,9208
2012,137,1,1,12054,12054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12054,12054,0,0,0,0,0,0,0,0,0,0,0,0
2012,138,33,19,929894,524992,2,1,26922,13461,1,1,13461,13461,1,1,17384,17384,5,2,75151,30845,0,0,0,0,4,2,150299,123377,8,4,436351,181751,0,0,0,0,5,4,79074,61690,2,1,34768,17384,2,1,34768,17384,3,2,61716,48255
2012,140,19,15,319755,255979,0,0,0,0,3,1,47832,15944,1,1,15944,15944,1,1,15944,15944,3,2,47832,31888,1,1,15944,15944,2,2,31888,31888,2,2,31888,31888,2,2,31888,31888,2,2,48707,48707,0,0,0,0,2,1,31888,15944
2012,147,3,1,98325,32775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,98325,32775
2012,157,4,3,2316,1737,2,1,1158,579,1,1,579,579,1,1,579,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,202,531,197,10440310,3780053,56,16,1119111,308572,46,18,1022229,382684,44,16,880262,304892,42,17,824211,324589,40,16,767922,293849,51,15,975530,274411,58,22,1123606,454062,27,11,527455,216822,49,18,889956,339381,34,11,738995,217990,44,20,849064,356065,40,17,721969,306736
2012,203,147,53,3889241,1408973,11,3,283743,77930,17,6,430510,163022,19,6,542608,173012,11,3,281428,75615,19,6,548487,165545,8,4,217250,111181,7,2,196392,54282,11,5,275990,122369,11,4,307455,116235,6,2,123900,41300,17,8,429849,212465,10,4,251629,96017
2012,204,253,140,9160033,4860925,28,15,910903,479482,29,17,1123623,614781,17,10,546680,291240,28,15,1120259,572918,24,13,820505,438922,17,10,585106,334432,23,13,951998,485822,13,8,381849,246304,18,8,649947,287929,17,10,597365,345775,17,9,750825,387797,22,12,720973,375523
2012,205,834,331,18558803,8861181,89,40,2128163,1315013,59,19,1140807,404808,60,22,1485825,636664,69,26,1332232,647944,63,25,1504705,702618,78,30,1645245,852223,89,34,1851215,907833,68,25,1573420,652612,63,23,1111877,483897,80,34,1736654,853063,64,26,2133123,845776,52,27,915537,558730
2012,207,279,150,1246012,581869,29,16,108671,51788,16,11,57520,35853,34,18,147224,76630,18,9,78434,36294,39,18,174249,70977,19,8,88921,32912,22,13,112493,62849,29,13,163426,52826,17,10,84471,34464,20,13,79910,47881,20,11,86635,44084,16,10,64058,35311
2012,208,29,21,1045065,658489,1,1,30108,30108,3,3,119497,119497,12,6,436736,163363,1,1,30108,30108,1,1,28181,28181,2,2,37038,37038,2,2,58289,58289,2,1,116166,58083,0,0,0,0,1,1,30108,30108,1,1,18486,18486,3,2,140348,85228
2012,209,1,1,19132,19132,0,0,0,0,1,1,19132,19132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,210,27,20,1900781,1296421,2,2,97842,97842,6,3,421090,213201,0,0,0,0,1,1,48921,48921,2,2,110536,110536,1,1,61615,61615,5,3,460571,254746,0,0,0,0,7,5,540749,350103,1,1,61615,61615,0,0,0,0,2,2,97842,97842
2012,213,593,272,16723559,7870582,56,25,1409308,634303,59,24,1553483,626063,54,23,1381653,620475,59,25,1547444,720672,59,27,1589214,757348,54,28,1808313,918213,38,20,1107222,590095,41,22,1212971,672047,50,22,1534550,672869,40,20,1198633,574726,41,18,1125541,525203,42,18,1255227,558568
2012,215,60,22,901020,339798,4,1,59076,14769,8,2,118152,29538,4,1,59076,14769,6,2,88614,29538,3,1,44307,14769,7,3,100400,41324,3,1,44307,14769,6,2,88614,29538,3,1,44307,14769,4,2,59076,29538,7,3,122959,63883,5,3,72132,42594
2012,217,5,0,35146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12674,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,218,9,9,291581,291581,0,0,0,0,1,1,34573,34573,2,2,69146,69146,1,1,34573,34573,0,0,0,0,2,2,61824,61824,0,0,0,0,2,2,56892,56892,1,1,34573,34573,0,0,0,0,0,0,0,0,0,0,0,0
2012,219,129,52,839882,292927,22,8,77506,27624,22,10,117673,46767,15,5,86515,23285,10,5,46570,23285,14,6,69064,27112,12,5,57699,18815,4,2,12272,6136,0,0,0,0,5,2,46235,16276,7,4,84794,43920,6,2,68244,16488,12,3,173310,43219
2012,220,193,125,3455577,1952651,11,8,265001,195969,15,9,275982,160380,18,13,324947,221819,20,9,429652,166754,7,6,130851,121740,13,10,193687,113543,17,11,264063,139590,27,16,580332,298356,17,13,248362,181529,14,10,236178,128376,13,7,255061,111042,21,13,251461,113553
2012,221,496,263,9955794,4920153,33,23,670252,418288,34,18,743100,322794,29,17,601721,357617,42,25,927609,564576,48,26,791691,366705,38,18,841156,445892,48,24,983445,438592,43,24,769438,415601,38,17,701257,279397,49,25,859176,406682,56,25,1455551,594044,38,21,611398,309965
2012,222,8,3,161400,62342,1,1,21992,21992,1,0,21992,0,2,1,43984,21992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,55074,18358,1,0,18358,0
2012,224,1077,979,640350,515670,85,77,71527,60426,79,68,55294,32252,91,79,75402,63658,93,88,44363,39270,102,95,59644,53080,97,86,54372,43983,92,87,48525,41260,74,71,53748,49851,65,59,34662,27656,110,101,43878,33231,89,80,46758,34162,100,88,52177,36841
2012,230,435,186,15050222,7332095,38,21,1484060,923418,27,12,1221122,602794,52,22,1854239,922950,39,15,1274348,520372,35,15,1247561,569586,29,13,965657,535456,33,13,941303,387825,47,21,1630553,849360,25,8,797525,312292,50,18,1758796,716501,26,12,685803,370524,34,16,1189255,621017
2012,233,2412,968,17951249,8906333,195,86,1566317,860936,194,71,1237196,605476,220,88,1714466,896291,189,79,1365418,731113,231,92,1625531,700136,197,84,1649214,849982,204,78,1362978,576519,222,87,1778715,831269,179,68,1325817,538278,190,82,1325890,761128,188,75,1418951,791032,203,78,1580756,764173
2012,234,26,15,434222,244007,5,4,82061,63575,3,2,54829,36622,3,1,52895,16065,5,2,45711,17680,7,3,150814,62153,1,1,10351,10351,0,0,0,0,0,0,0,0,0,0,0,0,2,2,37561,37561,0,0,0,0,0,0,0,0
2012,241,19,7,229631,82772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24358,12179,0,0,0,0,0,0,0,0,2,1,18818,9409,0,0,0,0,9,3,90689,31153,6,2,95766,30031,0,0,0,0
2012,247,2,1,24120,12060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24120,12060,0,0,0,0,0,0,0,0,0,0,0,0
2012,304,419,230,11355928,6800701,27,17,759084,520863,32,18,875745,535350,40,23,1095917,671309,40,18,1043884,527938,34,22,969031,633148,36,20,951770,585671,27,17,786695,518181,48,22,1219236,633106,31,16,849142,489695,36,19,955510,583971,34,19,912776,551436,34,19,937138,550033
2012,307,2,2,810,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,405,405,1,1,405,405,0,0,0,0
2012,308,2157,1164,2300440,1249246,185,102,191782,109865,137,84,160417,98365,204,114,221214,117486,189,102,202636,109095,196,104,215597,114846,201,104,208606,111806,188,106,186172,109916,165,79,184444,86993,156,93,164966,100653,193,95,202686,99432,179,91,178187,90298,164,90,183733,100491
2012,312,37647,17018,425914347,199011740,3088,1458,35299924,16830248,2995,1363,33956413,16076045,3331,1477,36017403,16054447,3127,1406,36765698,17075293,3167,1470,35693040,17025225,3118,1379,34342198,15650472,3236,1451,36946180,17067659,3076,1360,35373446,16521748,3092,1426,34535941,16255634,3286,1476,37150747,17437679,3023,1366,34781352,16377979,3108,1386,35052005,16639311
2012,314,119,117,3673388,3608276,10,9,306898,285979,12,12,378893,378893,11,11,345091,345091,11,11,317559,317559,10,10,310481,310481,5,5,153456,153456,10,10,319497,319497,8,8,216201,216201,9,9,286005,286005,14,13,435044,390851,12,12,381441,381441,7,7,222822,222822
2012,315,4730,1666,46593114,21769462,361,129,3327801,1748205,374,126,3670026,1673575,410,143,4480857,2050858,399,137,4003501,1668984,424,153,4120043,1946213,428,147,4288920,1922535,402,144,3699494,1774814,376,141,3956649,1957520,394,144,3794354,1833846,404,135,4280732,1841072,407,140,4034676,1901694,351,127,2936061,1450146
2012,316,45,31,99323,71629,1,1,1815,1815,0,0,0,0,3,2,5595,3730,5,2,9325,3730,4,3,9344,6537,5,4,9175,7360,8,5,26208,19771,4,3,7360,5545,5,3,10117,6487,2,2,3630,3630,5,5,11159,11159,3,1,5595,1865
2012,319,7,3,60110,27925,0,0,0,0,2,1,38810,19405,5,2,21300,8520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,326,220,88,837270,336630,19,8,73132,30790,21,8,77600,29974,19,8,75209,32867,18,7,69289,26947,17,7,65354,26924,16,6,61557,23081,17,7,65446,26947,18,7,69289,26947,17,7,65446,26947,18,8,69266,30790,19,7,69811,25275,21,8,75871,29141
2012,328,455,173,7524096,2708041,43,16,728308,262394,49,14,880910,242154,33,12,539834,186250,33,14,550101,223490,47,18,766789,282484,31,15,502428,234209,32,15,499276,226279,18,5,300101,75233,43,16,669725,238804,44,16,747356,252376,40,15,676703,228541,42,17,662565,255827
2012,331,3010,1212,15508625,6234419,224,93,1194029,484240,232,95,1216071,493733,265,112,1291452,553594,234,98,1233437,550279,253,109,1288093,602932,251,105,1292973,543695,278,120,1428373,610069,270,100,1374763,496332,265,99,1384038,498852,260,97,1363777,495834,243,95,1235355,461014,235,89,1206264,443845
2012,335,31,22,32992,22034,3,3,2970,2970,3,2,2884,1732,2,2,1160,1160,2,2,1160,1160,5,3,4616,2312,2,1,2304,1152,2,2,2304,2304,2,1,2894,1742,2,2,2304,2304,2,1,2304,1152,3,2,4046,2894,3,1,4046,1152
2012,336,389,177,1042084,473355,46,23,150797,75737,38,16,113176,51486,41,19,109241,47527,31,15,84671,35134,32,15,86542,41279,29,15,79054,38928,35,16,89563,36228,28,13,83358,41914,26,12,62087,27288,29,13,70941,38011,25,10,50665,19705,29,10,61989,20118
2012,409,1,1,13837,13837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13837,13837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,410,2,2,24488,24488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12448,12448,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12040,12040,0,0,0,0,0,0,0,0
2012,501,3,3,25854,25854,1,1,1996,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11929,11929,1,1,11929,11929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,505,5,3,180260,108156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,72104,36052,0,0,0,0,0,0,0,0,2,1,72104,36052,1,1,36052,36052,0,0,0,0
2012,514,756,464,766971,441564,66,37,70635,40927,57,33,68615,38813,54,33,60881,38748,63,32,73986,35936,51,32,51239,31516,56,35,61933,36403,70,48,57201,35932,75,47,51273,23968,72,52,72563,45375,72,43,68180,36142,68,40,76093,46577,52,32,54372,31227
2012,515,5541,2512,77903576,39832173,439,201,6058807,3224889,402,189,5675603,3103619,448,209,6167482,3136952,453,206,6199425,3256083,482,216,6891264,3424412,482,208,6718894,3119799,461,213,6805640,3586169,457,204,7045752,3559016,466,218,6397507,3456224,475,226,6385305,3481195,485,210,6807783,3207173,491,212,6750114,3276642
2012,518,77,36,79083,34140,2,1,1778,889,1,0,889,0,6,3,5675,3008,5,2,5809,2119,4,1,4920,1230,8,3,8817,3349,5,2,4445,1778,6,4,5821,3361,8,5,7331,3982,9,4,8488,3361,12,5,13170,5087,11,6,11940,5976
2012,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,543,28,17,53233,37888,0,0,0,0,3,2,4185,2790,3,2,4185,2790,3,2,1953,558,1,1,1395,1395,0,0,0,0,2,1,2790,1395,4,2,5580,2790,2,1,2790,1395,3,2,4185,2790,5,3,23380,20590,2,1,2790,1395
2012,544,1,1,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,221,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,601,45,44,1417635,1386132,4,4,126012,126012,4,4,126012,126012,3,3,94509,94509,5,5,157515,157515,6,5,189018,157515,2,2,63006,63006,5,5,157515,157515,3,3,94509,94509,2,2,63006,63006,3,3,94509,94509,4,4,126012,126012,4,4,126012,126012
2012,602,2,1,678,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,678,339,0,0,0,0,0,0,0,0
2012,611,319,145,2954352,1543236,30,13,258995,137697,38,16,370332,196377,26,8,172565,53803,32,17,321236,214526,19,10,123159,86325,18,11,186788,93421,24,7,252188,88024,21,12,196522,130763,24,9,140938,66958,37,19,362760,210843,24,9,244574,93226,26,14,324295,171273
2012,615,524,282,842097,462758,41,22,60881,33692,41,27,58091,38938,44,26,68027,44559,29,17,36321,21609,47,27,71835,44220,44,26,77763,46307,47,23,81045,41965,39,22,62756,34504,51,24,103714,47433,51,22,73098,31218,46,23,69717,35751,44,23,78849,42562
2012,620,7,7,17297,17297,1,1,2471,2471,1,1,2471,2471,2,2,4942,4942,1,1,2471,2471,1,1,2471,2471,0,0,0,0,1,1,2471,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,624,190,99,285817,153066,21,14,36880,22250,19,10,30708,14289,15,7,20189,8429,21,7,28716,9630,9,6,18250,13608,20,8,26233,10722,18,8,22002,9832,19,10,30710,15964,13,7,27768,20043,15,9,20097,12080,10,6,12614,8010,10,7,11650,8209
2012,625,2799,1425,41684244,22413499,188,99,3263278,1839415,214,107,3820150,1903854,250,122,4231695,2200826,209,108,2897151,1556980,224,108,2985781,1595187,232,115,3760972,2135090,226,111,3488253,1773231,235,126,3584540,1986999,252,132,3475020,1872147,266,126,4332983,2065018,243,131,2810203,1708500,260,140,3034218,1776252
2012,626,5,4,1717,1388,0,0,0,0,0,0,0,0,1,1,329,329,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1059,730,0,0,0,0,0,0,0,0,1,1,329,329,0,0,0,0,0,0,0,0
