(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2015,100,4925,2752,81204045,47888200,408,234,6509475,4002026,350,201,6169181,3690609,376,225,6703957,4055119,444,237,7786421,4273419,497,242,7381799,3903592,475,230,5868337,3489837,388,228,6389489,3951711,347,221,6834654,3985290,365,229,6148536,3919017,432,247,7001747,4329671,446,232,7286397,4051306,397,226,7124052,4236603
2015,103,18692,9196,39768199,17248481,1548,791,3241506,1514650,1491,729,2951151,1293741,1661,827,3441256,1459502,1547,768,3121911,1366176,1541,768,3150490,1386769,1565,780,3252862,1440434,1539,754,3262950,1427681,1541,761,3551669,1510379,1575,758,3534974,1496001,1597,752,3647934,1475298,1508,729,3272715,1393561,1579,779,3338781,1484289
2015,105,2020,965,8723510,4217439,207,91,832193,402424,148,61,504122,240809,188,104,631278,334337,207,101,849122,381450,162,69,591750,273901,154,70,867372,458014,149,65,713919,318894,148,73,902812,442778,160,74,790743,307939,165,81,673224,388123,157,80,671235,309787,175,96,695740,358983
2015,106,527,133,3969234,1371591,47,12,300217,75392,60,14,372618,78102,49,10,312701,62272,42,11,404222,203951,32,9,290100,141779,40,12,347422,140109,62,18,529461,243211,39,11,270984,88410,38,10,339062,137764,38,8,298922,93543,37,8,239489,51784,43,10,264036,55274
2015,107,76,47,89745,51627,7,5,8317,5241,4,3,4394,2856,6,4,7470,4394,8,4,10546,5273,9,4,10686,4582,6,4,7470,4394,8,5,8976,5241,5,3,6308,3923,5,3,5932,3735,5,3,6120,3044,6,4,5900,3703,7,5,7626,5241
2015,108,8630,3266,81314792,30572428,674,258,6000029,2350751,648,238,6505108,2372720,707,270,7085592,2632111,725,279,7317507,2727980,707,265,6539222,2432082,768,301,7118312,2742467,738,268,7626486,2659388,734,285,6553965,2636458,743,270,6705837,2342899,668,245,6083861,2267750,748,288,6625222,2605095,770,299,7153651,2802727
2015,110,119,53,1035174,466126,5,2,40579,14116,12,6,138662,65805,12,5,88023,40380,16,8,120845,54222,11,6,99575,53750,8,3,62313,20090,10,5,122485,56293,7,3,65754,30712,16,8,152659,86058,9,2,56065,14116,5,2,40579,14116,8,3,47635,16468
2015,111,292,114,1706554,642207,27,11,114714,61835,25,9,139659,48401,20,6,91390,30306,16,8,60404,31080,18,7,59331,21850,23,10,110962,39184,33,13,177328,61262,28,12,260604,145236,23,10,226607,44732,26,9,138875,41353,23,7,138522,40940,30,12,188158,76028
2015,112,6238,2385,80889253,33796680,475,189,6896280,3059772,410,156,5423409,2247903,560,225,8051393,3479927,535,198,6819273,2745430,510,195,6261842,2818257,505,198,6319780,2553163,526,196,6718618,2718917,548,210,6782633,2738678,551,204,7400234,2957476,576,216,7175786,2940329,529,204,6804205,2940117,513,194,6235800,2596711
2015,113,653,357,8753450,7295599,63,32,978476,666323,61,34,776763,671784,72,34,831585,692465,54,30,686444,585853,51,25,762231,541282,39,22,492362,418621,58,32,778734,668146,47,28,686501,623846,48,24,574300,486988,49,29,673871,603144,47,28,663224,585835,64,39,848959,751312
2015,116,97,94,2224348,2164406,8,8,181640,181640,8,8,166676,166676,10,10,230291,230291,7,6,134467,118655,8,8,195375,195375,8,8,184932,184932,8,7,181041,151494,7,7,155385,155385,7,7,166458,166458,7,7,156015,156015,10,9,253068,238485,9,9,219000,219000
2015,117,807,259,4529911,1697796,73,20,404365,135538,54,15,283982,87723,63,23,335447,154790,84,27,490319,174024,64,19,333597,118029,75,23,390508,141362,65,23,394504,147615,62,21,413599,169950,65,20,298137,98690,64,23,381202,181962,56,20,330627,139826,82,25,473624,148287
2015,118,264,111,1131989,510549,24,12,74002,38194,21,8,61859,23872,24,11,67680,28888,25,10,144582,57382,26,10,147566,36162,23,9,68632,26856,22,9,65648,26856,7,4,80474,71522,22,9,125234,56649,22,9,65648,26856,21,9,62664,26856,27,11,168000,90456
2015,120,5505,2851,5551964,2818794,500,242,514461,244628,414,205,412909,203145,485,259,493072,251503,487,259,514705,266713,471,255,480649,255384,493,260,505545,264827,456,239,461209,236588,437,226,422963,212550,443,234,427494,223919,443,232,437297,230462,416,209,410371,201215,460,231,471289,227860
2015,123,42,27,1142741,733622,5,4,136403,109745,5,5,134914,134914,1,1,32440,32440,4,3,107731,81073,4,2,108830,54415,6,2,215190,71730,3,2,87053,54415,3,1,42567,10395,1,1,32638,32638,5,3,162398,97518,3,2,61787,43944,2,1,20790,10395
2015,124,1,1,17077,17077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17077,17077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,125,1,1,4384,4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4384,4384
2015,126,4,4,891,891,0,0,0,0,0,0,0,0,0,0,0,0,4,4,891,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
