(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2015,127,22,13,316500,188149,3,2,43625,29818,1,1,13673,13673,4,1,56095,12736,2,2,32079,32079,2,2,29237,29237,4,1,58232,14558,1,1,12639,12639,0,0,0,0,2,1,29744,14872,0,0,0,0,2,1,25278,12639,1,1,15898,15898
2015,137,5,5,60154,60154,0,0,0,0,1,1,12063,12063,1,1,12063,12063,0,0,0,0,0,0,0,0,1,1,12063,12063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23965,23965,0,0,0,0
2015,138,25,14,439269,239826,1,1,13461,13461,4,2,69536,34768,0,0,0,0,4,2,69536,34768,1,1,13461,13461,2,1,26922,13461,4,2,69536,34768,1,1,13461,13461,0,0,0,0,0,0,0,0,2,1,26922,13461,6,3,136434,68217
2015,140,5,4,163815,131052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32763,32763,0,0,0,0,1,1,32763,32763,0,0,0,0,2,1,65526,32763,0,0,0,0,1,1,32763,32763,0,0,0,0
2015,141,2,1,12112,6056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6056,6056,1,0,6056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,202,522,206,10230428,4102341,41,15,788780,285435,55,18,1101661,378298,45,18,824361,340744,40,16,829397,342674,30,13,579443,257620,45,20,861931,404082,58,21,1120421,413510,54,17,1061908,344638,32,14,588781,247955,31,14,650768,291676,53,23,1068588,468824,38,17,754389,326885
2015,203,71,29,2133585,867643,5,3,124055,82669,7,4,204278,116516,0,0,0,0,11,3,307746,83352,10,4,327919,126709,5,2,157981,62234,6,2,170877,56985,4,2,126796,59704,6,2,201177,67059,11,5,326582,145323,4,1,119082,33546,2,1,67092,33546
2015,204,125,80,3585973,2521388,10,6,316143,184081,5,4,86653,74055,4,2,125895,85754,5,4,145992,130053,12,8,329175,246164,8,5,198040,140100,8,6,201990,162062,11,6,207917,154815,17,11,436597,280564,12,7,286161,218111,11,8,458908,337990,22,13,792502,507639
2015,205,633,301,17401795,9053658,44,21,1310579,592771,55,21,1314494,576835,51,25,1329840,772376,46,23,1115681,688612,57,26,1211673,663746,48,26,1090459,751216,43,25,1336579,809351,60,33,1636871,933089,62,25,1689301,807081,65,30,1762967,809532,45,20,1636770,669237,57,26,1966581,979812
2015,207,115,98,353666,280827,6,6,14015,14015,8,7,20370,15719,11,10,53038,41106,13,12,62338,55643,10,9,18125,16239,11,8,38324,25763,5,5,12195,12195,14,10,44288,29841,6,6,13836,13836,11,9,31027,22713,11,9,29626,21045,9,7,16484,12712
2015,208,12,9,457971,287280,3,3,86369,86369,0,0,0,0,2,2,59606,59606,0,0,0,0,0,0,0,0,0,0,0,0,5,2,255724,85033,1,1,28136,28136,0,0,0,0,1,1,28136,28136,0,0,0,0,0,0,0,0
2015,209,5,3,150137,124067,0,0,0,0,0,0,0,0,1,1,59500,59500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51532,51532,0,0,0,0,0,0,0,0,3,1,39105,13035,0,0,0,0
2015,210,12,10,626773,518092,0,0,0,0,1,1,95323,95323,4,3,88995,75637,0,0,0,0,1,1,48921,48921,1,1,48921,48921,2,1,190646,95323,1,1,95323,95323,0,0,0,0,0,0,0,0,1,1,29322,29322,1,1,29322,29322
2015,213,431,158,10512410,4614147,27,12,686847,341191,28,10,677648,307510,48,17,1260851,539346,37,8,767625,179689,49,15,1076574,382896,52,20,1208382,560012,48,15,1146373,422669,31,12,796216,372594,29,13,737373,365879,33,15,922905,482503,21,9,558425,285943,28,12,673191,373915
2015,215,12,7,152169,93419,0,0,0,0,2,1,38916,19458,3,1,34809,11603,2,1,28680,17077,1,1,19458,19458,0,0,0,0,0,0,0,0,2,1,8966,4483,1,1,17077,17077,1,1,4263,4263,0,0,0,0,0,0,0,0
2015,217,280,102,5009404,1914360,34,11,527402,165250,24,7,487338,148872,30,9,520666,175782,33,11,599242,214066,28,9,493816,188440,13,4,173222,54296,26,10,390552,169973,20,8,328672,157488,21,9,378649,165640,22,9,486443,194963,11,6,264705,135816,18,9,358697,143774
2015,218,7,7,234689,234689,0,0,0,0,0,0,0,0,1,1,34573,34573,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34573,34573,1,1,34573,34573,0,0,0,0,1,1,34573,34573,0,0,0,0,3,3,96397,96397
2015,219,329,104,2697136,882420,13,5,128511,50179,34,10,361160,102167,22,8,168071,61737,22,7,173961,46762,29,9,262140,89670,21,10,179916,86424,36,10,320121,90548,25,7,185258,54848,29,8,215901,64004,34,11,223491,82621,28,8,237996,68965,36,11,240610,84495
2015,220,96,64,1605324,987343,10,9,225529,192092,8,4,165007,72543,14,7,337156,159105,8,6,143559,111698,12,6,184557,110732,10,8,118216,78695,6,4,99514,59993,6,4,116466,72299,6,4,51998,33776,4,3,74006,43596,6,5,23972,14861,6,4,65344,37953
2015,221,757,372,11605900,5253972,85,38,1500989,655436,69,26,1045114,401696,70,35,1159294,574980,77,34,1374523,589578,63,29,831481,287688,60,27,860119,387473,55,26,660218,255956,38,23,486936,255472,59,30,928703,396624,47,29,611484,377077,59,33,1188159,517027,75,42,958880,554965
2015,224,876,809,386677,310147,79,73,50960,42553,47,43,23793,19310,64,57,42719,29921,76,68,33773,22076,77,71,31198,23685,86,78,29728,24574,78,74,24076,21520,64,64,29115,29115,51,48,25771,23609,74,69,20601,15225,94,84,39380,32114,86,80,35563,26445
2015,230,199,129,9154977,5564144,18,12,800258,481192,24,15,1174415,746495,25,14,1180712,613490,13,8,551216,330484,6,4,444140,282279,23,13,811975,475405,11,7,744097,426643,20,13,866278,461364,14,11,568075,435285,13,9,608992,427127,17,12,652916,389387,15,11,751903,494993
2015,233,2166,758,17005713,7457191,153,67,1529724,841169,137,59,1125625,532837,191,68,1499865,658848,205,66,1550097,616156,184,63,1239869,497414,197,65,1371166,555717,184,63,1351135,601191,169,59,1365470,647892,188,58,1382746,508700,196,61,1408216,607146,185,64,1548896,650286,177,65,1632904,739835
2015,234,23,17,508248,344678,2,2,37416,37416,2,1,32130,16065,4,3,127979,79462,1,1,17734,17734,2,2,27537,27537,1,1,16065,16065,1,1,18500,18500,1,1,19458,19458,3,2,65157,45699,5,2,122105,42575,1,1,24167,24167,0,0,0,0
2015,241,4,3,59399,41547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,35704,17852,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9871,9871,1,1,13824,13824,0,0,0,0,0,0,0,0
2015,304,216,148,5752615,4410703,17,11,477986,304178,14,11,409953,358248,21,9,513975,240925,10,9,313587,296352,16,12,433619,364679,12,10,334769,300229,22,15,559324,415496,22,14,576816,434825,20,15,534603,448324,17,16,527295,507760,25,13,582674,372353,20,13,488014,367334
2015,308,2356,1221,3085538,1684652,211,101,253811,122843,185,90,232269,112466,194,104,225563,122985,195,101,257014,137823,214,117,285698,172739,188,102,258230,149856,180,98,250543,150783,179,103,255510,162640,206,107,268021,150217,213,104,269656,134692,185,90,263414,127562,206,104,265809,140046
2015,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,312,32265,14731,388841745,187778747,2780,1274,33640183,16339927,2727,1201,32137115,15376789,2926,1313,36117659,16607124,2682,1213,31653281,15019854,2706,1221,31694536,15101166,2701,1249,32328745,15292429,2702,1267,33120940,16178913,2650,1210,32896819,15831105,2628,1205,30381512,15051727,2717,1221,31806647,15433654,2466,1172,30873559,15547604,2580,1185,32190749,15998455
2015,314,107,104,3398485,3266549,11,11,343367,343367,11,11,329440,329440,10,10,318280,318280,8,8,255478,255478,6,6,171336,171336,7,7,214134,214134,9,8,332410,281262,13,13,394279,394279,12,11,425996,374848,7,7,215669,215669,4,4,125170,125170,9,8,272926,243286
2015,315,5213,1803,49454295,23856930,415,149,4022223,2051079,370,133,3872582,1829086,385,143,3613744,1792742,465,155,4495526,2074682,448,147,4355583,1987945,480,162,4390671,1936500,416,140,3795536,2085216,449,172,4256896,2287493,457,155,4299299,1961261,408,133,3518048,1674119,434,154,4115723,2049716,486,160,4718464,2127091
2015,316,88,57,157752,101929,9,4,15229,6682,8,4,14042,7674,9,8,15857,14356,12,7,23022,12855,7,4,16459,8038,5,4,8597,7096,3,2,4503,3002,5,4,8233,6732,4,4,7046,7046,12,7,19732,12227,5,4,8233,6732,9,5,16799,9489
2015,319,7,3,100293,46748,2,1,38666,19333,2,1,22808,11404,3,1,38819,16011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,326,224,96,890638,377915,16,7,59908,25275,18,8,67640,29141,17,8,63751,29141,20,8,75303,29118,18,7,69289,26947,18,8,67640,29141,18,7,69289,26947,17,8,63751,29118,20,9,89941,47599,20,8,73677,29141,19,10,75476,40866,23,8,114973,35481
2015,328,380,162,6001557,2428030,31,13,513022,199952,30,9,454131,136298,37,17,574542,224541,28,15,430321,223759,58,21,943443,330259,18,10,253928,136407,40,20,677243,306742,36,12,623908,201498,45,19,650044,254322,18,10,293482,166908,29,12,438257,185447,10,4,149236,61897
2015,331,2402,777,12704034,3820692,198,66,1016651,317367,186,62,883783,295985,166,61,838290,296062,192,67,949085,334814,201,60,984222,267737,202,65,1129564,340858,207,71,1099180,343282,195,58,989652,274307,218,74,1133049,355209,186,57,981990,278504,208,65,1193595,351296,243,71,1504973,365271
2015,335,35,21,100102,55470,2,2,4930,4930,3,1,9564,3188,2,1,6376,3188,4,1,12752,3188,3,2,9564,6376,3,1,9564,3188,1,1,3188,3188,4,3,10547,7359,4,1,12752,3188,3,3,5454,5454,3,2,8118,4930,3,3,7293,7293
2015,336,158,75,319020,152945,7,5,14045,9115,12,5,24230,10185,15,6,29485,12650,16,7,29810,14045,17,7,32267,12967,9,5,21115,11255,14,7,26429,13454,15,6,30555,12650,13,7,28055,15405,13,7,26884,13164,11,6,23905,12650,16,7,32240,15405
2015,408,3,1,162,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,108,54,1,0,54,0,0,0,0,0,0,0,0,0
2015,409,2,2,20031,20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10546,10546,0,0,0,0,1,1,9485,9485,0,0,0,0
2015,505,1,1,36052,36052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36052,36052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,506,1,0,24061,0,1,0,24061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,514,442,252,720223,388970,28,17,41670,26188,33,14,58324,26402,39,21,56109,32060,35,21,64697,36249,35,20,63328,34722,37,24,60412,31840,44,24,69232,33800,31,15,50418,26819,35,22,61782,34749,43,24,57783,30760,34,25,55238,40480,48,25,81230,34901
2015,515,5114,2318,72949399,36502167,397,193,6071747,2970179,410,184,5377907,2676673,467,212,6340007,3161764,427,201,6061254,3128428,404,192,5882507,3026589,447,200,6472279,3198989,432,198,6035880,3139406,391,186,5680502,2936347,428,194,6346358,3218068,439,188,6398701,3188260,416,185,6027922,3004418,456,185,6254335,2853046
2015,518,257,156,261151,141124,24,13,31556,18222,24,15,27661,13908,14,10,13590,9000,18,11,15264,9015,13,9,12978,8905,23,16,21192,12941,16,10,16431,9144,20,12,21640,11243,25,14,23192,8585,27,19,22719,15375,22,12,20079,8815,31,15,34849,15971
2015,544,15,15,3948,3948,0,0,0,0,6,6,1680,1680,1,1,240,240,0,0,0,0,0,0,0,0,0,0,0,0,1,1,286,286,2,2,539,539,3,3,857,857,2,2,346,346,0,0,0,0,0,0,0,0
2015,601,48,48,1512144,1512144,5,5,157515,157515,4,4,126012,126012,3,3,94509,94509,4,4,126012,126012,2,2,63006,63006,4,4,126012,126012,5,5,157515,157515,5,5,157515,157515,3,3,94509,94509,3,3,94509,94509,5,5,157515,157515,5,5,157515,157515
2015,602,6,2,2034,678,2,1,678,339,0,0,0,0,1,0,339,0,1,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,678,339,0,0,0,0,0,0,0,0,0,0,0,0
2015,609,69,39,171412,101471,10,5,18515,9916,8,4,14077,7887,2,1,3366,1758,7,4,14745,9621,5,5,17430,17430,4,3,13714,9328,6,2,24614,6676,1,1,4918,4918,6,3,13100,6550,7,4,12319,7887,4,2,14628,8102,9,5,19986,11398
2015,611,328,142,3522578,1590955,30,14,336566,149070,27,12,195595,104461,32,14,378174,155421,35,13,330029,121574,34,13,382426,159886,20,8,257837,105019,31,11,293633,119756,21,13,173888,107042,32,12,307047,124355,22,11,276523,164431,20,7,254973,74203,24,14,335887,205737
2015,615,291,138,467288,226036,29,15,44328,23489,20,14,36020,25951,20,9,36196,12946,17,8,33191,16193,19,10,37834,21596,30,14,44795,20428,25,13,38443,20262,20,11,26385,15414,27,11,43377,16288,32,15,48268,23209,19,8,29722,13764,33,10,48729,16496
2015,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,624,80,43,121864,66132,10,5,15843,7622,5,4,8042,6285,9,5,13054,7622,7,4,10104,5897,3,2,5271,3514,6,3,8745,4073,11,5,17632,8154,3,2,3541,2383,8,3,11928,4207,6,3,8347,4140,8,5,13393,9253,4,2,5964,2982
2015,625,4424,2019,59001109,27687948,383,171,5569809,2631751,355,165,5062325,2386165,381,185,5179071,2676113,364,167,5247828,2378598,376,171,4712813,2090758,359,175,5052058,2515211,408,184,5257330,2388439,348,160,5070789,2463731,365,159,4837294,2116479,334,150,4334739,1946870,350,159,4233877,2052653,401,173,4443176,2041180
2015,626,4,2,2232,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,536,536,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1084,548,1,0,612,0,0,0,0,0,0,0,0,0
