(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2011,100,4519,2576,57735099,37437205,296,186,4780674,3199127,270,179,3685776,2546901,459,246,5536431,3451144,446,214,3756174,2626475,450,207,4573097,2710774,321,185,4754214,3039903,368,233,4897435,3310067,358,226,5430670,3361567,347,222,5409832,3551755,393,230,4055342,2724450,426,232,6110479,3708019,385,216,4744975,3207023
2011,103,18661,9968,35293528,17577073,1460,822,2772823,1493088,1493,817,2908324,1474830,1627,872,3206202,1544384,1548,820,2870914,1425639,1514,795,2935768,1417873,1543,823,2787991,1389346,1596,844,3204917,1587728,1648,880,2957154,1500117,1457,776,2751725,1363452,1598,847,3067634,1503447,1620,866,2978723,1491515,1557,806,2851353,1385654
2011,105,2857,1625,11444488,6418243,210,119,819675,456140,209,124,846836,447399,296,197,862976,532242,253,154,951967,478817,192,110,796466,428581,193,94,807243,439943,216,114,1132654,607916,203,116,1122375,720918,210,120,969484,607181,260,140,1056664,619073,312,168,986027,494446,303,169,1092121,585587
2011,106,425,141,2655611,769288,21,8,122418,43821,27,9,169555,54025,37,9,235612,51465,37,11,232287,60922,33,13,211017,84973,39,14,280695,80805,37,14,211345,59089,36,12,221115,63522,33,11,200841,57263,39,13,236842,67074,41,13,253898,71554,45,14,279986,74775
2011,107,166,126,151632,115677,12,6,13131,6835,16,14,17201,15227,28,17,24988,15824,12,9,10874,7358,21,16,19604,15055,18,15,16517,14529,9,7,7306,6016,11,9,9806,7277,7,7,5725,5725,12,10,9246,7892,9,8,7321,6676,11,8,9913,7263
2011,108,6484,2615,64494392,27534784,526,226,5475401,2430881,501,208,5021691,2187361,556,234,5072591,2327172,558,215,5475126,2298118,511,216,4963270,2205360,546,218,5138548,2135169,577,217,5926069,2428751,554,226,5736459,2477258,545,223,5515974,2345991,543,222,5390734,2315347,527,199,5051823,1991826,540,211,5726706,2391550
2011,110,322,158,1326820,660958,37,15,149918,59628,38,20,156544,91852,37,16,136765,63676,34,13,124502,44706,29,11,132129,52067,34,17,163978,79460,25,13,111239,59970,11,6,53497,29869,24,13,92345,50554,16,10,55686,33878,26,15,97394,50854,11,9,52823,44444
2011,111,302,128,1286293,413513,31,13,177312,64796,15,11,56363,31719,30,12,138791,32315,23,11,92539,35518,25,11,115622,46297,26,9,101891,29190,24,12,95741,31929,29,11,90635,22851,23,11,80661,23929,26,7,112234,24040,14,8,64755,33051,36,12,159749,37878
2011,112,4611,1919,62666141,29308053,325,143,4315854,2236790,384,154,4758555,2206662,392,157,5069573,2420890,370,149,4718180,2019704,366,166,4780011,2292350,412,165,5565878,2572945,393,165,5038475,2305723,412,170,5903701,2757044,426,178,6276744,2927928,388,160,5262234,2399689,363,150,5535896,2583111,380,162,5441040,2585217
2011,113,671,422,8290695,7437471,36,31,649077,637499,63,39,750962,690343,65,37,805238,672783,70,42,789081,700482,55,29,522016,439643,53,38,703446,650759,60,35,694619,617938,62,32,637689,512356,42,33,682562,654955,47,32,586203,541276,56,38,737186,681073,62,36,732616,638364
