(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2020,100,5192,2618,98222465,54591391,410,222,7890531,4244423,423,236,9932900,5491341,366,208,8114323,4668323,422,205,8298204,4821926,432,187,8339350,4371713,392,205,7667074,4016984,458,215,8013703,4545160,395,208,7151524,4132822,435,215,8537176,4639867,508,245,8534584,4525516,493,241,8383645,4859301,458,231,7359451,4274015
2020,103,14160,6885,34350633,14361792,1109,564,2703994,1170208,1194,594,2918696,1261754,1267,627,2935709,1308000,1235,591,3110542,1246925,1152,551,2919145,1147866,1174,573,2751283,1203532,1222,567,2932847,1172786,1119,557,2699008,1154487,1020,510,2458191,1048169,1234,575,3025438,1207740,1227,598,2893979,1227635,1207,578,3001801,1212690
2020,105,1767,831,10383331,5419879,159,79,765741,356276,110,43,654306,310337,155,80,999613,602745,146,76,803349,409677,160,78,1057437,552415,157,78,984286,534106,155,70,1002459,504564,135,64,1001410,546435,140,62,686427,336583,145,65,774512,392517,159,69,848055,451937,146,67,805736,422287
2020,106,387,100,5184757,1778632,25,8,343997,155343,34,8,439106,137089,35,9,450014,149273,38,11,555661,246348,37,8,419041,94179,33,8,503970,172503,37,9,554939,185325,29,8,455872,172822,34,9,396950,120325,32,10,434093,180812,20,5,247421,82937,33,7,383693,81676
2020,107,35,33,34742,31127,7,7,1889,1889,5,4,14415,10815,0,0,0,0,1,1,183,183,1,1,3600,3600,1,1,3600,3600,0,0,0,0,0,0,0,0,1,1,15,15,8,8,7290,7290,8,8,3705,3705,3,2,45,30
2020,108,10459,3879,85418025,35188727,870,339,6418557,2686344,743,251,6048829,2447880,902,338,7128227,2845843,873,322,6748626,2670828,837,304,6374461,2553347,865,325,7171869,2902568,918,340,7737820,3206035,879,332,7427853,3165518,886,339,7372684,3152568,876,301,7043368,2889328,891,343,7539255,3260848,919,345,8406476,3407620
2020,110,287,154,1266291,770676,20,11,107649,71071,23,11,79768,40060,24,15,86979,52535,30,17,92121,56187,28,17,123163,88896,22,11,93429,43235,28,14,122920,81934,15,8,85543,58576,28,13,130109,63456,23,11,119084,72612,25,14,107122,65534,21,12,118404,76580
2020,111,369,126,1994990,660860,35,11,197834,60515,38,13,283903,106665,29,15,199556,111057,36,10,161775,31576,28,9,138311,51319,40,11,221728,43908,27,11,109762,35460,34,9,166128,41057,23,7,112293,31370,35,13,151240,56030,19,9,119250,59807,25,8,133210,32096
2020,112,5143,1978,69461952,29611849,378,163,5857214,2716651,406,156,5504721,2335202,424,169,6451522,2874722,432,163,5875399,2472338,434,160,5869176,2476387,467,179,6679468,2874799,451,167,5509142,2248231,450,171,6073184,2475675,394,149,4687619,1975322,442,164,5437377,2228214,422,165,5676100,2534569,443,172,5841030,2399739
2020,113,502,277,7249438,5768783,45,28,752098,627145,47,27,646017,552146,51,28,736480,604859,26,17,369723,343248,38,19,475092,359562,40,21,581067,391106,38,18,544216,384828,48,27,671006,532435,36,21,517678,415928,42,19,563929,424700,44,27,674486,549168,47,25,717646,583658
