(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2018,125,3,3,7944,7944,1,1,2648,2648,1,1,2648,2648,0,0,0,0,1,1,2648,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,127,17,14,277222,228446,2,2,31949,31949,1,1,17887,17887,1,1,14872,14872,1,1,18207,18207,1,1,13807,13807,2,1,30290,15145,1,1,16065,16065,1,1,14872,14872,3,2,49748,34603,3,2,53460,34974,1,1,16065,16065,0,0,0,0
2018,135,1,1,21037,21037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21037,21037,0,0,0,0
2018,137,7,4,183940,147714,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24108,12054,0,0,0,0,0,0,0,0,1,1,11678,11678,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24172,12086,2,1,123982,111896
2018,138,4,2,85601,50833,1,1,33449,33449,3,1,52152,17384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,140,4,2,123103,57577,0,0,0,0,0,0,0,0,0,0,0,0,4,2,123103,57577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,143,2,1,5066,2533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5066,2533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,202,545,229,10747487,4271634,52,22,927283,390804,54,24,1070582,442913,53,24,1071888,476781,40,14,793012,234842,62,23,1187914,426054,33,14,676793,263167,41,19,826989,362205,55,23,1193556,520550,31,13,559948,225835,44,19,903889,338004,40,19,741165,331629,40,15,794468,258850
2018,203,65,21,2000492,639669,7,2,214587,62025,4,1,109340,26158,9,3,276549,95565,7,2,219938,59650,2,1,67026,33513,0,0,0,0,12,5,345640,140478,0,0,0,0,5,2,167598,67059,6,1,201144,33513,8,3,263334,95604,5,1,135336,26104
2018,204,267,182,8704783,7029131,11,11,492865,492865,14,12,535412,514622,17,11,409378,338550,17,15,604438,581533,23,17,715018,619363,31,16,761490,542497,21,16,842291,718734,17,14,707726,580223,21,16,827456,629909,21,15,868904,666284,38,20,951000,612589,36,19,988805,731962
2018,205,1123,340,14701366,6549311,96,30,1266398,603915,87,27,1062038,473291,85,24,1060039,433418,78,19,832015,314125,112,34,1400513,600170,98,30,1136624,557512,101,32,1691114,759307,102,29,1336385,562835,95,35,1477038,733649,85,24,811327,359814,91,27,1115591,459368,93,29,1512284,691907
2018,206,2,1,37288,18644,0,0,0,0,0,0,0,0,0,0,0,0,2,1,37288,18644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,207,113,90,378444,281277,11,7,44321,26078,7,7,12957,12957,12,11,41904,37644,11,8,36223,27713,11,9,47349,43822,9,6,54346,14674,7,7,27617,27617,9,7,25492,17625,8,5,15088,9430,12,9,24573,18915,7,5,12957,9185,9,9,35617,35617
2018,208,24,14,1043191,581950,2,1,202842,101421,0,0,0,0,2,1,31620,15810,1,1,15810,15810,1,0,15810,0,2,1,15570,7785,2,2,118225,118225,7,4,346572,177073,5,3,75862,35386,2,1,220880,110440,0,0,0,0,0,0,0,0
2018,209,10,8,102078,79992,1,1,13035,13035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2692,2692,1,1,2692,2692,1,1,2692,2692,0,0,0,0,4,2,35821,13735,2,2,45146,45146
