(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Net Tonnages -Apl,Net Tonnages (Direct Entrance) -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2016,100,4921,2652,89581126,53010537,372,218,7592369,4342998,330,199,6509889,3788900,380,204,7551858,4251275,389,211,7346583,4420497,460,234,7192023,4487347,461,221,7554658,4078505,437,241,7681738,4654419,387,218,6774047,4359594,409,216,7814990,4486498,400,227,7354700,4573121,480,241,7917020,4864030,416,222,8291251,4703353
2016,103,18894,9095,40690739,17547927,1494,742,3148479,1354953,1509,762,3034430,1341333,1710,823,3613908,1550645,1599,764,3408274,1481441,1583,787,3293056,1467229,1633,773,3493914,1533689,1595,750,3610200,1538107,1564,754,3449901,1517681,1546,734,3444266,1443695,1556,730,3388372,1421932,1523,720,3275436,1394082,1582,756,3530503,1503140
2016,105,1758,918,8207550,4205269,147,76,697880,341352,141,74,584800,280680,185,100,929797,495111,180,92,714507,336494,154,81,623388,316835,148,70,658680,318679,140,60,595107,263948,156,84,898578,438614,119,64,667966,367601,130,69,700473,370137,138,78,644855,388447,120,70,491519,287371
2016,106,390,100,2695386,836357,39,10,221938,42945,38,13,254160,91611,27,6,170468,33051,39,9,285871,96540,30,9,233289,101997,34,8,211326,47127,29,6,232647,82324,34,9,253251,90702,26,9,195527,84484,39,8,238313,42194,25,6,206597,82324,30,7,191999,41058
2016,107,93,57,101231,58346,3,3,3232,3232,4,1,3312,847,11,5,11329,5241,9,6,8441,5209,12,7,13783,8166,8,6,8285,5900,12,5,13055,4362,5,4,6454,4655,7,5,8129,5053,10,6,12386,6852,7,5,7250,5053,5,4,5575,3776
2016,108,9122,3543,87296290,32803829,714,288,6527162,2745811,751,279,7255892,2674175,777,286,6928288,2471143,742,290,6855999,2693116,785,303,7482886,2767854,749,290,7064869,2527685,753,291,6780543,2481665,760,317,7077586,2808194,774,294,7649470,2779194,769,304,7852440,2968206,749,292,7322376,2814109,799,309,8498779,3072677
2016,110,121,60,969507,496310,9,5,59495,24211,8,4,53965,41422,10,5,91910,45974,17,10,128616,96079,10,5,72017,40850,13,5,68608,24307,7,5,73972,56330,12,4,84172,33402,10,5,142433,43761,9,5,46489,26535,11,5,97291,53833,5,2,50539,9606
2016,111,280,101,1796870,648878,18,6,80507,24529,18,9,128564,64962,43,14,257678,87285,25,9,140024,45954,23,7,145515,37607,23,8,142137,59588,22,9,146277,46855,25,8,116884,36302,17,7,106246,42008,20,8,180667,70516,28,10,211523,94341,18,6,140848,38931
2016,112,6588,2511,83068445,35652621,533,216,7147295,3247756,515,191,6921844,2884496,577,213,6682619,2691386,552,207,7611781,3114108,571,228,7163938,3226593,555,204,6683655,2747142,609,228,7455887,3258379,526,204,6474830,2931178,573,207,7574529,3217172,524,203,6506505,2813642,524,200,6181959,2611718,529,210,6663603,2909051
2016,113,618,365,8792066,7579874,46,27,654524,580096,61,33,866472,760109,65,37,964933,806318,60,33,680473,551341,43,27,577942,509445,52,30,717832,635172,59,34,807847,701214,46,27,642501,555441,42,30,629695,580044,39,25,572930,525575,53,32,867564,659764,52,30,809353,715355
2016,116,84,81,2070261,2011548,8,8,180411,180411,10,9,268032,238485,6,6,145323,145323,8,7,194604,180021,7,6,179391,164808,6,6,164808,164808,7,7,179391,179391,7,7,160536,160536,6,6,145953,145953,7,7,160536,160536,6,6,126468,126468,6,6,164808,164808
2016,117,820,289,5488372,2004670,48,17,274047,94833,68,28,550304,282417,52,23,334476,163046,76,25,442537,137172,59,23,384800,163802,77,26,503758,161706,75,26,495173,166590,59,25,414413,181093,72,26,511719,196324,67,20,485820,135842,89,27,562403,171876,78,23,528922,149969
2016,118,299,134,1504208,987018,22,10,123280,57672,22,9,95448,56656,26,12,136859,95083,23,10,97782,59315,27,12,139518,95083,26,12,136534,95083,25,11,102945,62299,28,12,138782,92928,27,12,139518,95083,24,12,128776,93293,23,10,128232,89440,26,12,136534,95083
2016,120,1796,1004,1789629,988084,371,200,384860,211515,360,204,357201,202618,335,185,322709,178148,293,155,287649,147287,210,121,209838,118595,136,82,139242,82980,65,40,65246,37281,25,16,22826,9602,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,58
2016,122,14,2,50330,7190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,21570,3595,3,0,10785,0,1,1,3595,3595,4,0,14380,0,0,0,0,0
2016,123,33,24,828938,593334,2,1,43033,32638,0,0,0,0,7,5,175484,127606,3,1,79417,26658,2,1,53316,26658,2,2,65201,65201,1,1,26658,26658,9,6,240610,142696,4,4,85453,85453,1,1,18207,18207,1,1,13605,13605,1,1,27954,27954
2016,124,4,2,93546,42910,3,1,75954,25318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17592,17592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,125,4,3,15800,11416,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8768,4384,1,1,4384,4384,0,0,0,0,1,1,2648,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
