(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2017,100,5159,2788,105664458,62677323,375,210,8295113,4996063,355,207,7830166,4717603,395,219,8808270,5292128,425,224,8948409,5084353,479,242,8873168,5247544,457,243,8446034,5117215,413,247,9682255,6107897,340,200,8040990,4866010,442,241,9477352,5636562,458,246,8935765,5173091,527,253,8676563,4961057,493,256,9650373,5477800
2017,103,17595,8703,39603089,17236069,1430,714,2937320,1325002,1432,686,3162747,1325330,1605,776,3625403,1443630,1465,728,3350039,1517652,1495,747,3350174,1455888,1525,742,3676744,1541640,1482,738,3195549,1416709,1495,752,3434394,1552439,1394,696,3397400,1465648,1311,655,3019696,1338319,1438,721,3169175,1428779,1523,748,3284448,1425033
2017,105,1459,763,7100691,3780423,127,70,539393,277431,80,43,351801,193326,129,81,584384,353343,109,61,519239,299575,126,60,523619,288767,120,59,638278,328217,127,61,698062,343370,124,55,610444,296170,121,58,845272,467066,123,64,644545,306671,143,74,619093,332181,130,77,526561,294306
2017,106,325,82,2736163,1086406,24,5,157584,32741,34,8,205154,40955,35,6,228307,39194,27,5,176635,32741,27,7,211948,60938,23,6,235592,124083,23,8,255662,157107,27,7,208122,82603,29,7,236668,92822,25,6,252906,124841,22,6,214295,87841,29,11,353290,210540
2017,107,31,23,36494,26557,3,3,3117,3117,7,4,4718,3776,3,3,1977,1977,5,5,4435,4435,2,2,2458,2458,0,0,0,0,1,1,1799,1799,3,1,5397,1799,0,0,0,0,4,3,7196,5397,0,0,0,0,3,1,5397,1799
2017,108,9660,3622,87556661,33586476,816,327,7449399,2962031,704,252,7059467,2493762,832,317,7677416,2866783,766,297,7629118,3155081,835,325,6950095,2899014,781,282,6621146,2334379,828,308,7298843,2867976,845,325,7691518,3124179,812,298,7567068,2699535,741,268,5885183,2078735,858,318,7858049,3060955,842,305,7869359,3044046
2017,110,89,49,841704,427745,5,4,28593,23298,4,2,10385,5021,8,5,84154,50693,9,4,52907,24172,3,2,9973,4678,9,4,141668,57772,13,5,100814,34937,8,5,101466,78435,4,3,61219,29892,7,4,64741,29538,8,5,120128,52179,11,6,65656,37130
2017,111,384,115,2570474,716205,27,7,136490,37881,40,11,293363,75147,32,11,187045,61321,30,10,220084,78668,26,7,178959,41160,26,8,183248,54809,32,8,230670,53917,29,10,180313,53310,19,8,101660,36493,32,11,207880,68378,40,12,313607,88158,51,12,337155,66963
2017,112,5817,2245,76226633,32110311,570,227,7708354,3311077,462,176,6108568,2683219,533,206,6340545,2437291,515,185,6599882,2743518,514,200,6120297,2651664,500,188,6067304,2579903,496,196,6182104,2641326,435,180,6173948,2725922,476,178,6337243,2508135,397,156,5289495,2223042,471,178,6944324,2917778,448,175,6354569,2687436
2017,113,560,345,7857221,6990399,51,34,949765,825971,46,34,774634,733328,57,33,785810,695262,50,30,731246,651878,35,20,415153,361362,42,24,491273,420673,49,32,686316,623690,45,24,500647,412085,42,26,544129,481913,35,24,469701,429284,55,31,692086,601220,53,33,816461,753733
2017,116,82,79,1934028,1890279,7,7,180021,180021,6,6,126468,126468,6,5,106983,92400,7,7,180021,180021,6,6,126468,126468,8,7,174489,159906,7,7,170979,170979,8,8,204417,204417,6,5,136281,121698,4,4,92781,92781,7,7,185943,185943,10,10,249177,249177
2017,117,874,293,5316494,1826315,59,21,354035,113314,63,23,363840,132331,99,30,639696,179182,73,27,466189,182744,92,31,632559,240613,72,24,415117,130199,73,21,358123,118781,70,22,391334,119917,65,21,401410,118234,62,21,341606,132387,74,24,414352,143755,72,28,538233,214858
2017,118,147,90,909703,759243,26,12,136534,95083,23,10,97782,59315,25,12,133049,94670,5,2,43244,35443,9,7,76196,74072,8,4,46518,39076,9,7,80251,76530,9,7,52486,47256,9,8,78644,75985,9,8,49007,47945,6,6,40542,40542,9,7,75450,73326
2017,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,122,33,6,118635,21570,4,1,14380,3595,4,1,14380,3595,1,0,3595,0,4,1,14380,3595,5,0,17975,0,0,0,0,0,0,0,0,0,5,1,17975,3595,0,0,0,0,4,1,14380,3595,4,1,14380,3595,2,0,7190,0
2017,123,57,32,1396318,807304,0,0,0,0,3,2,69655,47878,2,1,38462,19231,3,1,31185,10395,3,3,84533,84533,4,2,108392,54196,16,6,335959,128127,7,4,180571,111890,5,4,201718,141677,5,4,130924,96847,1,1,19270,19270,8,4,195649,93260
2017,124,4,1,68308,17077,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17077,17077,3,0,51231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,127,18,15,283348,238732,1,1,15145,15145,1,1,14872,14872,3,1,44616,14872,2,2,31125,31125,1,1,18207,18207,1,1,15145,15145,3,2,42383,27511,0,0,0,0,3,3,49696,49696,0,0,0,0,2,2,36094,36094,1,1,16065,16065
2017,137,4,3,143000,130937,2,1,24126,12063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,106811,106811,0,0,0,0,0,0,0,0,1,1,12063,12063
2017,138,17,11,302887,189019,1,1,17384,17384,3,2,48229,30845,4,2,96510,48255,1,1,17384,17384,0,0,0,0,0,0,0,0,2,1,26922,13461,3,1,52152,17384,2,2,30845,30845,0,0,0,0,1,1,13461,13461,0,0,0,0
2017,140,7,4,214312,116023,0,0,0,0,0,0,0,0,1,1,32763,32763,0,0,0,0,1,1,17734,17734,0,0,0,0,0,0,0,0,2,1,65526,32763,0,0,0,0,0,0,0,0,2,1,65526,32763,1,0,32763,0
2017,202,560,233,11462993,4464563,29,12,532515,201785,52,22,1080720,415227,45,20,896474,383551,48,20,968760,385734,37,17,754424,327326,61,21,1158200,404185,43,22,954898,446959,48,21,849186,352395,49,19,953424,339120,54,22,1447414,513990,56,19,1135629,363128,38,18,731349,331163
2017,203,68,22,2110391,688639,5,2,167631,67059,0,0,0,0,3,2,95813,62267,10,2,313131,59671,6,3,201210,100605,0,0,0,0,11,3,312087,88371,0,0,0,0,5,2,167631,67059,6,2,164637,54879,13,4,408663,129078,9,2,279588,59650
2017,204,188,140,6294159,5684977,19,14,612300,553126,19,13,607583,514993,18,12,462048,373280,11,9,345999,323094,14,11,482525,447022,29,17,746245,580467,25,13,594677,470915,13,11,536746,516044,7,7,346373,346373,10,10,430864,430864,12,12,553395,553395,11,11,575404,575404
2017,205,825,285,12819925,6307210,44,23,1085902,576740,40,20,746176,438727,52,26,1188059,787629,42,20,1071331,675134,56,18,725667,335468,75,28,1776057,830223,87,29,1506370,602694,84,22,893604,328965,100,29,1237490,544489,85,23,1083860,514646,76,20,745659,334136,84,27,759750,338359
2017,206,2,1,23296,11648,0,0,0,0,2,1,23296,11648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,207,104,75,788123,367396,12,10,182095,80787,8,6,68280,64508,18,9,324894,71754,8,6,58210,24953,10,7,34768,29355,5,4,17000,15114,10,7,22233,17065,7,4,12712,7299,5,5,9980,9980,5,4,11701,9815,9,7,27142,19299,7,6,19108,17467
2017,208,11,8,435903,260992,1,1,28136,28136,1,1,28136,28136,1,1,28136,28136,3,1,174249,58083,0,0,0,0,1,1,28136,28136,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15810,15810,2,1,117490,58745,1,1,15810,15810
2017,209,10,5,368944,202769,1,1,51532,51532,3,2,118002,84767,0,0,0,0,3,1,99705,33235,0,0,0,0,3,1,99705,33235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,210,13,12,615517,612090,1,1,48921,48921,0,0,0,0,1,1,48921,48921,1,1,29322,29322,3,2,103645,100218,3,3,150327,150327,2,2,100218,100218,0,0,0,0,0,0,0,0,1,1,99190,99190,0,0,0,0,1,1,34973,34973
2017,213,250,107,4837886,1953159,20,9,615221,252303,17,7,333019,179663,39,17,892509,329009,29,14,729446,343023,24,9,505655,174270,33,13,638869,237622,24,8,440790,159507,12,6,100913,36584,17,7,223274,85942,8,5,98164,52472,10,5,107665,49274,17,7,152361,53490
2017,215,23,12,428645,217065,1,1,19458,19458,0,0,0,0,3,2,33089,28823,0,0,0,0,3,2,50490,39742,2,1,57988,28994,1,1,19458,19458,4,1,96904,19458,0,0,0,0,0,0,0,0,2,2,35334,35334,7,2,115924,25798
2017,217,360,146,7213640,2581530,24,8,556851,170642,21,11,370614,191227,36,10,652096,170840,29,11,510155,169357,17,9,507508,230985,25,9,397918,123158,42,15,675881,226136,28,13,628607,201317,32,13,583344,199802,23,14,349134,185589,45,17,958940,350887,38,16,1022592,361590
2017,218,4,4,130970,130970,1,1,34573,34573,0,0,0,0,1,1,34573,34573,2,2,61824,61824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,219,65,24,592265,192511,5,2,55065,22026,4,2,28783,6757,10,4,106035,39014,11,4,89697,32978,1,1,5032,5032,1,1,5032,5032,2,2,8407,8407,3,2,27058,16045,5,1,55065,11013,7,2,59148,16045,11,2,91692,19149,5,1,61251,11013
2017,220,95,52,2647619,1409944,4,2,102249,62165,9,6,231792,118522,7,4,219173,101256,5,3,213255,123346,8,3,251044,73490,6,3,183586,91793,10,5,259982,139915,9,6,224424,158400,7,3,195975,92575,9,6,268482,181159,11,6,226596,113157,10,5,271061,154166
2017,221,1667,698,18617731,8927840,101,51,1212929,663875,95,49,1451690,686404,152,60,2199339,949994,132,56,1879451,944113,123,53,1383186,716086,154,59,1796571,710593,129,52,1351293,678546,150,63,1373358,718331,134,58,1312334,571264,153,61,1413278,680925,163,63,1532834,776205,181,73,1711468,831504
2017,224,799,753,441699,364979,53,48,36946,28709,61,57,37197,28127,65,59,25421,16650,75,71,33815,27799,89,81,62912,50214,70,69,29525,28615,61,60,20145,19789,51,50,39302,38227,47,46,28913,27838,73,70,26824,20683,79,72,56561,43919,75,70,44138,34409
2017,230,156,98,6180731,3910866,13,8,382970,248071,25,16,1025648,654041,7,3,269871,103107,10,8,249822,218197,17,10,625972,426361,9,6,348286,223893,13,8,606883,477996,13,9,583532,352960,9,4,260428,117075,18,12,857324,560321,6,5,203783,146459,16,9,766212,382385
2017,233,1415,557,14839574,7101049,139,59,1432599,758395,109,45,1302062,674437,134,47,1392085,542573,133,53,1502707,709021,142,53,1145813,417822,125,53,1349550,753096,122,47,1346308,680459,99,40,934979,452813,107,38,973586,390190,95,36,1181116,502431,101,42,1076383,582776,109,44,1202386,637036
