(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2017,234,10,6,287133,195363,1,1,26694,26694,0,0,0,0,2,1,53388,26694,2,1,75209,48515,1,1,25754,25754,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48515,48515,2,1,38382,19191,1,0,19191,0,0,0,0,0
2017,241,13,4,197717,56793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19742,9871,1,1,13772,13772,2,1,31603,17831,8,1,132600,15319
2017,243,2,1,59638,29819,0,0,0,0,0,0,0,0,0,0,0,0,2,1,59638,29819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,247,4,1,48240,12060,0,0,0,0,2,1,24120,12060,2,0,24120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,304,232,190,5071329,4287822,14,11,294348,241023,14,12,328810,294236,14,14,341567,341567,22,17,474817,386918,15,13,331077,296503,18,15,417311,364474,26,17,507827,366927,19,15,555534,393144,27,20,465815,370775,16,15,328472,311202,23,19,501275,432127,24,22,524476,488926
2017,308,4164,2116,5725124,3071248,338,167,495312,248704,278,158,382555,220170,372,196,470805,258145,377,176,500709,253677,361,189,487046,260864,339,179,442563,246902,379,191,521357,289803,355,178,477918,253164,347,184,516430,290081,288,150,405871,229002,378,192,520290,275982,352,156,504268,244754
2017,312,30108,13821,346199449,163317546,2567,1214,30815429,14672357,2389,1071,27383604,12392730,2678,1253,29343981,14352145,2522,1158,28356829,13265458,2572,1171,30391589,14022213,2456,1139,27898768,12799292,2468,1121,28709785,13676467,2530,1145,29006552,13899334,2421,1117,26546525,12684374,2381,1098,26696115,13078759,2611,1177,31898535,14776562,2513,1157,29151737,13697855
2017,314,100,96,3284163,3070175,12,12,374256,374256,12,12,378641,378641,11,11,335703,335703,8,7,292210,241062,7,6,278984,218440,8,8,243081,243081,7,7,218066,218066,9,8,313005,261857,9,8,313010,261862,3,3,92617,92617,8,8,252591,252591,6,6,191999,191999
2017,315,4866,1763,48635268,24799062,404,146,4190057,2093277,355,121,3835382,1736460,420,145,3798641,1884403,437,149,4187369,1939750,399,143,3871805,1854984,366,131,3258631,1736438,409,151,3875644,2072583,431,151,4288879,2186078,368,134,3645149,1896783,383,146,3942446,2116983,427,164,4512902,2458955,467,182,5228363,2822368
2017,316,80,55,138150,94887,8,6,13364,9998,6,4,10362,6996,6,6,11254,11254,6,3,13238,6123,9,6,15807,9998,8,5,13728,8497,7,4,11135,6632,7,4,11863,6996,8,5,12636,8133,7,4,11135,6632,3,3,5131,5131,5,5,8497,8497
2017,319,11,7,151719,99809,1,1,16160,16160,1,1,19280,19280,1,1,4260,4260,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19282,19282,3,1,57846,19282,0,0,0,0,1,1,14872,14872,3,1,20019,6673,0,0,0,0
2017,326,213,86,840308,341589,17,8,66040,31430,15,6,57760,23104,18,7,69289,26947,20,8,86897,35751,20,9,86943,39617,17,6,65377,23081,17,7,65446,26947,19,7,73132,26947,15,6,57691,23081,18,7,69289,26947,20,8,76975,30790,17,7,65469,26947
2017,328,314,149,5121879,2321077,17,9,244541,127293,22,12,349338,182389,35,13,539834,176420,24,12,420090,196184,31,13,562070,229398,43,17,657109,232804,24,12,428647,207286,12,8,171779,119921,27,11,441945,191371,22,13,365258,215346,27,16,416540,235377,30,13,524728,207288
2017,331,2118,652,9727944,2987351,172,50,827802,242227,142,35,659364,163415,215,69,1010750,317195,189,53,850698,232166,195,64,951247,335319,215,66,1010589,312982,191,57,811365,238865,183,57,771583,239458,172,54,741101,234056,132,45,609202,203518,151,50,687685,219248,161,52,796558,248902
2017,333,4,2,3912,1956,0,0,0,0,2,1,1956,978,0,0,0,0,2,1,1956,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,335,2,2,32209,32209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,32209,32209,0,0,0,0,0,0,0,0,0,0,0,0
2017,336,148,75,306777,160002,15,7,37249,22879,6,4,11769,6839,13,8,30533,18208,12,6,23160,11580,13,7,24555,12975,8,4,17580,8790,15,8,30555,16510,19,7,35357,13267,11,7,20987,12197,12,7,25502,15317,13,6,26695,12650,11,4,22835,8790
2017,409,4,2,37940,18970,0,0,0,0,0,0,0,0,2,1,18970,9485,1,0,9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9485,9485,0,0,0,0,0,0,0,0,0,0,0,0
2017,505,1,1,36052,36052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36052,36052,0,0,0,0,0,0,0,0
2017,506,1,1,19294,19294,0,0,0,0,1,1,19294,19294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,509,1,1,19216,19216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19216,19216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,514,1732,864,1811343,927177,72,38,86894,43332,111,59,119363,62219,170,98,182126,104145,152,69,145604,69119,146,74,140970,74294,162,79,171779,80797,160,75,155104,75513,153,72,157690,83214,133,67,149233,75418,141,70,150360,79808,171,79,181810,87434,161,84,170410,91884
2017,515,5589,2242,81841604,39143764,470,186,7244540,3438259,433,170,6543272,3153629,513,200,7760862,3503830,455,185,6923848,3350119,511,209,7305670,3418560,500,196,6862815,3203581,429,180,5875507,2899674,478,195,6540084,3095794,443,185,7171319,3624403,443,168,6883163,3078283,457,186,6444196,3174093,457,182,6286328,3203539
2017,518,1887,1034,1850152,980819,104,52,106581,49751,111,65,115175,62604,188,110,184074,102969,151,85,145979,81854,169,93,158617,89459,178,90,176627,93981,181,86,176353,80326,167,90,149769,79033,150,92,144615,82339,173,95,180672,97137,159,92,167493,83794,156,84,144197,77572
2017,543,39,27,20411,8507,2,2,213,213,3,3,323,323,7,7,841,841,6,6,731,731,3,1,2976,992,5,1,4960,992,4,2,3968,1984,3,1,2976,992,1,0,992,0,0,0,0,0,3,2,2133,1141,2,2,298,298
2017,544,6,6,3288,3288,0,0,0,0,4,4,1930,1930,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1358,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,547,4,2,88292,44146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,66219,22073,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22073,22073,0,0,0,0
2017,551,3,1,181847,57536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57536,57536,2,0,124311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,558,1,1,8429,8429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8429,8429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,601,48,47,1512144,1480641,4,4,126012,126012,4,3,126012,94509,6,6,189018,189018,2,2,63006,63006,4,4,126012,126012,3,3,94509,94509,3,3,94509,94509,5,5,157515,157515,4,4,126012,126012,4,4,126012,126012,4,4,126012,126012,5,5,157515,157515
2017,607,9,9,23472,23472,0,0,0,0,1,1,2608,2608,1,1,2608,2608,0,0,0,0,0,0,0,0,1,1,2608,2608,1,1,2608,2608,1,1,2608,2608,2,2,5216,5216,1,1,2608,2608,0,0,0,0,1,1,2608,2608
2017,609,104,42,180639,74933,11,5,17504,8126,5,0,7365,0,18,7,29249,11140,5,2,7573,3118,8,3,23012,10169,5,2,8485,3457,8,3,13152,4796,8,4,12264,6472,7,4,11771,6531,10,5,16926,9458,12,4,21697,6554,7,3,11641,5112
2017,611,204,113,2778572,1505295,11,7,142343,66567,25,12,275391,131972,8,6,67299,46955,17,12,257720,172894,12,9,199720,149698,22,9,249628,87275,26,14,461002,230296,12,7,169168,116346,16,8,242078,112958,15,9,197946,127864,20,9,225432,91866,20,11,290845,170604
2017,612,3,1,5028,1676,1,1,1676,1676,2,0,3352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,615,297,135,462586,217062,27,14,49051,29197,16,8,23487,11178,36,16,71204,28584,27,13,36963,18362,24,10,39783,17826,25,11,30876,12869,21,12,35799,21876,26,9,35175,12956,28,13,42441,18854,15,8,23048,12683,29,10,43118,16551,23,11,31641,16126
2017,624,86,46,206600,139082,3,2,3551,2393,7,4,24313,20695,8,6,19262,16792,5,3,6011,3618,5,3,6078,3618,6,4,16849,14399,12,5,32555,24084,7,3,8404,3618,4,3,4910,3685,9,5,10864,6001,11,3,41868,13107,9,5,31935,27072
2017,625,4850,2155,68643869,35864817,338,168,5031055,2695972,359,168,5105160,2719921,428,176,5740658,2775729,400,163,5727222,2548621,380,174,5184720,2962347,356,158,5420289,2723793,415,191,5378860,2970507,440,197,5992825,3383462,414,174,6448437,3250148,427,194,6668805,3623084,434,189,5967903,3054090,459,203,5977935,3157143
2017,626,286,149,251085,135383,216,109,186770,99361,62,35,58888,32276,1,1,2039,2039,1,1,310,310,2,1,1069,533,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1069,536,1,0,612,0,0,0,0,0,1,1,328,328
2017,628,113,55,186681,80684,8,3,11790,4662,2,2,2466,2466,5,2,8317,3429,2,1,3940,1970,8,5,12720,7771,14,7,43060,12878,7,3,9722,4427,13,5,18293,6382,18,8,25042,10612,11,6,16720,8130,11,6,14474,7857,14,7,20137,10100
