time; Total ; Tourist ; Business ;Others
Dec_;128,304;124,045;2,578;1,681
2019_Jan_;92,649;85,718;3,065;3,866
Feb_;107,845;103,045;2,865;1,935
Mar_;147,443;140,219;3,718;3,506
Apr_;164,817;159,604;2,647;2,566
May_;107,857;101,260;3,604;2,993
Jun_;62,984;56,814;3,484;2,686
Jul_;73,202;67,670;3,136;2,396
Aug_;49,589;43,631;2,444;3,514
Sep_;62,057;54,621;3,310;4,126
Oct_;145,333;138,912;3,710;2,711
Nov_;140,265;134,178;3,700;2,387
Dec_;164,936;160,472;2,496;1,968
2020_Jan_;112,534;106,035;2,688;3,811
Feb_;97,957;94,164;1,984;1,809
Mar_;4,805;3,101;336;1,368
Apr_;25;13;0;12
May_;9;3;1;5
Jun_;12;4;4;4
Jul_;17;7;5;5
Aug_;350;7;155;188
Sep_;1,038;14;389;635
Oct_;1,365;15;185;1,165
Nov_;1,035;12;163;860
Dec_;683;13;158;512
